,Year,Temp,Mean_deviation
0,1743,,
1,1744,10.762875,1.992020606994629
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,9.418546,0.6476917266845703
8,1751,9.793875,1.0230207443237305
9,1752,3.6688333,-5.102020740509033
10,1753,8.6553335,-0.1155204772949218
11,1754,8.669833,-0.1010208129882812
12,1755,8.478084,-0.2927703857421875
13,1756,9.295834,0.5249795913696289
14,1757,9.050583,0.279728889465332
15,1758,7.5068336,-1.2640204429626465
16,1759,8.552584,-0.2182703018188476
17,1760,8.136917,-0.633936882019043
18,1761,9.060667,0.2898130416870117
19,1762,8.815666,0.0448122024536132
20,1763,8.077084,-0.6937704086303711
21,1764,9.052834,0.2819795608520508
22,1765,8.910916,0.1400623321533203
23,1766,8.770833,-2.09808349609375e-05
24,1767,8.348333,-0.422520637512207
25,1768,7.4013333,-1.369520664215088
26,1769,8.501917,-0.2689371109008789
27,1770,8.54425,-0.2266044616699218
28,1771,8.129583,-0.641270637512207
29,1772,9.559584,0.7887296676635742
30,1773,9.1310835,0.3602294921875
31,1774,9.086667,0.3158130645751953
32,1775,9.65275,0.8818960189819336
33,1776,8.37375,-0.397104263305664
34,1777,8.383583,-0.3872709274291992
35,1778,9.4384165,0.6675624847412109
36,1779,9.599,0.8281459808349609
37,1780,8.76225,-0.0086040496826171
38,1781,9.232667,0.4618129730224609
39,1782,8.295417,-0.4754371643066406
40,1783,8.94175,0.1708955764770507
41,1784,8.486333,-0.2845211029052734
42,1785,7.558833,-1.2120208740234375
43,1786,8.038167,-0.7326869964599609
44,1787,8.939417,0.1685628890991211
45,1788,8.575334,-0.1955204010009765
46,1789,9.115084,0.3442296981811523
47,1790,8.9609165,0.1900625228881836
48,1791,9.595917,0.8250627517700195
49,1792,8.693916,-0.0769376754760742
50,1793,8.679334,-0.0915203094482421
51,1794,9.49775,0.7268962860107422
52,1795,8.793167,0.022313117980957
53,1796,8.889334,0.1184797286987304
54,1797,10.036417,1.2655630111694336
55,1798,9.255333,0.4844789505004883
56,1799,7.8620834,-0.9087705612182616
57,1800,8.912,0.1411457061767578
58,1801,9.766833,0.9959793090820312
59,1802,9.810166,1.0393123626708984
60,1803,8.253417,-0.5174369812011719
61,1804,8.61325,-0.1576042175292968
62,1805,7.7528334,-1.0180206298828125
63,1806,9.373584,0.6027297973632812
64,1807,9.443833,0.6729793548583984
65,1808,7.9294167,-0.8414373397827148
66,1809,8.018833,-0.7520208358764648
67,1810,8.358084,-0.4127702713012695
68,1811,9.054167,0.2833127975463867
69,1812,7.6151667,-1.1556873321533203
70,1813,8.0345,-0.736353874206543
71,1814,7.92875,-0.8421039581298828
72,1815,7.8706665,-0.9001874923706055
73,1816,7.800833,-0.9700207710266112
74,1817,8.454083,-0.3167705535888672
