,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,-7.0468335,-1.5472888946533203
70,1813,-7.0848184,-1.5852737426757812
71,1814,-6.4359093,-0.9363646507263184
72,1815,,
73,1816,-1.6283333,3.871211290359497
74,1817,-6.9599166,-1.460371971130371
75,1818,-5.90925,-0.4097051620483398
76,1819,-6.7655,-1.2659554481506348
77,1820,-6.4285,-0.9289555549621582
78,1821,-5.7176666,-0.2181220054626464
79,1822,-5.482333,0.0172114372253417
80,1823,-6.2035,-0.7039551734924316
81,1824,-5.300083,0.1994614601135254
82,1825,-5.4315,0.0680446624755859
83,1826,-5.317167,0.182377815246582
84,1827,-5.03825,0.4612946510314941
85,1828,-6.10975,-0.6102051734924316
86,1829,-6.18125,-0.6817054748535156
87,1830,-5.6604166,-0.1608719825744629
88,1831,-6.67325,-1.1737055778503418
89,1832,-6.6811666,-1.18162202835083
90,1833,-6.1645,-0.6649556159973145
91,1834,-5.778167,-0.2786221504211426
92,1835,-6.7855,-1.2859554290771484
93,1836,-6.088917,-0.5893721580505371
94,1837,-6.761667,-1.2621221542358398
95,1838,-6.41825,-0.9187054634094238
96,1839,-6.4375834,-0.9380388259887696
97,1840,-6.4374166,-0.9378719329833984
98,1841,-6.4339166,-0.9343719482421876
99,1842,-5.9944167,-0.4948720932006836
100,1843,-5.0975833,0.4019613265991211
101,1844,-6.22,-0.7204551696777344
102,1845,-6.27475,-0.7752056121826172
103,1846,-5.4339166,0.0656280517578125
104,1847,-5.930333,-0.430788516998291
105,1848,-5.7083335,-0.2087888717651367
106,1849,-5.5605,-0.06095552444458
107,1850,-6.4265,-0.926955223083496
108,1851,-5.6695833,-0.1700387001037597
109,1852,-6.0396667,-0.5401220321655273
110,1853,-6.276,-0.7764554023742676
111,1854,-5.49025,0.0092945098876953
112,1855,-5.5569167,-0.0573720932006835
113,1856,-6.08875,-0.589205265045166
114,1857,-6.487167,-0.9876222610473632
115,1858,-5.5928335,-0.0932888984680175
116,1859,-5.2285,0.2710447311401367
117,1860,-6.619,-1.119455337524414
118,1861,-6.2953334,-0.7957887649536133
119,1862,-6.9314165,-1.4318718910217283
120,1863,-5.2991667,0.2003779411315918
121,1864,-6.007583,-0.5080385208129883
122,1865,-5.9170833,-0.4175386428833008
123,1866,-5.31975,0.1797947883605957
124,1867,-5.543,-0.0434556007385253
125,1868,-5.7579165,-0.2583718299865722
126,1869,-5.331917,0.1676278114318847
127,1870,-6.4228334,-0.9232888221740724
128,1871,-6.2633333,-0.7637887001037598
129,1872,-6.4214168,-0.9218721389770508
130,1873,-5.6879168,-0.1883721351623535
131,1874,-4.8889165,0.6106281280517578
132,1875,-6.085417,-0.5858721733093262
133,1876,-6.001583,-0.5020384788513184
134,1877,-5.603,-0.1034555435180664
135,1878,-5.2380834,0.2614612579345703
136,1879,-5.84475,-0.3452053070068359
137,1880,-5.737167,-0.2376222610473632
138,1881,-6.03525,-0.53570556640625
139,1882,-5.76225,-0.2627053260803222
140,1883,-5.8470836,-0.347538948059082
141,1884,-6.181667,-0.6821222305297852
142,1885,-6.6839166,-1.1843719482421875
143,1886,-6.12925,-0.6297054290771484
144,1887,-5.8869166,-0.3873720169067383
145,1888,-6.412667,-0.9131221771240234
146,1889,-6.1031666,-0.6036219596862793
147,1890,-6.25675,-0.7572054862976074
148,1891,-6.1836667,-0.6841220855712891
149,1892,-6.3624167,-0.8628721237182617
150,1893,-5.5548334,-0.0552887916564941
151,1894,-5.3661666,0.1333780288696289
152,1895,-6.280667,-0.7811222076416016
153,1896,-5.6868334,-0.187288761138916
154,1897,-5.554917,-0.0553722381591796
155,1898,-5.950667,-0.4511222839355469
156,1899,-5.37575,0.1237945556640625
157,1900,-5.8743334,-0.374788761138916
158,1901,-5.4600835,0.0394611358642578
159,1902,-7.00275,-1.5032052993774414
160,1903,-5.3525834,0.1469612121582031
161,1904,-5.4185,0.0810446739196777
162,1905,-5.6870832,-0.1875386238098144
163,1906,-5.10175,0.3977947235107422
164,1907,-6.0414166,-0.5418720245361328
165,1908,-6.1225834,-0.6230387687683105
166,1909,-5.865083,-0.3655385971069336
167,1910,-5.776583,-0.27703857421875
168,1911,-5.830333,-0.3307886123657226
169,1912,-6.8644166,-1.3648719787597656
170,1913,-5.7264166,-0.2268719673156738
171,1914,-5.3741665,0.125378131866455
172,1915,-6.363,-0.8634552955627441
173,1916,-6.19,-0.690455436706543
174,1917,-5.5284166,-0.028872013092041
175,1918,-5.7479167,-0.2483720779418945
176,1919,-6.186,-0.686455249786377
177,1920,-5.155,0.3445444107055664
178,1921,-4.90425,0.5952944755554199
179,1922,-5.6978335,-0.1982889175415039
180,1923,-5.521167,-0.0216221809387207
181,1924,-5.275417,0.2241277694702148
182,1925,-5.1289167,0.3706278800964355
183,1926,-5.3745,0.1250448226928711
184,1927,-5.6569166,-0.1573719978332519
185,1928,-5.77225,-0.2727055549621582
186,1929,-6.4000835,-0.9005389213562012
187,1930,-5.53075,-0.0312051773071289
188,1931,-5.76275,-0.2632055282592773
189,1932,-4.75825,0.7412943840026855
190,1933,-6.2521667,-0.752622127532959
191,1934,-4.643,0.8565444946289062
192,1935,-5.2143335,0.2852110862731933
193,1936,-5.030083,0.469461441040039
194,1937,-5.1489167,0.3506278991699219
195,1938,-4.5526667,0.9468779563903807
196,1939,-4.716833,0.7827115058898926
197,1940,-5.6284165,-0.1288719177246093
198,1941,-6.4766665,-0.9771218299865724
199,1942,-5.6046667,-0.1051220893859863
200,1943,-4.1145,1.3850445747375488
201,1944,-4.434,1.065544605255127
202,1945,-5.394417,0.1051278114318847
203,1946,-5.855,-0.3554553985595703
204,1947,-5.3680835,0.1314611434936523
205,1948,-4.3375835,1.1619610786437988
206,1949,-4.92775,0.5717945098876953
207,1950,-5.6089168,-0.1093721389770507
208,1951,-5.055917,0.4436278343200683
209,1952,-6.17525,-0.6757054328918457
210,1953,-4.7794166,0.720128059387207
211,1954,-5.317333,0.1822113990783691
212,1955,-5.6266665,-0.1271219253540039
213,1956,-5.81375,-0.3142051696777344
214,1957,-5.35825,0.1412944793701172
215,1958,-6.1540833,-0.654538631439209
216,1959,-4.838917,0.6606278419494629
217,1960,-5.936,-0.4364552497863769
218,1961,-4.9603333,0.5392112731933594
219,1962,-4.41625,1.08329439163208
220,1963,-5.008167,0.4913778305053711
221,1964,-5.7858334,-0.2862887382507324
222,1965,-5.907417,-0.407872200012207
223,1966,-6.309583,-0.8100385665893555
224,1967,-4.36325,1.1362948417663574
225,1968,-5.5895834,-0.090038776397705
226,1969,-6.7660832,-1.2665386199951172
227,1970,-5.5225835,-0.0230388641357421
228,1971,-4.9711666,0.5283780097961426
229,1972,-5.702,-0.2024555206298828
230,1973,-4.8335834,0.6659612655639648
231,1974,-5.67175,-0.1722054481506347
232,1975,-4.1410832,1.3584613800048828
233,1976,-5.927,-0.4274554252624511
234,1977,-5.513,-0.0134553909301757
235,1978,-5.2559166,0.2436280250549316
236,1979,-5.904333,-0.4047884941101074
237,1980,-5.42075,0.0787944793701171
238,1981,-4.166167,1.3333778381347656
239,1982,-5.0975833,0.4019613265991211
240,1983,-3.9518332,1.5477113723754885
241,1984,-5.29425,0.2052946090698242
242,1985,-5.521167,-0.0216221809387207
243,1986,-4.89225,0.6072945594787598
244,1987,-6.274,-0.7744555473327637
245,1988,-4.3304167,1.1691279411315918
246,1989,-4.07325,1.4262948036193848
247,1990,-4.022917,1.4766278266906738
248,1991,-4.237,1.2625446319580078
249,1992,-4.90325,0.5962944030761719
250,1993,-4.62175,0.8777947425842285
251,1994,-4.8984165,0.601128101348877
252,1995,-3.1301668,2.369377851486206
253,1996,-4.8103333,0.689211368560791
254,1997,-4.2965,1.2030444145202637
255,1998,-5.281083,0.2184615135192871
256,1999,-4.82975,0.6697945594787598
257,2000,-4.5456667,0.9538779258728028
258,2001,-4.490667,1.0088777542114258
259,2002,-4.1229167,1.3766279220581057
260,2003,-3.8328333,1.6667113304138184
261,2004,-4.493583,1.0059614181518557
262,2005,-3.4980834,2.001461267471313
263,2006,-4.763,0.7365446090698242
264,2007,-2.9750834,2.524461269378662
265,2008,-3.3054166,2.1941280364990234
266,2009,-4.6085,0.8910446166992188
267,2010,-4.520583,0.97896146774292
268,2011,-3.4015834,2.097961187362671
269,2012,-3.90175,1.597794532775879
270,2013,-2.263125,3.236419677734375
