,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,18.551182,-0.6907863616943359
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,18.213428,-1.0285396575927734
115,1858,18.733126,-0.5088424682617188
116,1859,18.870333,-0.3716354370117187
117,1860,18.710909,-0.5310592651367188
118,1861,18.4427,-0.7992687225341797
119,1862,,
120,1863,,
121,1864,18.60975,-0.6322174072265625
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,,
131,1874,,
132,1875,18.763624,-0.4783439636230469
133,1876,18.58,-0.6619682312011719
134,1877,19.151417,-0.0905513763427734
135,1878,19.288918,0.0469493865966796
136,1879,,
137,1880,18.639273,-0.6026954650878906
138,1881,18.57011,-0.6718578338623047
139,1882,18.708084,-0.5338840484619141
140,1883,18.609917,-0.6320514678955078
141,1884,18.407167,-0.8348007202148438
142,1885,18.698334,-0.5436344146728516
143,1886,18.664917,-0.5770511627197266
144,1887,18.501917,-0.74005126953125
145,1888,18.5205,-0.7214679718017578
146,1889,19.129833,-0.1121349334716796
147,1890,18.598833,-0.6431350708007812
148,1891,18.614916,-0.6270523071289062
149,1892,18.92075,-0.3212184906005859
150,1893,18.564917,-0.6770515441894531
151,1894,19.058834,-0.1831340789794922
152,1895,18.966167,-0.2758007049560547
153,1896,18.97475,-0.2672176361083984
154,1897,19.093416,-0.1485519409179687
155,1898,19.268167,0.0261993408203125
156,1899,19.049833,-0.1921348571777343
157,1900,19.235584,-0.0063838958740234
158,1901,19.87675,0.6347827911376953
159,1902,19.36375,0.1217823028564453
160,1903,19.39625,0.1542816162109375
161,1904,18.318832,-0.9231357574462892
162,1905,19.0045,-0.2374687194824218
163,1906,18.878666,-0.3633022308349609
164,1907,18.859667,-0.3823013305664062
165,1908,18.621584,-0.6203842163085938
166,1909,18.361334,-0.8806343078613281
167,1910,18.662666,-0.5793018341064453
168,1911,19.402666,0.1606979370117187
169,1912,19.7055,0.463531494140625
170,1913,19.299166,0.0571975708007812
171,1914,19.072166,-0.1698017120361328
172,1915,19.1555,-0.0864677429199218
173,1916,18.843166,-0.3988018035888672
174,1917,18.642334,-0.5996341705322266
175,1918,18.852667,-0.3893013000488281
176,1919,19.043083,-0.1988849639892578
177,1920,18.9315,-0.3104686737060547
178,1921,19.29475,0.0527820587158203
179,1922,18.686083,-0.5558853149414062
180,1923,18.717417,-0.5245513916015625
181,1924,19.255083,0.0131149291992187
182,1925,19.029167,-0.2128009796142578
183,1926,19.069584,-0.1723842620849609
184,1927,19.425,0.1830310821533203
185,1928,19.414083,0.1721153259277343
186,1929,19.164833,-0.0771350860595703
187,1930,19.114,-0.1279678344726562
188,1931,19.511168,0.2691993713378906
189,1932,19.18675,-0.0552177429199218
190,1933,19.132334,-0.1096343994140625
191,1934,19.22875,-0.0132179260253906
192,1935,19.375584,0.133615493774414
193,1936,19.315332,0.0733642578125
194,1937,19.111834,-0.1301345825195312
195,1938,19.223083,-0.0188846588134765
196,1939,19.191668,-0.0503005981445312
197,1940,19.414,0.1720314025878906
198,1941,19.824083,0.5821151733398438
199,1942,19.288666,0.0466976165771484
200,1943,19.321833,0.079864501953125
201,1944,19.3675,0.1255321502685547
202,1945,19.2085,-0.0334682464599609
203,1946,19.356417,0.1144485473632812
204,1947,19.150417,-0.0915508270263671
205,1948,19.25375,0.0117816925048828
206,1949,19.64825,0.4062824249267578
207,1950,19.259832,0.0178642272949218
208,1951,19.062416,-0.1795520782470703
209,1952,19.4425,0.200531005859375
210,1953,19.304333,0.0623645782470703
211,1954,19.211834,-0.0301342010498046
212,1955,19.10375,-0.1382179260253906
213,1956,18.878,-0.3639678955078125
214,1957,19.301,0.0590324401855468
215,1958,19.53175,0.2897815704345703
216,1959,19.336416,0.0944480895996093
217,1960,19.243334,0.0013656616210937
218,1961,19.23,-0.0119686126708984
219,1962,19.01525,-0.2267189025878906
220,1963,18.964666,-0.2773017883300781
221,1964,19.142166,-0.099802017211914
222,1965,19.263584,0.021615982055664
223,1966,19.268167,0.0261993408203125
224,1967,19.10325,-0.1387176513671875
225,1968,19.0575,-0.1844673156738281
226,1969,19.46575,0.2237815856933593
227,1970,19.224667,-0.0173015594482421
228,1971,18.911333,-0.3306350708007812
229,1972,19.45175,0.2097816467285156
230,1973,19.539833,0.2978649139404297
231,1974,19.142916,-0.0990524291992187
232,1975,19.148666,-0.093301773071289
233,1976,19.2815,0.0395317077636718
234,1977,19.59325,0.3512821197509765
235,1978,19.5185,0.2765312194824219
236,1979,19.56525,0.323282241821289
237,1980,19.771084,0.5291156768798828
238,1981,19.582333,0.3403644561767578
239,1982,19.547083,0.30511474609375
240,1983,19.968834,0.7268657684326172
241,1984,19.498167,0.2561988830566406
242,1985,19.461834,0.2198657989501953
243,1986,19.63275,0.3907814025878906
244,1987,20.16625,0.9242820739746094
245,1988,19.78475,0.5427818298339844
246,1989,19.187416,-0.0545520782470703
247,1990,19.545834,0.3038654327392578
248,1991,19.38075,0.1387825012207031
249,1992,19.692,0.4500312805175781
250,1993,19.6935,0.4515323638916015
251,1994,19.712418,0.4704494476318359
252,1995,19.9635,0.7215309143066406
253,1996,19.477417,0.2354488372802734
254,1997,19.95575,0.7137813568115234
255,1998,19.951834,0.7098655700683594
256,1999,19.508833,0.2668647766113281
257,2000,19.753084,0.5111160278320312
258,2001,19.66125,0.419281005859375
259,2002,19.94725,0.7052822113037109
260,2003,20.094334,0.8523654937744141
261,2004,20.084917,0.8429489135742188
262,2005,20.432583,1.1906147003173828
263,2006,20.162834,0.9208660125732422
264,2007,19.76325,0.5212821960449219
265,2008,19.7305,0.4885311126708984
266,2009,20.022667,0.7806987762451172
267,2010,20.267084,1.025115966796875
268,2011,19.77375,0.5317821502685547
269,2012,19.959417,0.7174491882324219
270,2013,20.103874,0.8619060516357422
