,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,26.378,-0.2322731018066406
82,1825,26.716,0.1057262420654296
83,1826,26.4105,-0.1997737884521484
84,1827,26.594181,-0.016092300415039
85,1828,26.606909,-0.0033645629882812
86,1829,26.1024,-0.50787353515625
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,26.012667,-0.5976066589355469
103,1846,26.535833,-0.0744400024414062
104,1847,26.071417,-0.5388565063476562
105,1848,25.975334,-0.6349391937255859
106,1849,26.045834,-0.5644397735595703
107,1850,26.106333,-0.5039405822753906
108,1851,26.26125,-0.3490238189697265
109,1852,26.026,-0.5842742919921875
110,1853,26.2415,-0.3687725067138672
111,1854,26.165333,-0.4449405670166015
112,1855,26.302668,-0.3076057434082031
113,1856,26.38075,-0.229522705078125
114,1857,25.864,-0.7462730407714844
115,1858,25.853,-0.7572727203369141
116,1859,25.973583,-0.6366901397705078
117,1860,26.029917,-0.5803565979003906
118,1861,26.165916,-0.4443569183349609
119,1862,26.02125,-0.5890235900878906
120,1863,26.180584,-0.4296894073486328
121,1864,26.127,-0.4832725524902344
122,1865,26.387417,-0.2228565216064453
123,1866,26.219584,-0.3906898498535156
124,1867,26.19975,-0.4105224609375
125,1868,26.459333,-0.15093994140625
126,1869,26.411167,-0.199106216430664
127,1870,26.21425,-0.3960227966308594
128,1871,26.480917,-0.1293563842773437
129,1872,26.46725,-0.1430225372314453
130,1873,26.21975,-0.3905239105224609
131,1874,26.113333,-0.4969406127929687
132,1875,26.08125,-0.5290241241455078
133,1876,26.344418,-0.2658557891845703
134,1877,26.738916,0.1286430358886718
135,1878,26.8015,0.1912269592285156
136,1879,26.22025,-0.390024185180664
137,1880,26.075417,-0.5348567962646484
138,1881,26.208834,-0.4014396667480469
139,1882,26.051332,-0.5589408874511719
140,1883,25.822916,-0.7873573303222656
141,1884,25.884,-0.7262725830078125
142,1885,26.322916,-0.2873573303222656
143,1886,25.970167,-0.640106201171875
144,1887,25.827833,-0.782440185546875
145,1888,26.133167,-0.4771060943603515
146,1889,26.453167,-0.1571063995361328
147,1890,26.037416,-0.5728569030761719
148,1891,26.361834,-0.2484397888183593
149,1892,26.267834,-0.3424396514892578
150,1893,26.1265,-0.483774185180664
151,1894,26.127333,-0.482940673828125
152,1895,26.324167,-0.2861061096191406
153,1896,26.324,-0.2862739562988281
154,1897,26.538166,-0.0721073150634765
155,1898,26.467417,-0.1428565979003906
156,1899,26.281416,-0.328857421875
157,1900,26.40675,-0.2035236358642578
158,1901,26.662834,0.052560806274414
159,1902,26.500668,-0.1096057891845703
160,1903,26.506416,-0.1038570404052734
161,1904,26.14025,-0.4700241088867187
162,1905,26.542833,-0.0674400329589843
163,1906,26.376833,-0.2334403991699218
164,1907,26.126,-0.4842739105224609
165,1908,26.293583,-0.316690444946289
166,1909,26.128334,-0.4819393157958984
167,1910,26.077084,-0.5331897735595703
168,1911,26.305334,-0.3049392700195312
169,1912,26.468,-0.14227294921875
170,1913,25.926666,-0.6836071014404297
171,1914,26.379667,-0.2306060791015625
172,1915,26.622334,0.0120601654052734
173,1916,26.194584,-0.415689468383789
174,1917,26.043667,-0.5666065216064453
175,1918,26.308167,-0.3021068572998047
176,1919,26.57025,-0.0400238037109375
177,1920,26.415,-0.1952724456787109
178,1921,26.432417,-0.1778564453125
179,1922,26.287916,-0.322357177734375
180,1923,26.345833,-0.2644405364990234
181,1924,26.494,-0.1162738800048828
182,1925,26.31825,-0.292022705078125
183,1926,26.770584,0.1603107452392578
184,1927,26.53475,-0.0755233764648437
185,1928,26.69775,0.0874767303466796
186,1929,26.386583,-0.2236900329589843
187,1930,26.738417,0.128143310546875
188,1931,26.970833,0.3605594635009765
189,1932,26.738583,0.1283092498779297
190,1933,26.436167,-0.1741065979003906
191,1934,26.3945,-0.2157726287841797
192,1935,26.489084,-0.1211891174316406
193,1936,26.592667,-0.0176067352294921
194,1937,26.761084,0.1508102416992187
195,1938,26.368584,-0.2416896820068359
196,1939,26.620667,0.0103931427001953
197,1940,26.828667,0.218393325805664
198,1941,27.09,0.4797267913818359
199,1942,26.999666,0.3893928527832031
200,1943,26.541834,-0.0684394836425781
201,1944,26.58175,-0.0285224914550781
202,1945,26.400084,-0.2101898193359375
203,1946,26.653166,0.0428924560546875
204,1947,26.911,0.3007259368896484
205,1948,26.847334,0.237060546875
206,1949,26.413084,-0.1971893310546875
207,1950,26.266417,-0.3438568115234375
208,1951,26.69525,0.0849761962890625
209,1952,26.866917,0.2566432952880859
210,1953,27.03725,0.4269771575927734
211,1954,26.660667,0.050394058227539
212,1955,26.725,0.1147270202636718
213,1956,26.626833,0.0165596008300781
214,1957,26.887167,0.2768936157226562
215,1958,27.2545,0.64422607421875
216,1959,27.09025,0.4799766540527344
217,1960,27.140167,0.5298938751220703
218,1961,26.935833,0.3255596160888672
219,1962,26.846916,0.236642837524414
220,1963,27.049334,0.4390602111816406
221,1964,26.882416,0.2721424102783203
222,1965,26.557,-0.0532741546630859
223,1966,26.691668,0.0813941955566406
224,1967,26.484,-0.1262741088867187
225,1968,26.608583,-0.0016899108886718
226,1969,27.04925,0.4389762878417969
227,1970,26.916166,0.3058929443359375
228,1971,26.553417,-0.0568561553955078
229,1972,26.67075,0.0604763031005859
230,1973,27.012333,0.4020595550537109
231,1974,26.491833,-0.1184406280517578
232,1975,26.48975,-0.120523452758789
233,1976,26.4545,-0.1557731628417968
234,1977,27.048334,0.4380607604980469
235,1978,27.040583,0.4303092956542969
236,1979,26.806334,0.1960601806640625
237,1980,27.252083,0.6418094635009766
238,1981,27.18325,0.5729770660400391
239,1982,26.831167,0.2208938598632812
240,1983,27.263666,0.6533927917480469
241,1984,26.859333,0.2490596771240234
242,1985,26.842,0.2317256927490234
243,1986,26.884417,0.2741432189941406
244,1987,27.379583,0.7693099975585938
245,1988,27.137917,0.5276432037353516
246,1989,26.846582,0.2363090515136718
247,1990,27.09875,0.4884757995605469
248,1991,27.097334,0.487060546875
249,1992,27.050333,0.4400596618652344
250,1993,27.163416,0.5531425476074219
251,1994,27.16925,0.5589771270751953
252,1995,27.550333,0.9400596618652344
253,1996,27.056833,0.4465599060058594
254,1997,27.393583,0.7833099365234375
255,1998,27.740833,1.1305599212646484
256,1999,27.344584,0.7343101501464844
257,2000,27.05275,0.4424762725830078
258,2001,27.4085,0.7982273101806641
259,2002,27.53825,0.9279766082763672
260,2003,27.677416,1.0671424865722656
261,2004,27.334,0.7237262725830078
262,2005,27.732334,1.122060775756836
263,2006,27.63625,1.0259761810302734
264,2007,27.685083,1.074810028076172
265,2008,27.140417,0.5301437377929688
266,2009,27.468584,0.8583106994628906
267,2010,27.856,1.2457275390625
268,2011,27.528334,0.918060302734375
269,2012,27.63925,1.0289764404296875
270,2013,27.363,0.7527275085449219
