,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,25.596636,-0.2554512023925781
82,1825,25.966084,0.1139965057373046
83,1826,25.6266,-0.2254867553710937
84,1827,25.833364,-0.0187225341796875
85,1828,25.803091,-0.0489959716796875
86,1829,25.4082,-0.443887710571289
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,25.25389,-0.5981979370117188
103,1846,25.77325,-0.078836441040039
104,1847,25.300083,-0.5520038604736328
105,1848,25.230167,-0.6219196319580078
106,1849,25.31025,-0.5418376922607422
107,1850,25.35525,-0.4968376159667969
108,1851,25.47925,-0.3728370666503906
109,1852,25.249834,-0.6022529602050781
110,1853,25.493416,-0.3586711883544922
111,1854,25.391083,-0.4610042572021484
112,1855,25.528166,-0.3239212036132812
113,1856,25.6425,-0.2095870971679687
114,1857,25.068666,-0.7834205627441406
115,1858,25.091167,-0.7609195709228516
116,1859,25.200916,-0.6511707305908203
117,1860,25.287,-0.5650863647460938
118,1861,25.423834,-0.428253173828125
119,1862,25.258,-0.5940876007080078
120,1863,25.369417,-0.4826698303222656
121,1864,25.372,-0.4800872802734375
122,1865,25.59,-0.2620868682861328
123,1866,25.444416,-0.4076709747314453
124,1867,25.497,-0.3550872802734375
125,1868,25.723917,-0.1281700134277343
126,1869,25.750416,-0.1016712188720703
127,1870,25.400583,-0.4515037536621094
128,1871,25.694334,-0.1577529907226562
129,1872,25.788834,-0.0632534027099609
130,1873,25.498833,-0.3532543182373047
131,1874,25.375166,-0.4769210815429687
132,1875,25.385916,-0.4661712646484375
133,1876,25.640667,-0.2114200592041015
134,1877,26.003666,0.1515789031982422
135,1878,26.087833,0.2357463836669922
136,1879,25.507166,-0.3449211120605469
137,1880,25.211584,-0.6405029296875
138,1881,25.419916,-0.4321708679199219
139,1882,25.236166,-0.6159210205078125
140,1883,25.163918,-0.6881694793701172
141,1884,25.094166,-0.7579212188720703
142,1885,25.630333,-0.2217540740966797
143,1886,25.231667,-0.6204204559326172
144,1887,25.104584,-0.7475032806396484
145,1888,25.46225,-0.3898372650146484
146,1889,25.768583,-0.0835037231445312
147,1890,25.157167,-0.6949195861816406
148,1891,25.655582,-0.1965045928955078
149,1892,25.588667,-0.2634201049804687
150,1893,25.35525,-0.4968376159667969
151,1894,25.255583,-0.5965042114257812
152,1895,25.49925,-0.3528366088867187
153,1896,25.5595,-0.2925872802734375
154,1897,25.740334,-0.1117534637451171
155,1898,25.634666,-0.2174205780029297
156,1899,25.489916,-0.3621711730957031
157,1900,25.65225,-0.1998367309570312
158,1901,25.8635,0.01141357421875
159,1902,25.789417,-0.0626697540283203
160,1903,25.764584,-0.087503433227539
161,1904,25.355333,-0.4967536926269531
162,1905,25.744,-0.1080875396728515
163,1906,25.612833,-0.2392539978027343
164,1907,25.383167,-0.4689197540283203
165,1908,25.51025,-0.341836929321289
166,1909,25.387583,-0.4645042419433594
167,1910,25.3345,-0.5175876617431641
168,1911,25.560917,-0.2911701202392578
169,1912,25.681917,-0.1701698303222656
170,1913,25.1545,-0.6975879669189453
171,1914,25.638166,-0.2139205932617187
172,1915,25.949083,0.0969963073730468
173,1916,25.48975,-0.3623371124267578
174,1917,25.245832,-0.6062545776367188
175,1918,25.517916,-0.3341712951660156
176,1919,25.819,-0.0330867767333984
177,1920,25.6375,-0.2145862579345703
178,1921,25.64475,-0.20733642578125
179,1922,25.52875,-0.3233375549316406
180,1923,25.552917,-0.2991695404052734
181,1924,25.761084,-0.09100341796875
182,1925,25.542334,-0.30975341796875
183,1926,26.0465,0.1944122314453125
184,1927,25.829082,-0.0230045318603515
185,1928,25.9235,0.0714130401611328
186,1929,25.609667,-0.2424201965332031
187,1930,25.944916,0.0928287506103515
188,1931,26.23175,0.3796634674072265
189,1932,25.959583,0.1074962615966796
190,1933,25.615667,-0.236419677734375
191,1934,25.60725,-0.2448368072509765
192,1935,25.675583,-0.1765041351318359
193,1936,25.771334,-0.0807533264160156
194,1937,25.9935,0.1414127349853515
195,1938,25.536167,-0.3159198760986328
196,1939,25.816,-0.0360870361328125
197,1940,26.150333,0.2982463836669922
198,1941,26.374416,0.5223293304443359
199,1942,26.285667,0.4335803985595703
200,1943,25.758083,-0.094003677368164
201,1944,25.836834,-0.0152530670166015
202,1945,25.581917,-0.2701702117919922
203,1946,25.820168,-0.0319194793701171
204,1947,26.1395,0.2874126434326172
205,1948,26.040333,0.1882457733154297
206,1949,25.640417,-0.211669921875
207,1950,25.4755,-0.3765869140625
208,1951,25.951334,0.0992469787597656
209,1952,26.150167,0.2980804443359375
210,1953,26.259916,0.4078292846679687
211,1954,25.854416,0.002328872680664
212,1955,25.987333,0.1352462768554687
213,1956,25.825583,-0.0265045166015625
214,1957,26.11175,0.2596626281738281
215,1958,26.533333,0.6812458038330078
216,1959,26.324917,0.4728298187255859
217,1960,26.412916,0.5608291625976562
218,1961,26.149334,0.2972469329833984
219,1962,26.146334,0.2942466735839844
220,1963,26.32325,0.4711627960205078
221,1964,26.160334,0.3082466125488281
222,1965,25.841167,-0.0109195709228515
223,1966,26.009916,0.1578292846679687
224,1967,25.765,-0.0870876312255859
225,1968,25.843916,-0.0081710815429687
226,1969,26.312084,0.4599971771240234
227,1970,26.157417,0.3053302764892578
228,1971,25.8025,-0.0495872497558593
229,1972,25.970917,0.1188297271728515
230,1973,26.2695,0.4174137115478515
231,1974,25.728666,-0.1234207153320312
232,1975,25.77,-0.0820865631103515
233,1976,25.658167,-0.1939201354980468
234,1977,26.256584,0.4044971466064453
235,1978,26.27075,0.4186630249023437
236,1979,26.076084,0.2239971160888672
237,1980,26.551584,0.6994972229003906
238,1981,26.48525,0.6331634521484375
239,1982,26.0735,0.2214126586914062
240,1983,26.489666,0.6375789642333984
241,1984,26.044584,0.1924972534179687
242,1985,26.039,0.1869125366210937
243,1986,26.120832,0.2687454223632812
244,1987,26.669,0.8169136047363281
245,1988,26.353,0.5009136199951172
246,1989,26.088917,0.2368297576904297
247,1990,26.348917,0.4968299865722656
248,1991,26.293917,0.4418296813964844
249,1992,26.315584,0.4634971618652344
250,1993,26.397833,0.545745849609375
251,1994,26.403418,0.55133056640625
252,1995,26.793333,0.9412460327148438
253,1996,26.325333,0.473245620727539
254,1997,26.675083,0.8229961395263672
255,1998,26.996334,1.144247055053711
256,1999,26.521334,0.6692466735839844
257,2000,26.2735,0.4214134216308594
258,2001,26.66525,0.8131637573242188
259,2002,26.779917,0.9278297424316406
260,2003,26.915083,1.0629959106445312
261,2004,26.527334,0.6752471923828125
262,2005,26.994917,1.1428298950195312
263,2006,26.874416,1.022329330444336
264,2007,26.964666,1.112579345703125
265,2008,26.39225,0.5401630401611328
266,2009,26.716583,0.8644962310791016
267,2010,27.164083,1.3119964599609375
268,2011,26.67125,0.8191623687744141
269,2012,26.855167,1.0030803680419922
270,2013,26.66575,0.8136634826660156
