,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,26.309727,-0.33697509765625
82,1825,26.814583,0.1678810119628906
83,1826,26.3638,-0.2829017639160156
84,1827,26.535454,-0.1112480163574218
85,1828,26.460636,-0.186065673828125
86,1829,26.3252,-0.321502685546875
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,26.074667,-0.5720348358154297
103,1846,26.633083,-0.0136184692382812
104,1847,26.077833,-0.5688686370849609
105,1848,26.079584,-0.5671176910400391
106,1849,26.113167,-0.5335350036621094
107,1850,26.177584,-0.4691181182861328
108,1851,26.22075,-0.4259510040283203
109,1852,26.11875,-0.5279521942138672
110,1853,26.328083,-0.3186187744140625
111,1854,26.1965,-0.4502010345458984
112,1855,26.325916,-0.3207855224609375
113,1856,26.373917,-0.2727851867675781
114,1857,25.860584,-0.7861175537109375
115,1858,25.910334,-0.7363681793212891
116,1859,25.92725,-0.719451904296875
117,1860,26.155,-0.4917011260986328
118,1861,26.208334,-0.4383678436279297
119,1862,26.049,-0.5977020263671875
120,1863,26.01775,-0.6289520263671875
121,1864,26.159416,-0.4872856140136719
122,1865,26.353,-0.293701171875
123,1866,26.294333,-0.3523693084716797
124,1867,26.3735,-0.2732009887695312
125,1868,26.4825,-0.1642017364501953
126,1869,26.549583,-0.0971183776855468
127,1870,26.10475,-0.5419521331787109
128,1871,26.496334,-0.1503677368164062
129,1872,26.589,-0.0577011108398437
130,1873,26.351667,-0.2950344085693359
131,1874,26.272667,-0.3740348815917969
132,1875,26.123,-0.5237026214599609
133,1876,26.349333,-0.2973690032958984
134,1877,26.866,0.2192974090576172
135,1878,26.948084,0.3013820648193359
136,1879,26.285,-0.3617019653320312
137,1880,25.860834,-0.7858676910400391
138,1881,26.286917,-0.3597850799560547
139,1882,26.058584,-0.5881175994873047
140,1883,25.888416,-0.7582855224609375
141,1884,25.905416,-0.7412853240966797
142,1885,26.398916,-0.2477855682373047
143,1886,26.0455,-0.6012020111083984
144,1887,25.972334,-0.6743679046630859
145,1888,26.390083,-0.2566184997558594
146,1889,26.65675,0.0100479125976562
147,1890,25.682417,-0.964284896850586
148,1891,26.55125,-0.0954513549804687
149,1892,26.397,-0.2497024536132812
150,1893,26.1915,-0.4552021026611328
151,1894,26.010666,-0.6360359191894531
152,1895,26.20075,-0.4459514617919922
153,1896,26.268417,-0.3782844543457031
154,1897,26.456,-0.1907024383544922
155,1898,26.352833,-0.2938690185546875
156,1899,26.302917,-0.3437843322753906
157,1900,26.4755,-0.1712017059326172
158,1901,26.609333,-0.0373687744140625
159,1902,26.57875,-0.0679512023925781
160,1903,26.544083,-0.1026191711425781
161,1904,26.09275,-0.5539512634277344
162,1905,26.391167,-0.2555351257324219
163,1906,26.365084,-0.2816181182861328
164,1907,26.264917,-0.381784439086914
165,1908,26.2595,-0.3872013092041015
166,1909,26.160084,-0.4866180419921875
167,1910,26.090084,-0.5566177368164062
168,1911,26.33525,-0.3114509582519531
169,1912,26.3615,-0.2852020263671875
170,1913,26.007,-0.6397018432617188
171,1914,26.492,-0.1547012329101562
172,1915,26.743584,0.0968818664550781
173,1916,26.306667,-0.3400344848632812
174,1917,25.999834,-0.6468677520751953
175,1918,26.189667,-0.4570350646972656
176,1919,26.615667,-0.0310344696044921
177,1920,26.234917,-0.4117851257324219
178,1921,26.269583,-0.3771190643310547
179,1922,26.247334,-0.3993682861328125
180,1923,26.2885,-0.3582019805908203
181,1924,26.644333,-0.0023689270019531
182,1925,26.296083,-0.3506183624267578
183,1926,26.852833,0.2061309814453125
184,1927,26.736334,0.0896320343017578
185,1928,26.686916,0.0402145385742187
186,1929,26.519167,-0.1275348663330078
187,1930,26.685167,0.0384654998779296
188,1931,27.049166,0.4024639129638672
189,1932,26.8385,0.1917972564697265
190,1933,26.487167,-0.1595344543457031
191,1934,26.501333,-0.1453685760498047
192,1935,26.272,-0.3747024536132812
193,1936,26.482,-0.1647014617919922
194,1937,26.7415,0.0947990417480468
195,1938,26.434166,-0.2125358581542968
196,1939,26.584417,-0.0622844696044921
197,1940,27.0895,0.4427986145019531
198,1941,27.253916,0.6072139739990234
199,1942,27.096,0.4492988586425781
200,1943,26.631083,-0.0156192779541015
201,1944,26.745,0.0982990264892578
202,1945,26.478333,-0.1683692932128906
203,1946,26.580584,-0.0661182403564453
204,1947,26.806833,0.1601314544677734
205,1948,26.703417,0.0567150115966796
206,1949,26.516666,-0.130035400390625
207,1950,26.327333,-0.3193683624267578
208,1951,26.756584,0.1098823547363281
209,1952,27.119167,0.4724655151367187
210,1953,27.021,0.374298095703125
211,1954,26.6905,0.0437984466552734
212,1955,26.790916,0.1442146301269531
213,1956,26.666,0.0192985534667968
214,1957,26.738583,0.0918807983398437
215,1958,27.286667,0.6399650573730469
216,1959,27.01175,0.3650474548339844
217,1960,27.153833,0.5071315765380859
218,1961,26.9735,0.3267974853515625
219,1962,27.027334,0.3806324005126953
220,1963,27.149584,0.5028820037841797
221,1964,26.871084,0.2243824005126953
222,1965,26.812666,0.165964126586914
223,1966,26.925333,0.2786312103271484
224,1967,26.66425,0.017547607421875
225,1968,26.68675,0.040048599243164
226,1969,27.28025,0.6335487365722656
227,1970,26.974333,0.3276309967041015
228,1971,26.610666,-0.0360355377197265
229,1972,26.89275,0.2460479736328125
230,1973,26.995583,0.3488807678222656
231,1974,26.634,-0.0127010345458984
232,1975,26.5915,-0.0552024841308593
233,1976,26.487667,-0.1590347290039062
234,1977,26.967417,0.3207149505615234
235,1978,27.078167,0.4314651489257812
236,1979,27.046167,0.3994655609130859
237,1980,27.321333,0.6746311187744141
238,1981,27.302584,0.6558818817138672
239,1982,26.9715,0.324798583984375
240,1983,27.187166,0.5404644012451172
241,1984,26.832582,0.1858806610107422
242,1985,26.724333,0.0776309967041015
243,1986,26.841084,0.1943817138671875
244,1987,27.546167,0.8994655609130859
245,1988,27.183083,0.5363807678222656
246,1989,26.916,0.2692985534667969
247,1990,27.14275,0.4960479736328125
248,1991,27.087166,0.4404640197753906
249,1992,27.103,0.456298828125
250,1993,27.247417,0.6007156372070312
251,1994,27.14025,0.4935474395751953
252,1995,27.49275,0.8460483551025391
253,1996,27.175083,0.52838134765625
254,1997,27.442083,0.7953815460205078
255,1998,27.812,1.1652984619140625
256,1999,27.328583,0.6818809509277344
257,2000,27.078417,0.4317150115966797
258,2001,27.42125,0.7745475769042969
259,2002,27.462833,0.816131591796875
260,2003,27.607666,0.9609642028808594
261,2004,27.377916,0.7312145233154297
262,2005,27.858667,1.211965560913086
263,2006,27.692167,1.0454654693603516
264,2007,27.58325,0.9365482330322266
265,2008,27.208666,0.5619640350341797
266,2009,27.495,0.8482990264892578
267,2010,28.005917,1.3592147827148438
268,2011,27.540167,0.8934650421142578
269,2012,27.578917,0.9322147369384766
270,2013,27.4655,0.8187980651855469
