,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,,
115,1858,,
116,1859,,
117,1860,,
118,1861,,
119,1862,,
120,1863,,
121,1864,,
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,,
131,1874,,
132,1875,,
133,1876,,
134,1877,,
135,1878,,
136,1879,,
137,1880,,
138,1881,,
139,1882,,
140,1883,,
141,1884,,
142,1885,,
143,1886,,
144,1887,,
145,1888,,
146,1889,,
147,1890,,
148,1891,,
149,1892,,
150,1893,,
151,1894,,
152,1895,,
153,1896,,
154,1897,,
155,1898,,
156,1899,,
157,1900,,
158,1901,,
159,1902,,
160,1903,,
161,1904,,
162,1905,,
163,1906,,
164,1907,,
165,1908,,
166,1909,,
167,1910,,
168,1911,,
169,1912,,
170,1913,,
171,1914,,
172,1915,,
173,1916,,
174,1917,,
175,1918,,
176,1919,,
177,1920,,
178,1921,,
179,1922,,
180,1923,,
181,1924,,
182,1925,,
183,1926,,
184,1927,,
185,1928,,
186,1929,,
187,1930,,
188,1931,,
189,1932,,
190,1933,,
191,1934,,
192,1935,,
193,1936,,
194,1937,,
195,1938,,
196,1939,,
197,1940,,
198,1941,,
199,1942,,
200,1943,,
201,1944,,
202,1945,,
203,1946,,
204,1947,,
205,1948,,
206,1949,,
207,1950,,
208,1951,,
209,1952,,
210,1953,,
211,1954,,
212,1955,,
213,1956,,
214,1957,,
215,1958,,
216,1959,,
217,1960,,
218,1961,,
219,1962,,
220,1963,,
221,1964,,
222,1965,,
223,1966,,
224,1967,,
225,1968,,
226,1969,,
227,1970,,
228,1971,,
229,1972,,
230,1973,,
231,1974,,
232,1975,,
233,1976,,
234,1977,,
235,1978,,
236,1979,,
237,1980,,
238,1981,,
239,1982,,
240,1983,,
241,1984,,
242,1985,,
243,1986,,
244,1987,,
245,1988,,
246,1989,,
247,1990,,
248,1991,,
249,1992,,
250,1993,,
251,1994,,
252,1995,,
253,1996,,
254,1997,,
255,1998,,
256,1999,,
257,2000,,
258,2001,,
259,2002,,
260,2003,,
261,2004,,
262,2005,,
263,2006,,
264,2007,,
265,2008,,
266,2009,,
267,2010,,
268,2011,,
269,2012,,
270,2013,,
