,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,26.46291,-0.3264884948730469
82,1825,26.957083,0.1676845550537109
83,1826,26.5159,-0.27349853515625
84,1827,26.691,-0.098398208618164
85,1828,26.606182,-0.1832160949707031
86,1829,26.4781,-0.3112983703613281
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,26.215221,-0.5741767883300781
103,1846,26.77475,-0.0146484375
104,1847,26.222166,-0.5672321319580078
105,1848,26.22225,-0.5671482086181641
106,1849,26.257084,-0.5323143005371094
107,1850,26.32325,-0.4661483764648437
108,1851,26.364916,-0.4244823455810547
109,1852,26.258833,-0.5305652618408203
110,1853,26.4655,-0.3238983154296875
111,1854,26.337334,-0.4520645141601562
112,1855,26.472166,-0.3172321319580078
113,1856,26.53425,-0.2551479339599609
114,1857,25.990168,-0.7992305755615234
115,1858,26.053333,-0.7360649108886719
116,1859,26.072666,-0.7167320251464844
117,1860,26.296,-0.4933986663818359
118,1861,26.344418,-0.4449806213378906
119,1862,26.189833,-0.5995655059814453
120,1863,26.153418,-0.6359806060791016
121,1864,26.30325,-0.4861488342285156
122,1865,26.474417,-0.314981460571289
123,1866,26.429083,-0.3603153228759765
124,1867,26.5185,-0.2708988189697265
125,1868,26.610332,-0.1790657043457031
126,1869,26.730333,-0.0590648651123046
127,1870,26.254333,-0.535064697265625
128,1871,26.620167,-0.1692314147949218
129,1872,26.715918,-0.0734806060791015
130,1873,26.498667,-0.2907314300537109
131,1874,26.40225,-0.3871479034423828
132,1875,26.268333,-0.5210647583007812
133,1876,26.511,-0.2783985137939453
134,1877,27.0375,0.2481021881103515
135,1878,27.141834,0.3524360656738281
136,1879,26.423416,-0.3659820556640625
137,1880,25.979834,-0.8095645904541016
138,1881,26.424917,-0.364480972290039
139,1882,26.176584,-0.6128139495849609
140,1883,26.049,-0.7403984069824219
141,1884,26.046417,-0.74298095703125
142,1885,26.535,-0.2543983459472656
143,1886,26.15775,-0.6316490173339844
144,1887,26.103834,-0.6855640411376953
145,1888,26.54,-0.2493972778320312
146,1889,26.835333,0.0459346771240234
147,1890,25.803833,-0.985565185546875
148,1891,26.7225,-0.0668983459472656
149,1892,26.530834,-0.2585639953613281
150,1893,26.343,-0.4463977813720703
151,1894,26.13525,-0.6541481018066406
152,1895,26.34,-0.4493980407714844
153,1896,26.405333,-0.3840656280517578
154,1897,26.60475,-0.1846485137939453
155,1898,26.452,-0.3373985290527344
156,1899,26.452583,-0.3368148803710937
157,1900,26.637083,-0.1523151397705078
158,1901,26.717583,-0.0718154907226562
159,1902,26.72725,-0.0621490478515625
160,1903,26.72725,-0.0621490478515625
161,1904,26.22925,-0.5601482391357422
162,1905,26.531334,-0.2580642700195312
163,1906,26.5045,-0.2848987579345703
164,1907,26.403,-0.3863983154296875
165,1908,26.392084,-0.3973140716552734
166,1909,26.3125,-0.476898193359375
167,1910,26.24425,-0.5451488494873047
168,1911,26.482834,-0.3065643310546875
169,1912,26.51025,-0.2791481018066406
170,1913,26.163834,-0.6255645751953125
171,1914,26.63375,-0.1556472778320312
172,1915,26.871166,0.0817680358886718
173,1916,26.442083,-0.3473148345947265
174,1917,26.135666,-0.6537322998046875
175,1918,26.33425,-0.455148696899414
176,1919,26.7585,-0.0308990478515625
177,1920,26.389,-0.4003982543945312
178,1921,26.40875,-0.3806476593017578
179,1922,26.380333,-0.4090652465820312
180,1923,26.39425,-0.3951473236083984
181,1924,26.739084,-0.0503139495849609
182,1925,26.422667,-0.3667316436767578
183,1926,26.994667,0.2052688598632812
184,1927,26.927917,0.138519287109375
185,1928,26.831583,0.042184829711914
186,1929,26.656084,-0.1333141326904297
187,1930,26.842667,0.0532684326171875
188,1931,27.177166,0.3877677917480469
189,1932,26.957916,0.16851806640625
190,1933,26.6085,-0.1808986663818359
191,1934,26.653584,-0.1358146667480468
192,1935,26.376167,-0.4132308959960937
193,1936,26.635834,-0.153564453125
194,1937,26.885584,0.0961856842041015
195,1938,26.592833,-0.1965656280517578
196,1939,26.735,-0.0543975830078125
197,1940,27.249166,0.4597682952880859
198,1941,27.389334,0.5999355316162109
199,1942,27.265167,0.47576904296875
200,1943,26.81025,0.0208511352539062
201,1944,26.909334,0.1199359893798828
202,1945,26.612583,-0.1768150329589843
203,1946,26.71325,-0.0761489868164062
204,1947,26.924,0.1346015930175781
205,1948,26.8355,0.0461025238037109
206,1949,26.67025,-0.1191482543945312
207,1950,26.458084,-0.3313140869140625
208,1951,26.89275,0.1033515930175781
209,1952,27.257334,0.467935562133789
210,1953,27.162083,0.3726844787597656
211,1954,26.832666,0.0432682037353515
212,1955,26.942083,0.1526851654052734
213,1956,26.815083,0.0256843566894531
214,1957,26.911167,0.1217689514160156
215,1958,27.447166,0.6577682495117188
216,1959,27.157917,0.3685188293457031
217,1960,27.309584,0.5201854705810547
218,1961,27.127,0.3376026153564453
219,1962,27.171667,0.3822689056396484
220,1963,27.28225,0.4928512573242187
221,1964,26.99775,0.2083511352539062
222,1965,26.956833,0.1674346923828125
223,1966,27.084167,0.294769287109375
224,1967,26.802084,0.0126857757568359
225,1968,26.815834,0.0264358520507812
226,1969,27.42725,0.6378517150878906
227,1970,27.130917,0.3415184020996094
228,1971,26.726667,-0.0627307891845703
229,1972,27.030834,0.2414360046386718
230,1973,27.136168,0.3467693328857422
231,1974,26.759,-0.0303974151611328
232,1975,26.747084,-0.0423145294189453
233,1976,26.668,-0.12139892578125
234,1977,27.1345,0.345102310180664
235,1978,27.229334,0.4399356842041015
236,1979,27.214916,0.4255180358886719
237,1980,27.454666,0.6652679443359375
238,1981,27.457666,0.6682682037353516
239,1982,27.094084,0.3046855926513672
240,1983,27.357666,0.568267822265625
241,1984,26.986584,0.1971855163574218
242,1985,26.832582,0.0431842803955078
243,1986,26.965584,0.1761856079101562
244,1987,27.707,0.9176025390625
245,1988,27.328833,0.5394344329833984
246,1989,27.041082,0.2516841888427734
247,1990,27.283333,0.4939346313476562
248,1991,27.220083,0.4306850433349609
249,1992,27.24325,0.4538516998291015
250,1993,27.387833,0.5984344482421875
251,1994,27.281,0.4916019439697265
252,1995,27.636917,0.8475189208984375
253,1996,27.303083,0.5136852264404297
254,1997,27.567417,0.7780189514160156
255,1998,27.965166,1.1757678985595703
256,1999,27.4775,0.6881027221679688
257,2000,27.217916,0.4285182952880859
258,2001,27.566084,0.7766857147216797
259,2002,27.601583,0.8121852874755859
260,2003,27.744,0.9546012878417968
261,2004,27.498583,0.7091846466064453
262,2005,27.981916,1.1925182342529297
263,2006,27.8205,1.0311012268066406
264,2007,27.7165,0.9271011352539062
265,2008,27.3815,0.59210205078125
266,2009,27.64275,0.8533515930175781
267,2010,28.132084,1.3426856994628906
268,2011,27.664583,0.8751850128173828
269,2012,27.736584,0.947185516357422
270,2013,27.636375,0.8469772338867188
