,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,,
115,1858,,
116,1859,,
117,1860,,
118,1861,,
119,1862,,
120,1863,,
121,1864,,
122,1865,,
123,1866,,
124,1867,26.072666,-0.2497463226318359
125,1868,25.601166,-0.7212467193603516
126,1869,26.015,-0.307413101196289
127,1870,25.7305,-0.5919132232666016
128,1871,25.984333,-0.3380794525146484
129,1872,25.920666,-0.4017467498779297
130,1873,25.882334,-0.4400787353515625
131,1874,25.905428,-0.4169845581054687
132,1875,25.60775,-0.7146625518798828
133,1876,25.928143,-0.3942699432373047
134,1877,,
135,1878,,
136,1879,,
137,1880,,
138,1881,,
139,1882,,
140,1883,25.71575,-0.6066627502441406
141,1884,25.388,-0.9344120025634766
142,1885,25.448092,-0.8743209838867188
143,1886,25.581083,-0.7413291931152344
144,1887,25.629417,-0.6929950714111328
145,1888,,
146,1889,,
147,1890,25.664167,-0.6582450866699219
148,1891,25.682333,-0.6400794982910156
149,1892,25.607334,-0.7150783538818359
150,1893,25.499666,-0.8227462768554688
151,1894,25.770916,-0.5514965057373047
152,1895,25.746834,-0.5755786895751953
153,1896,25.837917,-0.4844951629638672
154,1897,26.196667,-0.1257457733154297
155,1898,26.0685,-0.2539119720458984
156,1899,26.117916,-0.2044963836669922
157,1900,25.97475,-0.3476619720458984
158,1901,25.861584,-0.4608287811279297
159,1902,25.86775,-0.4546623229980469
160,1903,26.039333,-0.2830791473388672
161,1904,25.794666,-0.5277462005615234
162,1905,25.86875,-0.4536628723144531
163,1906,26.294083,-0.028329849243164
164,1907,25.72375,-0.598663330078125
165,1908,25.785334,-0.537078857421875
166,1909,25.640333,-0.6820793151855469
167,1910,25.87775,-0.4446620941162109
168,1911,25.921917,-0.4004955291748047
169,1912,26.02925,-0.2931632995605469
170,1913,25.831667,-0.4907455444335937
171,1914,26.062666,-0.2597465515136719
172,1915,25.768,-0.554412841796875
173,1916,26.013584,-0.3088283538818359
174,1917,25.593584,-0.7288284301757812
175,1918,25.944416,-0.3779964447021484
176,1919,26.156,-0.166412353515625
177,1920,26.060667,-0.2617454528808594
178,1921,25.953417,-0.3689956665039062
179,1922,26.035418,-0.2869949340820312
180,1923,25.6705,-0.6519126892089844
181,1924,26.06825,-0.2541618347167969
182,1925,25.844166,-0.4782466888427734
183,1926,26.205917,-0.116495132446289
184,1927,26.6165,0.2940883636474609
185,1928,26.3895,0.067087173461914
186,1929,26.326,0.0035877227783203
187,1930,26.251333,-0.0710792541503906
188,1931,26.134417,-0.1879959106445312
189,1932,26.521584,0.1991710662841797
190,1933,26.414,0.0915870666503906
191,1934,26.481083,0.158670425415039
192,1935,26.686167,0.3637542724609375
193,1936,26.587418,0.2650051116943359
194,1937,26.65125,0.3288383483886719
195,1938,26.567333,0.2449207305908203
196,1939,26.22225,-0.1001625061035156
197,1940,26.436167,0.1137542724609375
198,1941,26.694834,0.3724212646484375
199,1942,26.394417,0.0720043182373046
200,1943,26.328,0.0055866241455078
201,1944,26.29775,-0.0246620178222656
202,1945,26.365,0.0425872802734375
203,1946,26.542334,0.2199211120605468
204,1947,26.739334,0.4169216156005859
205,1948,26.417334,0.0949211120605468
206,1949,26.568666,0.2462539672851562
207,1950,26.274584,-0.0478286743164062
208,1951,26.434584,0.1121711730957031
209,1952,26.768833,0.446420669555664
210,1953,26.670584,0.3481712341308594
211,1954,26.562,0.2395877838134765
212,1955,26.385416,0.0630035400390625
213,1956,26.226166,-0.0962467193603515
214,1957,26.478916,0.156503677368164
215,1958,26.621666,0.2992534637451172
216,1959,26.541666,0.2192535400390625
217,1960,26.5225,0.2000865936279297
218,1961,26.373083,0.0506706237792968
219,1962,26.348333,0.0259208679199218
220,1963,26.572083,0.2496700286865234
221,1964,26.3505,0.0280876159667968
222,1965,26.109167,-0.2132453918457031
223,1966,26.493584,0.1711711883544922
224,1967,26.123667,-0.1987457275390625
225,1968,26.239334,-0.083078384399414
226,1969,26.635166,0.312753677368164
227,1970,26.491,0.1685867309570312
228,1971,26.136168,-0.1862449645996093
229,1972,26.508167,0.1857547760009765
230,1973,26.814417,0.49200439453125
231,1974,26.334417,0.0120048522949218
232,1975,26.515,0.1925868988037109
233,1976,26.478333,0.1559200286865234
234,1977,26.50675,0.1843376159667968
235,1978,26.3885,0.0660877227783203
236,1979,26.623667,0.3012542724609375
237,1980,26.72125,0.3988380432128906
238,1981,26.497917,0.1755046844482422
239,1982,26.641083,0.3186702728271484
240,1983,26.6565,0.3340873718261719
241,1984,26.594166,0.2717533111572265
242,1985,26.67875,0.3563365936279297
243,1986,26.669,0.346588134765625
244,1987,26.58925,0.2668380737304687
245,1988,26.8105,0.4880867004394531
246,1989,26.477333,0.1549205780029297
247,1990,26.858583,0.5361709594726562
248,1991,26.849083,0.5266704559326172
249,1992,26.759167,0.4367542266845703
250,1993,26.522917,0.2005043029785156
251,1994,26.748917,0.4265041351318359
252,1995,27.037333,0.7149200439453125
253,1996,26.845833,0.5234203338623047
254,1997,26.706917,0.3845043182373047
255,1998,27.121916,0.7995033264160156
256,1999,26.780333,0.4579200744628906
257,2000,26.838333,0.5159206390380859
258,2001,26.953833,0.6314201354980469
259,2002,27.236666,0.9142532348632812
260,2003,27.022667,0.7002544403076172
261,2004,27.05775,0.7353382110595703
262,2005,27.124332,0.8019199371337891
263,2006,26.835,0.5125865936279297
264,2007,27.14925,0.8268375396728516
265,2008,26.671167,0.3487548828125
266,2009,26.728333,0.4059200286865234
267,2010,27.161667,0.8392543792724609
268,2011,26.715584,0.3931713104248047
269,2012,26.926666,0.6042537689208984
270,2013,27.1765,0.8540878295898438
