,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,24.593428,-1.1943702697753906
115,1858,25.277374,-0.5104236602783203
116,1859,25.2294,-0.5583972930908203
117,1860,25.268818,-0.5189800262451172
118,1861,25.1312,-0.6565971374511719
119,1862,,
120,1863,,
121,1864,,
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,25.645624,-0.1421737670898437
131,1874,25.408,-0.3797969818115234
132,1875,25.184334,-0.6034641265869141
133,1876,25.093445,-0.6943531036376953
134,1877,25.638,-0.1497974395751953
135,1878,25.361084,-0.4267139434814453
136,1879,24.67075,-1.117048263549805
137,1880,25.050917,-0.7368812561035156
138,1881,25.445084,-0.3427143096923828
139,1882,25.166584,-0.6212139129638672
140,1883,25.613083,-0.1747150421142578
141,1884,25.27125,-0.5165481567382812
142,1885,25.327168,-0.4606304168701172
143,1886,25.265667,-0.5221309661865234
144,1887,24.4495,-1.338298797607422
145,1888,24.826666,-0.9611320495605468
146,1889,25.198668,-0.5891304016113281
147,1890,24.24925,-1.5385475158691406
148,1891,24.675917,-1.1118812561035156
149,1892,24.784916,-1.0028820037841797
150,1893,24.96975,-0.8180484771728516
151,1894,24.997833,-0.7899646759033203
152,1895,25.200167,-0.5876312255859375
153,1896,25.1355,-0.6522979736328125
154,1897,25.460833,-0.32696533203125
155,1898,25.004333,-0.7834644317626953
156,1899,25.692083,-0.0957145690917968
157,1900,25.625834,-0.1619644165039062
158,1901,25.690916,-0.0968818664550781
159,1902,25.266,-0.5217971801757812
160,1903,25.12825,-0.6595478057861328
161,1904,24.745083,-1.042715072631836
162,1905,25.43675,-0.3510475158691406
163,1906,25.389166,-0.3986320495605469
164,1907,25.326416,-0.4613819122314453
165,1908,25.416,-0.3717975616455078
166,1909,25.340918,-0.4468803405761719
167,1910,25.384167,-0.4036312103271484
168,1911,24.99775,-0.7900485992431641
169,1912,25.708416,-0.0793819427490234
170,1913,25.916916,0.1291179656982422
171,1914,25.771166,-0.016632080078125
172,1915,25.8675,0.0797023773193359
173,1916,25.912666,0.1248683929443359
174,1917,25.81275,0.0249519348144531
175,1918,25.422667,-0.3651313781738281
176,1919,25.845583,0.0577850341796875
177,1920,26.011667,0.2238693237304687
178,1921,25.905582,0.1177845001220703
179,1922,25.71275,-0.0750484466552734
180,1923,25.576,-0.2117977142333984
181,1924,26.048166,0.2603683471679687
182,1925,25.550333,-0.2374649047851562
183,1926,26.009583,0.2217845916748047
184,1927,26.151167,0.3633689880371094
185,1928,25.824417,0.0366191864013671
186,1929,25.751833,-0.0359649658203125
187,1930,25.819416,0.0316181182861328
188,1931,25.855833,0.0680351257324218
189,1932,25.568333,-0.2194652557373047
190,1933,26.064417,0.2766189575195312
191,1934,26.219334,0.4315357208251953
192,1935,26.066334,0.2785358428955078
193,1936,25.958834,0.1710357666015625
194,1937,26.380583,0.5927848815917969
195,1938,26.179417,0.3916187286376953
196,1939,25.781666,-0.0061321258544921
197,1940,25.9485,0.1607017517089843
198,1941,26.36975,0.5819511413574219
199,1942,26.170834,0.383035659790039
200,1943,25.719584,-0.0682144165039062
201,1944,26.323416,0.5356178283691406
202,1945,26.364666,0.5768680572509766
203,1946,26.028334,0.2405357360839843
204,1947,26.298166,0.5103683471679688
205,1948,25.957666,0.1698684692382812
206,1949,26.38175,0.5939521789550781
207,1950,25.919834,0.1320362091064453
208,1951,26.046667,0.2588691711425781
209,1952,26.041916,0.2541179656982422
210,1953,25.9505,0.1627025604248047
211,1954,25.536,-0.2517986297607422
212,1955,25.703333,-0.0844650268554687
213,1956,25.506834,-0.2809638977050781
214,1957,25.973917,0.1861190795898437
215,1958,25.78925,0.0014514923095703
216,1959,25.878834,0.0910358428955078
217,1960,26.00475,0.2169513702392578
218,1961,25.740168,-0.0476303100585937
219,1962,25.815584,0.0277862548828125
220,1963,26.143833,0.3560352325439453
221,1964,25.708584,-0.0792140960693359
222,1965,25.827333,0.0395355224609375
223,1966,26.171083,0.3832855224609375
224,1967,25.856833,0.0690345764160156
225,1968,25.868834,0.0810356140136718
226,1969,26.039583,0.2517852783203125
227,1970,26.0785,0.2907028198242187
228,1971,25.75325,-0.0345478057861328
229,1972,25.931334,0.1435356140136718
230,1973,26.304167,0.5163688659667969
231,1974,25.773083,-0.0147151947021484
232,1975,25.715918,-0.0718803405761718
233,1976,25.561666,-0.2261314392089843
234,1977,26.1175,0.3297023773193359
235,1978,25.959917,0.172119140625
236,1979,26.300583,0.5127849578857422
237,1980,26.175333,0.3875350952148437
238,1981,25.859167,0.0713691711425781
239,1982,25.71925,-0.0685482025146484
240,1983,25.917833,0.130035400390625
241,1984,26.24225,0.4544525146484375
242,1985,25.97425,0.1864528656005859
243,1986,25.877,0.089202880859375
244,1987,26.3785,0.5907020568847656
245,1988,26.32575,0.5379524230957031
246,1989,25.969418,0.181619644165039
247,1990,26.136583,0.348785400390625
248,1991,26.096167,0.3083686828613281
249,1992,25.789917,0.0021190643310546
250,1993,26.10125,0.3134517669677734
251,1994,26.142834,0.3550357818603515
252,1995,26.438417,0.6506195068359375
253,1996,26.06975,0.281951904296875
254,1997,26.140167,0.3523693084716797
255,1998,26.832582,1.0447845458984375
256,1999,26.283417,0.4956188201904297
257,2000,26.189,0.4012012481689453
258,2001,26.056334,0.2685356140136719
259,2002,26.39575,0.6079521179199219
260,2003,26.567333,0.7795352935791016
261,2004,26.484583,0.6967849731445312
262,2005,26.409584,0.6217861175537109
263,2006,26.700167,0.9123687744140624
264,2007,26.709417,0.9216194152832032
265,2008,26.595,0.8072013854980469
266,2009,26.956,1.1682014465332031
267,2010,26.7665,0.9787025451660156
268,2011,26.484167,0.6963691711425781
269,2012,26.393084,0.60528564453125
270,2013,26.5325,0.7447013854980469
