,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,25.039272,-0.5257167816162109
101,1844,25.1426,-0.4223899841308594
102,1845,,
103,1846,,
104,1847,,
105,1848,24.864916,-0.7000732421875
106,1849,25.05675,-0.50823974609375
107,1850,24.644917,-0.9200725555419922
108,1851,25.2895,-0.2754898071289062
109,1852,25.101166,-0.4638233184814453
110,1853,25.229166,-0.3358230590820312
111,1854,,
112,1855,25.185417,-0.3795719146728515
113,1856,,
114,1857,24.549166,-1.0158233642578125
115,1858,25.24775,-0.317239761352539
116,1859,25.224417,-0.3405723571777344
117,1860,25.244,-0.3209896087646484
118,1861,24.438417,-1.1265716552734375
119,1862,24.105,-1.4599895477294922
120,1863,24.653166,-0.911823272705078
121,1864,25.27075,-0.2942390441894531
122,1865,25.4735,-0.0914897918701171
123,1866,25.253584,-0.3114051818847656
124,1867,25.485416,-0.0795726776123046
125,1868,25.2425,-0.322488784790039
126,1869,25.567667,0.0026779174804687
127,1870,25.284584,-0.280405044555664
128,1871,24.947916,-0.6170730590820312
129,1872,25.157917,-0.4070720672607422
130,1873,25.496,-0.0689888000488281
131,1874,25.233583,-0.3314056396484375
132,1875,24.586082,-0.9789066314697266
133,1876,25.151667,-0.4133224487304687
134,1877,25.717083,0.1520938873291015
135,1878,25.782084,0.2170944213867187
136,1879,25.473167,-0.0918216705322265
137,1880,25.141,-0.4239883422851562
138,1881,25.833584,0.268594741821289
139,1882,24.983917,-0.5810718536376953
140,1883,25.32225,-0.2427387237548828
141,1884,25.010334,-0.5546550750732422
142,1885,25.269333,-0.2956562042236328
143,1886,25.180916,-0.384073257446289
144,1887,25.081,-0.4839897155761719
145,1888,25.29375,-0.2712383270263672
146,1889,25.704334,0.1393451690673828
147,1890,25.383333,-0.1816558837890625
148,1891,25.629667,0.0646781921386718
149,1892,25.429333,-0.1356563568115234
150,1893,25.346916,-0.2180728912353515
151,1894,24.947,-0.6179885864257812
152,1895,24.931334,-0.6336555480957031
153,1896,25.137917,-0.427072525024414
154,1897,25.105167,-0.4598217010498047
155,1898,25.203417,-0.361572265625
156,1899,25.400833,-0.1641559600830078
157,1900,25.488916,-0.0760726928710937
158,1901,25.75975,0.1947612762451172
159,1902,25.536833,-0.0281562805175781
160,1903,24.934416,-0.6305732727050781
161,1904,25.286083,-0.2789058685302734
162,1905,25.143084,-0.421905517578125
163,1906,25.224583,-0.3404064178466797
164,1907,24.82025,-0.7447395324707031
165,1908,25.16875,-0.3962383270263672
166,1909,25.786833,0.2218437194824218
167,1910,25.044416,-0.5205726623535156
168,1911,24.69025,-0.8747386932373047
169,1912,25.19075,-0.3742389678955078
170,1913,24.893333,-0.6716556549072266
171,1914,25.23125,-0.3337383270263672
172,1915,25.719084,0.1540946960449218
173,1916,25.201,-0.3639888763427734
174,1917,25.251083,-0.3139057159423828
175,1918,25.012333,-0.5526561737060547
176,1919,25.611,0.0460109710693359
177,1920,25.15975,-0.4052391052246094
178,1921,25.069,-0.4959888458251953
179,1922,25.596333,0.0313434600830078
180,1923,25.39475,-0.1702384948730468
181,1924,25.886417,0.3214282989501953
182,1925,25.329,-0.2359886169433593
183,1926,25.49975,-0.0652389526367187
184,1927,25.588,0.02301025390625
185,1928,25.7235,0.1585102081298828
186,1929,25.707916,0.1429271697998047
187,1930,25.670918,0.1059284210205078
188,1931,25.678917,0.1139278411865234
189,1932,25.317167,-0.2478218078613281
190,1933,25.054916,-0.5100727081298828
191,1934,25.345833,-0.219156265258789
192,1935,25.821583,0.2565937042236328
193,1936,25.559334,-0.005655288696289
194,1937,25.44325,-0.1217384338378906
195,1938,25.293167,-0.2718219757080078
196,1939,25.459,-0.1059894561767578
197,1940,25.7995,0.2345104217529297
198,1941,25.76875,0.2037601470947265
199,1942,25.836166,0.2711772918701172
200,1943,25.295918,-0.2690715789794922
201,1944,25.801,0.2360115051269531
202,1945,25.503,-0.0619888305664062
203,1946,25.650167,0.0851783752441406
204,1947,26.12125,0.5562610626220703
205,1948,25.198,-0.3669891357421875
206,1949,25.0955,-0.4694881439208984
207,1950,25.359167,-0.2058219909667968
208,1951,26.035917,0.4709281921386719
209,1952,25.926584,0.3615951538085937
210,1953,25.739416,0.1744270324707031
211,1954,26.0115,0.4465103149414062
212,1955,25.647,0.082010269165039
213,1956,25.408083,-0.1569061279296875
214,1957,25.296417,-0.2685718536376953
215,1958,25.962833,0.3978443145751953
216,1959,24.953,-0.6119899749755859
217,1960,26.074083,0.50909423828125
218,1961,25.533417,-0.0315723419189453
219,1962,26.231916,0.6669273376464844
220,1963,25.9515,0.3865108489990234
221,1964,25.2745,-0.2904891967773437
222,1965,25.762583,0.1975936889648437
223,1966,26.199,0.6340103149414062
224,1967,25.172916,-0.3920726776123047
225,1968,25.426332,-0.1386566162109375
226,1969,26.19925,0.6342601776123047
227,1970,25.977917,0.4129276275634765
228,1971,25.225584,-0.3394050598144531
229,1972,25.269917,-0.2950725555419922
230,1973,25.778166,0.2131767272949218
231,1974,25.537333,-0.0276565551757812
232,1975,25.275,-0.2899894714355469
233,1976,25.334333,-0.2306556701660156
234,1977,26.094584,0.5295944213867188
235,1978,26.043417,0.4784278869628906
236,1979,26.414583,0.8495941162109375
237,1980,26.117332,0.5523433685302734
238,1981,26.070333,0.5053443908691406
239,1982,25.007166,-0.5578231811523438
240,1983,25.149334,-0.4156551361083984
241,1984,25.159584,-0.405405044555664
242,1985,25.445333,-0.1196556091308593
243,1986,25.64775,0.0827617645263671
244,1987,26.316166,0.7511768341064453
245,1988,26.141834,0.5768451690673828
246,1989,25.479,-0.0859889984130859
247,1990,26.01875,0.4537601470947265
248,1991,25.77625,0.2112617492675781
249,1992,24.77125,-0.7937393188476562
250,1993,25.741,0.1760101318359375
251,1994,26.297583,0.7325935363769531
252,1995,25.989166,0.4241771697998047
253,1996,26.433,0.868011474609375
254,1997,25.867666,0.3026771545410156
255,1998,26.85375,1.2887611389160156
256,1999,26.940584,1.3755950927734375
257,2000,26.642916,1.0779266357421875
258,2001,26.769667,1.2046775817871094
259,2002,26.627333,1.0623435974121094
260,2003,26.816668,1.251678466796875
261,2004,26.519,0.954010009765625
262,2005,26.4955,0.930511474609375
263,2006,26.558584,0.9935951232910156
264,2007,26.682583,1.117593765258789
265,2008,26.47775,0.912761688232422
266,2009,26.82775,1.2627601623535156
267,2010,27.530083,1.9650936126708984
268,2011,26.63525,1.070261001586914
269,2012,26.988916,1.4239273071289062
270,2013,27.74075,2.175760269165039
