,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,27.4255,-0.5416221618652344
107,1850,27.451334,-0.5157890319824219
108,1851,27.605167,-0.3619556427001953
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,27.392084,-0.5750389099121094
114,1857,27.206364,-0.7607593536376953
115,1858,27.18575,-0.7813739776611328
116,1859,27.956583,-0.0105400085449218
117,1860,27.41475,-0.5523738861083984
118,1861,27.475834,-0.4912891387939453
119,1862,27.118,-0.8491230010986328
120,1863,27.127583,-0.8395404815673828
121,1864,27.581167,-0.385955810546875
122,1865,27.684334,-0.2827892303466797
123,1866,,
124,1867,,
125,1868,27.105545,-0.8615779876708984
126,1869,27.5231,-0.4440231323242187
127,1870,27.758455,-0.2086677551269531
128,1871,,
129,1872,,
130,1873,26.93,-1.0371227264404297
131,1874,27.209,-0.7581233978271484
132,1875,27.027666,-0.9394569396972656
133,1876,27.532417,-0.4347057342529297
134,1877,27.575333,-0.3917903900146484
135,1878,27.824333,-0.1427898406982422
136,1879,27.385334,-0.5817890167236328
137,1880,27.54875,-0.4183731079101562
138,1881,28.02991,0.0627861022949218
139,1882,27.757334,-0.2097892761230468
140,1883,28.316273,0.3491497039794922
141,1884,27.622334,-0.3447895050048828
142,1885,27.11425,-0.8528728485107422
143,1886,27.21175,-0.7553730010986328
144,1887,27.363667,-0.6034564971923828
145,1888,27.429417,-0.5377063751220703
146,1889,26.813917,-1.1532058715820312
147,1890,27.135334,-0.8317890167236328
148,1891,27.559834,-0.4072895050048828
149,1892,28.031334,0.0642108917236328
150,1893,28.038334,0.0712108612060546
151,1894,27.278,-0.6891231536865234
152,1895,27.45275,-0.514373779296875
153,1896,28.044666,0.0775432586669921
154,1897,28.336666,0.3695430755615234
155,1898,27.811083,-0.1560401916503906
156,1899,28.23025,0.2631263732910156
157,1900,27.855833,-0.1112899780273437
158,1901,27.970917,0.003793716430664
159,1902,28.022,0.0548763275146484
160,1903,27.728582,-0.2385406494140625
161,1904,27.175917,-0.7912063598632812
162,1905,27.60525,-0.3618736267089844
163,1906,27.752417,-0.2147064208984375
164,1907,26.802334,-1.1647891998291016
165,1908,27.523916,-0.443206787109375
166,1909,27.402082,-0.5650405883789062
167,1910,27.907084,-0.0600395202636718
168,1911,27.600834,-0.3662891387939453
169,1912,27.7815,-0.1856231689453125
170,1913,28.13725,0.1701278686523437
171,1914,27.89625,-0.0708732604980468
172,1915,28.091917,0.1247940063476562
173,1916,27.738167,-0.2289562225341797
174,1917,27.374,-0.5931224822998047
175,1918,27.580917,-0.3862056732177734
176,1919,27.968916,0.0017929077148437
177,1920,27.732334,-0.2347888946533203
178,1921,27.90075,-0.0663738250732421
179,1922,27.842667,-0.1244564056396484
180,1923,28.156334,0.1892108917236328
181,1924,27.88975,-0.0773735046386718
182,1925,27.992916,0.0257930755615234
183,1926,28.448,0.4808769226074219
184,1927,28.010584,0.0434608459472656
185,1928,27.721083,-0.2460403442382812
186,1929,27.773666,-0.1934566497802734
187,1930,27.641834,-0.3252887725830078
188,1931,28.221916,0.2547931671142578
189,1932,27.84975,-0.1173725128173828
190,1933,27.844418,-0.1227054595947265
191,1934,27.657417,-0.3097057342529297
192,1935,27.757166,-0.2099571228027343
193,1936,27.966333,-0.0007896423339843
194,1937,28.22675,0.2596263885498047
195,1938,28.101418,0.1342945098876953
196,1939,27.901417,-0.0657062530517578
197,1940,28.044834,0.0777111053466796
198,1941,28.248333,0.2812099456787109
199,1942,27.956917,-0.0102062225341796
200,1943,27.772917,-0.1942062377929687
201,1944,28.249584,0.2824611663818359
202,1945,28.476418,0.5092945098876953
203,1946,27.958584,-0.0085391998291015
204,1947,28.11525,0.1481266021728515
205,1948,27.68975,-0.2773723602294922
206,1949,28.07425,0.107126235961914
207,1950,27.817083,-0.1500396728515625
208,1951,27.828833,-0.1382904052734375
209,1952,27.630833,-0.3362903594970703
210,1953,27.86175,-0.1053733825683593
211,1954,27.754667,-0.2124557495117187
212,1955,27.985,0.0178775787353515
213,1956,27.695667,-0.2714557647705078
214,1957,27.790833,-0.1762905120849609
215,1958,28.276833,0.3097095489501953
216,1959,27.935,-0.0321235656738281
217,1960,28.014166,0.0470428466796875
218,1961,28.028667,0.0615444183349609
219,1962,28.163,0.1958770751953125
220,1963,28.2485,0.2813777923583984
221,1964,28.043333,0.0762100219726562
222,1965,27.591167,-0.375955581665039
223,1966,28.185083,0.2179603576660156
224,1967,27.585583,-0.381540298461914
225,1968,27.80275,-0.1643733978271484
226,1969,28.709333,0.7422103881835938
227,1970,28.572166,0.6050434112548828
228,1971,27.832417,-0.1347064971923828
229,1972,28.205584,0.2384605407714843
230,1973,28.4645,0.4973773956298828
231,1974,27.5635,-0.4036235809326172
232,1975,27.711834,-0.255289077758789
233,1976,27.662834,-0.3042888641357422
234,1977,28.543667,0.5765438079833984
235,1978,28.154333,0.1872100830078125
236,1979,28.636417,0.6692943572998047
237,1980,28.546667,0.5795440673828125
238,1981,28.497917,0.5307941436767578
239,1982,27.966417,-0.0007057189941406
240,1983,29.0545,1.0873775482177734
241,1984,28.33025,0.3631267547607422
242,1985,28.273083,0.3059597015380859
243,1986,28.020666,0.0535430908203125
244,1987,28.8755,0.908376693725586
245,1988,28.376583,0.4094600677490234
246,1989,28.275833,0.3087100982666015
247,1990,28.508,0.5408763885498047
248,1991,28.490334,0.5232105255126953
249,1992,28.459833,0.4927101135253906
250,1993,28.6465,0.6793766021728516
251,1994,28.241083,0.2739601135253906
252,1995,28.556917,0.5897941589355469
253,1996,28.775667,0.8085441589355469
254,1997,28.821333,0.8542098999023438
255,1998,29.25425,1.287126541137695
256,1999,28.127333,0.1602096557617187
257,2000,28.526083,0.5589599609375
258,2001,28.936333,0.9692096710205078
259,2002,28.978167,1.0110435485839844
260,2003,28.704166,0.7370433807373047
261,2004,28.852083,0.8849601745605469
262,2005,28.955084,0.9879608154296876
263,2006,28.63075,0.6636276245117188
264,2007,28.816833,0.8497104644775391
265,2008,28.796083,0.8289604187011719
266,2009,28.47375,0.5066261291503906
267,2010,29.302334,1.3352108001708984
268,2011,28.774918,0.8077945709228516
269,2012,28.635584,0.6684608459472656
270,2013,29.3015,1.3343772888183594
