,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,26.357273,-0.3789443969726562
45,1788,26.38125,-0.3549671173095703
46,1789,26.532272,-0.2039451599121093
47,1790,26.330584,-0.4056339263916015
48,1791,26.73575,-0.000467300415039
49,1792,26.66711,-0.0691070556640625
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,26.695143,-0.0410747528076171
61,1804,27.1663,0.4300823211669922
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,26.034908,-0.7013092041015625
108,1851,,
109,1852,,
110,1853,26.138083,-0.5981349945068359
111,1854,26.303083,-0.4331340789794922
112,1855,26.222334,-0.5138835906982422
113,1856,26.002167,-0.7340507507324219
114,1857,25.844166,-0.8920516967773438
115,1858,26.221333,-0.5148849487304688
116,1859,26.364,-0.3722171783447265
117,1860,26.340364,-0.395853042602539
118,1861,26.129,-0.6072177886962891
119,1862,,
120,1863,,
121,1864,26.098083,-0.6381340026855469
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,,
131,1874,,
132,1875,25.91725,-0.8189678192138672
133,1876,26.076,-0.66021728515625
134,1877,26.5945,-0.1417179107666015
135,1878,26.857334,0.1211166381835937
136,1879,,
137,1880,26.305635,-0.430582046508789
138,1881,,
139,1882,,
140,1883,,
141,1884,,
142,1885,,
143,1886,,
144,1887,,
145,1888,,
146,1889,26.338333,-0.3978843688964844
147,1890,25.753546,-0.9826717376708984
148,1891,26.022667,-0.7135505676269531
149,1892,26.164667,-0.5715503692626953
150,1893,26.273916,-0.4623012542724609
151,1894,26.523,-0.2132167816162109
152,1895,26.526583,-0.209634780883789
153,1896,26.700417,-0.0358009338378906
154,1897,27.051666,0.3154487609863281
155,1898,26.615084,-0.121133804321289
156,1899,26.368917,-0.3673000335693359
157,1900,26.601334,-0.1348838806152343
158,1901,26.13775,-0.5984668731689453
159,1902,26.351418,-0.3847999572753906
160,1903,26.147333,-0.5888843536376953
161,1904,25.872583,-0.8636341094970703
162,1905,26.70375,-0.0324668884277343
163,1906,26.36925,-0.3669681549072265
164,1907,26.1465,-0.5897178649902344
165,1908,26.39025,-0.3459682464599609
166,1909,26.194666,-0.5415515899658203
167,1910,26.2435,-0.4927177429199219
168,1911,26.2335,-0.5027179718017578
169,1912,26.526583,-0.209634780883789
170,1913,26.465834,-0.2703838348388672
171,1914,26.855667,0.1194496154785156
172,1915,26.657167,-0.079050064086914
173,1916,26.47275,-0.263467788696289
174,1917,26.33975,-0.3964672088623047
175,1918,26.2755,-0.4607181549072265
176,1919,26.829334,0.0931167602539062
177,1920,26.367666,-0.3685512542724609
178,1921,26.467083,-0.269134521484375
179,1922,26.44625,-0.2899665832519531
180,1923,26.283167,-0.4530506134033203
181,1924,26.492584,-0.2436332702636718
182,1925,26.344833,-0.3913841247558594
183,1926,26.71475,-0.0214672088623046
184,1927,26.530834,-0.20538330078125
185,1928,26.71325,-0.0229682922363281
186,1929,26.5855,-0.1507167816162109
187,1930,26.6805,-0.0557174682617187
188,1931,26.85575,0.1195316314697265
189,1932,26.6805,-0.0557174682617187
190,1933,26.662834,-0.0733833312988281
191,1934,26.432,-0.3042182922363281
192,1935,26.723917,-0.0123004913330078
193,1936,26.904417,0.1681995391845703
194,1937,26.8725,0.1362819671630859
195,1938,26.655167,-0.0810508728027343
196,1939,26.61925,-0.1169681549072265
197,1940,26.914583,0.1783657073974609
198,1941,27.022583,0.2863655090332031
199,1942,26.832582,0.0963649749755859
200,1943,26.519917,-0.2163009643554687
201,1944,26.808666,0.07244873046875
202,1945,26.727417,-0.0088005065917968
203,1946,26.908833,0.1726150512695312
204,1947,27.00775,0.2715320587158203
205,1948,26.69875,-0.0374679565429687
206,1949,26.749332,0.0131149291992187
207,1950,26.509167,-0.22705078125
208,1951,26.877583,0.1413650512695312
209,1952,26.861584,0.1253662109375
210,1953,26.91375,0.1775321960449218
211,1954,26.7905,0.0542831420898437
212,1955,26.616167,-0.1200504302978515
213,1956,26.536417,-0.1998004913330078
214,1957,26.73725,0.0010318756103515
215,1958,27.104666,0.368448257446289
216,1959,26.865833,0.1296157836914062
217,1960,26.730667,-0.0055503845214843
218,1961,26.964666,0.2284488677978515
219,1962,26.956583,0.2203655242919922
220,1963,26.770666,0.0344486236572265
221,1964,26.734833,-0.0013847351074218
222,1965,26.5825,-0.153717041015625
223,1966,26.948,0.2117824554443359
224,1967,26.915167,0.1789493560791015
225,1968,26.655333,-0.0808849334716796
226,1969,27.087584,0.3513660430908203
227,1970,27.0745,0.3382816314697265
228,1971,26.520166,-0.2160511016845703
229,1972,26.87975,0.1435317993164062
230,1973,27.17125,0.4350318908691406
231,1974,26.535,-0.2012176513671875
232,1975,26.603416,-0.1328010559082031
233,1976,26.669834,-0.0663833618164062
234,1977,26.965166,0.2289485931396484
235,1978,27.120832,0.3846149444580078
236,1979,26.97275,0.2365322113037109
237,1980,27.03725,0.3010330200195312
238,1981,26.978083,0.2418651580810547
239,1982,27.194666,0.4584484100341797
240,1983,27.321667,0.58544921875
241,1984,26.624,-0.1122169494628906
242,1985,26.741583,0.0053653717041015
243,1986,27.077168,0.3409500122070312
244,1987,27.422832,0.686614990234375
245,1988,27.26325,0.5270328521728516
246,1989,26.9445,0.208282470703125
247,1990,27.220083,0.483865737915039
248,1991,27.329666,0.5934486389160156
249,1992,26.953167,0.216949462890625
250,1993,26.964582,0.2283649444580078
251,1994,27.301834,0.5656166076660156
252,1995,27.29775,0.5615329742431641
253,1996,26.91175,0.1755332946777343
254,1997,27.367916,0.6316986083984375
255,1998,27.654417,0.9181995391845704
256,1999,27.136833,0.4006156921386719
257,2000,27.17925,0.443033218383789
258,2001,27.467833,0.7316150665283203
259,2002,27.531084,0.7948665618896484
260,2003,27.685417,0.949199676513672
261,2004,27.25775,0.5215320587158203
262,2005,27.468416,0.7321987152099609
263,2006,27.470167,0.7339496612548828
264,2007,27.712584,0.9763660430908204
265,2008,27.376833,0.6406154632568359
266,2009,27.74125,1.0050315856933594
267,2010,27.744833,1.008615493774414
268,2011,27.731667,0.9954490661621094
269,2012,27.772583,1.0363655090332031
270,2013,27.451626,0.7154083251953125
