,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,25.471416,-0.5513668060302734
107,1850,25.497168,-0.5256156921386719
108,1851,25.501417,-0.5213661193847656
109,1852,,
110,1853,,
111,1854,,
112,1855,25.8304,-0.1923828125
113,1856,25.477583,-0.5452003479003906
114,1857,25.213,-0.809783935546875
115,1858,25.330833,-0.6919498443603516
116,1859,25.90975,-0.1130332946777343
117,1860,25.396334,-0.6264495849609375
118,1861,25.420918,-0.6018657684326172
119,1862,25.106916,-0.9158668518066406
120,1863,25.346582,-0.6762008666992188
121,1864,25.561,-0.4617824554443359
122,1865,25.692167,-0.3306159973144531
123,1866,,
124,1867,,
125,1868,25.424818,-0.5979652404785156
126,1869,25.5657,-0.4570827484130859
127,1870,25.610273,-0.4125099182128906
128,1871,,
129,1872,,
130,1873,24.978167,-1.04461669921875
131,1874,25.365833,-0.6569499969482422
132,1875,24.873083,-1.149700164794922
133,1876,24.9015,-1.1212825775146484
134,1877,25.561832,-0.4609508514404297
135,1878,25.765833,-0.2569503784179687
136,1879,25.38475,-0.6380329132080078
137,1880,26.029667,0.0068836212158203
138,1881,26.198818,0.176034927368164
139,1882,25.72075,-0.302032470703125
140,1883,26.331182,0.3083992004394531
141,1884,26.04975,0.0269660949707031
142,1885,25.233084,-0.7896995544433594
143,1886,25.301666,-0.7211170196533203
144,1887,25.159,-0.8637828826904297
145,1888,25.220167,-0.8026161193847656
146,1889,24.560833,-1.4619503021240234
147,1890,25.114166,-0.9086170196533204
148,1891,25.42775,-0.5950336456298828
149,1892,25.6435,-0.3792839050292969
150,1893,25.45175,-0.5710334777832031
151,1894,25.274834,-0.7479496002197266
152,1895,25.357166,-0.6656169891357422
153,1896,25.90525,-0.117532730102539
154,1897,25.945417,-0.0773658752441406
155,1898,25.553667,-0.4691162109375
156,1899,26.136583,0.113800048828125
157,1900,25.959167,-0.0636157989501953
158,1901,25.985834,-0.0369491577148437
159,1902,25.794333,-0.2284507751464843
160,1903,25.7425,-0.280282974243164
161,1904,25.315916,-0.7068672180175781
162,1905,25.801916,-0.2208671569824218
163,1906,25.889334,-0.1334495544433593
164,1907,25.505417,-0.5173664093017578
165,1908,25.556917,-0.4658660888671875
166,1909,25.472666,-0.5501174926757812
167,1910,25.983418,-0.0393657684326171
168,1911,25.579,-0.4437828063964844
169,1912,26.16175,0.1389675140380859
170,1913,26.24,0.2172164916992187
171,1914,26.06825,0.0454673767089843
172,1915,26.198334,0.1755504608154297
173,1916,25.94075,-0.0820331573486328
174,1917,25.877417,-0.1453666687011718
175,1918,25.696417,-0.3263664245605469
176,1919,25.836334,-0.1864490509033203
177,1920,25.924833,-0.0979499816894531
178,1921,25.89925,-0.1235332489013671
179,1922,25.862417,-0.1603660583496093
180,1923,25.838333,-0.1844501495361328
181,1924,25.505417,-0.5173664093017578
182,1925,25.646917,-0.3758659362792969
183,1926,26.2225,0.199716567993164
184,1927,26.098917,0.0761337280273437
185,1928,26.02025,-0.002532958984375
186,1929,26.123,0.1002159118652343
187,1930,26.081,0.0582160949707031
188,1931,26.173834,0.1510505676269531
189,1932,25.7925,-0.2302837371826172
190,1933,26.009,-0.0137825012207031
191,1934,25.985167,-0.0376167297363281
192,1935,25.885166,-0.1376171112060547
193,1936,26.1075,0.084716796875
194,1937,26.30475,0.2819671630859375
195,1938,26.086082,0.0632991790771484
196,1939,26.129917,0.1071338653564453
197,1940,26.485332,0.4625492095947265
198,1941,26.46225,0.4394664764404297
199,1942,26.223333,0.2005500793457031
200,1943,25.925083,-0.0977001190185546
201,1944,26.176834,0.1540508270263672
202,1945,26.289417,0.2666339874267578
203,1946,26.154917,0.1321334838867187
204,1947,26.30825,0.2854671478271484
205,1948,25.949333,-0.0734500885009765
206,1949,26.105417,0.0826339721679687
207,1950,25.940584,-0.0821990966796875
208,1951,26.056417,0.0336341857910156
209,1952,26.176584,0.1538009643554687
210,1953,26.25575,0.2329673767089843
211,1954,25.813,-0.2097835540771484
212,1955,25.89125,-0.1315326690673828
213,1956,25.803167,-0.2196159362792968
214,1957,26.117916,0.095132827758789
215,1958,26.200916,0.1781330108642578
216,1959,26.16575,0.1429672241210937
217,1960,26.2695,0.2467174530029297
218,1961,26.108084,0.0853004455566406
219,1962,26.040083,0.0172996520996093
220,1963,26.354416,0.3316326141357422
221,1964,26.03425,0.0114669799804687
222,1965,25.896084,-0.1266994476318359
223,1966,26.171,0.1482162475585937
224,1967,25.976,-0.046783447265625
225,1968,26.166166,0.1433830261230468
226,1969,26.437666,0.4148826599121094
227,1970,26.404583,0.3817996978759765
228,1971,25.934166,-0.0886173248291015
229,1972,26.289333,0.266550064086914
230,1973,26.65625,0.6334667205810547
231,1974,26.15,0.1272163391113281
232,1975,26.041584,0.0188007354736328
233,1976,25.84525,-0.1775341033935547
234,1977,26.378334,0.3555507659912109
235,1978,26.268167,0.2453842163085937
236,1979,26.554167,0.5313835144042969
237,1980,26.494,0.4712162017822265
238,1981,26.357834,0.3350505828857422
239,1982,26.254417,0.2316341400146484
240,1983,26.653418,0.6306343078613281
241,1984,26.402916,0.3801326751708984
242,1985,26.28925,0.2664661407470703
243,1986,26.07575,0.0529670715332031
244,1987,26.8835,0.8607158660888672
245,1988,26.544916,0.5221328735351562
246,1989,26.362333,0.3395500183105469
247,1990,26.551416,0.5286331176757812
248,1991,26.621584,0.5988006591796875
249,1992,26.397167,0.3743839263916015
250,1993,26.608833,0.5860500335693359
251,1994,26.35825,0.3354663848876953
252,1995,26.578167,0.5553836822509766
253,1996,26.7045,0.6817169189453125
254,1997,26.6695,0.6467170715332031
255,1998,27.07575,1.0529670715332031
256,1999,26.5215,0.4987163543701172
257,2000,26.546833,0.5240497589111328
258,2001,26.82675,0.8039665222167969
259,2002,26.992666,0.9698829650878906
260,2003,26.992416,0.9696331024169922
261,2004,26.978916,0.9561328887939452
262,2005,27.028584,1.0058002471923828
263,2006,26.71775,0.6949672698974609
264,2007,26.837418,0.8146343231201172
265,2008,26.97875,0.9559669494628906
266,2009,26.985,0.9622173309326172
267,2010,27.177166,1.1543827056884766
268,2011,26.92625,0.9034671783447266
269,2012,26.676416,0.6536331176757812
270,2013,26.948,0.9252166748046876
