,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,26.425333,-0.0975933074951171
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,25.792889,-0.7300376892089844
97,1840,25.89125,-0.6316757202148438
98,1841,25.979,-0.5439262390136719
99,1842,26.141916,-0.3810100555419922
100,1843,26.222918,-0.3000087738037109
101,1844,25.728916,-0.7940101623535156
102,1845,25.62309,-0.8998355865478516
103,1846,26.454666,-0.0682601928710937
104,1847,25.8815,-0.6414260864257812
105,1848,,
106,1849,,
107,1850,26.014833,-0.5080928802490234
108,1851,26.088417,-0.43450927734375
109,1852,25.974916,-0.5480098724365234
110,1853,26.183,-0.3399257659912109
111,1854,25.95409,-0.5688362121582031
112,1855,26.076584,-0.4463424682617187
113,1856,26.172333,-0.3505935668945312
114,1857,,
115,1858,26.148,-0.3749256134033203
116,1859,26.235416,-0.2875099182128906
117,1860,25.931334,-0.5915927886962891
118,1861,25.893583,-0.6293430328369141
119,1862,,
120,1863,26.088667,-0.4342594146728515
121,1864,25.919083,-0.6038436889648438
122,1865,26.154583,-0.3683433532714844
123,1866,26.123667,-0.3992595672607422
124,1867,26.04175,-0.4811763763427734
125,1868,26.145,-0.3779258728027344
126,1869,25.97875,-0.5441761016845703
127,1870,25.572332,-0.9505939483642578
128,1871,25.580667,-0.9422588348388672
129,1872,26.168667,-0.3542594909667969
130,1873,26.39625,-0.1266765594482422
131,1874,26.085333,-0.4375934600830078
132,1875,25.469917,-1.053009033203125
133,1876,25.719166,-0.8037605285644531
134,1877,26.252916,-0.2700099945068359
135,1878,26.568167,0.0452404022216796
136,1879,25.75225,-0.7706756591796875
137,1880,26.1225,-0.4004268646240234
138,1881,26.549334,0.026407241821289
139,1882,26.102167,-0.4207592010498047
140,1883,25.99875,-0.5241756439208984
141,1884,25.862417,-0.6605091094970703
142,1885,26.223333,-0.2995929718017578
143,1886,26.403084,-0.119842529296875
144,1887,25.600584,-0.9223423004150392
145,1888,26.25625,-0.2666759490966797
146,1889,26.458,-0.0649261474609375
147,1890,25.8395,-0.6834259033203125
148,1891,26.1405,-0.3824272155761719
149,1892,26.036333,-0.4865932464599609
150,1893,25.80475,-0.7181758880615234
151,1894,25.993668,-0.5292587280273438
152,1895,26.0905,-0.4324264526367187
153,1896,26.4635,-0.059427261352539
154,1897,26.576584,0.0536575317382812
155,1898,26.3005,-0.2224254608154297
156,1899,26.219166,-0.3037605285644531
157,1900,26.531584,0.0086574554443359
158,1901,26.056833,-0.4660930633544922
159,1902,25.984833,-0.5380935668945312
160,1903,26.146334,-0.3765926361083984
161,1904,25.84825,-0.6746768951416016
162,1905,26.61225,0.0893230438232421
163,1906,26.326666,-0.1962604522705078
164,1907,26.299583,-0.2233428955078125
165,1908,26.224833,-0.2980937957763672
166,1909,26.292833,-0.2300930023193359
167,1910,26.112417,-0.4105091094970703
168,1911,26.35325,-0.1696758270263672
169,1912,26.524416,0.0014896392822265
170,1913,26.255417,-0.2675094604492187
171,1914,26.648916,0.1259899139404297
172,1915,26.677334,0.1544075012207031
173,1916,26.287333,-0.2355937957763672
174,1917,25.919333,-0.6035938262939453
175,1918,25.899166,-0.6237602233886719
176,1919,26.552334,0.0294075012207031
177,1920,26.437,-0.0859260559082031
178,1921,26.233917,-0.2890090942382812
179,1922,26.284834,-0.2380924224853515
180,1923,26.262583,-0.2603435516357422
181,1924,26.377916,-0.1450099945068359
182,1925,26.21525,-0.3076763153076172
183,1926,26.603416,0.0804901123046875
184,1927,26.44875,-0.0741767883300781
185,1928,26.581417,0.0584907531738281
186,1929,26.455917,-0.0670089721679687
187,1930,26.723083,0.2001571655273437
188,1931,26.877666,0.3547401428222656
189,1932,26.52575,0.0028228759765625
190,1933,26.367666,-0.1552600860595703
191,1934,26.245583,-0.27734375
192,1935,26.547667,0.0247402191162109
193,1936,26.602583,0.0796566009521484
194,1937,26.727,0.2040729522705078
195,1938,26.642834,0.1199073791503906
196,1939,26.577417,0.0544910430908203
197,1940,26.862667,0.3397407531738281
198,1941,27.27875,0.7558231353759766
199,1942,26.916584,0.3936576843261719
200,1943,26.492,-0.0309257507324218
201,1944,26.663084,0.1401576995849609
202,1945,26.636,0.1130733489990234
203,1946,26.832666,0.3097400665283203
204,1947,26.93275,0.4098243713378906
205,1948,26.796,0.2730731964111328
206,1949,26.739584,0.2166576385498047
207,1950,26.560167,0.037240982055664
208,1951,26.84,0.3170738220214844
209,1952,26.887167,0.3642406463623047
210,1953,26.92775,0.4048233032226562
211,1954,26.647917,0.1249904632568359
212,1955,26.638,0.1150741577148437
213,1956,26.47275,-0.0501766204833984
214,1957,26.787167,0.2642402648925781
215,1958,27.079834,0.5569076538085938
216,1959,26.882416,0.3594894409179687
217,1960,26.929417,0.4064903259277344
218,1961,26.727,0.2040729522705078
219,1962,26.560833,0.0379066467285156
220,1963,26.771166,0.248239517211914
221,1964,26.664667,0.1417407989501953
222,1965,26.632917,0.1099910736083984
223,1966,26.887833,0.3649063110351562
224,1967,26.68175,0.158823013305664
225,1968,26.745667,0.2227401733398437
226,1969,27.062416,0.53948974609375
227,1970,26.854584,0.3316574096679687
228,1971,26.6055,0.0825729370117187
229,1972,26.942,0.4190731048583984
230,1973,26.95975,0.4368228912353515
231,1974,26.672583,0.1496562957763672
232,1975,26.638,0.1150741577148437
233,1976,26.55875,0.0358238220214843
234,1977,26.822,0.2990741729736328
235,1978,26.904583,0.3816566467285156
236,1979,26.95975,0.4368228912353515
237,1980,26.956417,0.4334907531738281
238,1981,26.981,0.4580745697021484
239,1982,26.8365,0.3135738372802734
240,1983,27.304916,0.7819900512695312
241,1984,26.4835,-0.0394268035888671
242,1985,26.820084,0.2971572875976562
243,1986,26.847834,0.3249073028564453
244,1987,27.181583,0.6586570739746094
245,1988,27.06725,0.5443229675292969
246,1989,26.792334,0.2694072723388672
247,1990,27.13,0.6070728302001953
248,1991,26.994083,0.4711570739746094
249,1992,26.997417,0.4744911193847656
250,1993,26.928833,0.4059066772460937
251,1994,27.08775,0.5648231506347656
252,1995,27.0725,0.5495738983154297
253,1996,27.043333,0.5204067230224609
254,1997,27.388916,0.8659896850585938
255,1998,27.775917,1.25299072265625
256,1999,27.01675,0.4938240051269531
257,2000,27.0965,0.5735740661621094
258,2001,27.189333,0.6664066314697266
259,2002,27.406084,0.8831577301025391
260,2003,27.311832,0.7889060974121094
261,2004,27.328667,0.8057403564453125
262,2005,27.493584,0.9706573486328124
263,2006,27.328417,0.8054904937744141
264,2007,27.13,0.6070728302001953
265,2008,27.067667,0.5447406768798828
266,2009,27.473333,0.9504070281982422
267,2010,27.6035,1.0805740356445312
268,2011,27.282167,0.7592411041259766
269,2012,27.303583,0.7806568145751953
270,2013,27.602875,1.0799484252929688
