,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,,
115,1858,,
116,1859,,
117,1860,,
118,1861,,
119,1862,,
120,1863,,
121,1864,,
122,1865,,
123,1866,,
124,1867,26.286272,-0.3330459594726562
125,1868,,
126,1869,26.31,-0.3093185424804687
127,1870,25.960667,-0.6586513519287109
128,1871,26.192583,-0.4267349243164062
129,1872,26.1542,-0.465118408203125
130,1873,26.245375,-0.3739433288574219
131,1874,26.1175,-0.5018177032470703
132,1875,25.819626,-0.7996921539306641
133,1876,26.192286,-0.427032470703125
134,1877,,
135,1878,,
136,1879,,
137,1880,,
138,1881,,
139,1882,,
140,1883,,
141,1884,,
142,1885,,
143,1886,,
144,1887,,
145,1888,,
146,1889,,
147,1890,25.912916,-0.7064018249511719
148,1891,26.028833,-0.590484619140625
149,1892,25.995167,-0.6241512298583984
150,1893,26.18125,-0.4380683898925781
151,1894,26.117916,-0.5014019012451172
152,1895,26.151583,-0.4677352905273437
153,1896,25.755417,-0.8639011383056641
154,1897,26.322083,-0.2972354888916015
155,1898,26.105917,-0.5134010314941406
156,1899,25.913334,-0.7059841156005859
157,1900,26.210583,-0.4087352752685547
158,1901,26.502417,-0.1169013977050781
159,1902,25.8055,-0.8138179779052734
160,1903,26.226917,-0.3924007415771484
161,1904,25.998917,-0.6204013824462891
162,1905,25.972166,-0.6471519470214844
163,1906,26.343666,-0.2756519317626953
164,1907,26.060333,-0.5589847564697266
165,1908,26.115334,-0.5039844512939453
166,1909,26.58525,-0.034067153930664
167,1910,26.00525,-0.6140670776367188
168,1911,26.519917,-0.0994014739990234
169,1912,26.480333,-0.1389846801757812
170,1913,26.493334,-0.1259841918945312
171,1914,26.434,-0.1853179931640625
172,1915,26.973667,0.354349136352539
173,1916,26.715918,0.0965995788574218
174,1917,26.32175,-0.2975673675537109
175,1918,26.287,-0.3323173522949219
176,1919,26.511168,-0.1081504821777343
177,1920,26.541666,-0.0776519775390625
178,1921,26.466917,-0.1524009704589843
179,1922,26.513916,-0.1054019927978515
180,1923,26.321417,-0.2979011535644531
181,1924,26.599,-0.0203170776367187
182,1925,26.199083,-0.4202346801757812
183,1926,26.27475,-0.3445682525634765
184,1927,26.42375,-0.1955680847167968
185,1928,26.5585,-0.0608177185058593
186,1929,26.328833,-0.2904853820800781
187,1930,26.355167,-0.2641506195068359
188,1931,26.383167,-0.2361507415771484
189,1932,26.432667,-0.1866512298583984
190,1933,26.335833,-0.2834854125976562
191,1934,26.317833,-0.3014850616455078
192,1935,26.524584,-0.0947341918945312
193,1936,26.505167,-0.1141510009765625
194,1937,26.616833,-0.0024852752685546
195,1938,26.7175,0.0981826782226562
196,1939,26.54875,-0.0705680847167968
197,1940,26.441584,-0.177734375
198,1941,26.43475,-0.1845684051513672
199,1942,26.793583,0.174264907836914
200,1943,26.52525,-0.0940685272216796
201,1944,26.4855,-0.1338176727294922
202,1945,26.614416,-0.0049018859863281
203,1946,26.441584,-0.177734375
204,1947,27.146166,0.5268478393554688
205,1948,26.579334,-0.0399837493896484
206,1949,26.533333,-0.0859851837158203
207,1950,26.655,0.0356826782226562
208,1951,26.5625,-0.0568180084228515
209,1952,26.740168,0.120849609375
210,1953,26.4685,-0.15081787109375
211,1954,26.727583,0.1082649230957031
212,1955,26.532833,-0.0864849090576171
213,1956,26.794416,0.1750984191894531
214,1957,26.574833,-0.0444850921630859
215,1958,26.877,0.2576828002929687
216,1959,26.682333,0.0630149841308593
217,1960,26.661667,0.0423488616943359
218,1961,26.672583,0.0532646179199218
219,1962,26.717,0.0976810455322265
220,1963,26.56075,-0.0585689544677734
221,1964,26.730417,0.1110992431640625
222,1965,26.2845,-0.334817886352539
223,1966,26.53875,-0.0805683135986328
224,1967,26.532417,-0.0869007110595703
225,1968,26.544333,-0.0749855041503906
226,1969,26.861917,0.2425994873046875
227,1970,26.7305,0.1111812591552734
228,1971,26.497,-0.1223182678222656
229,1972,26.457916,-0.1614017486572265
230,1973,27.038416,0.419097900390625
231,1974,26.803667,0.1843490600585937
232,1975,26.747417,0.1280994415283203
233,1976,26.632416,0.0130977630615234
234,1977,26.857416,0.23809814453125
235,1978,26.924417,0.3050994873046875
236,1979,26.954916,0.3355979919433594
237,1980,26.941166,0.321847915649414
238,1981,27.066917,0.4475994110107422
239,1982,26.74025,0.1209316253662109
240,1983,26.98725,0.3679313659667969
241,1984,26.896418,0.277099609375
242,1985,27.0135,0.3941822052001953
243,1986,27.024334,0.4050159454345703
244,1987,26.955416,0.3360977172851562
245,1988,27.279583,0.6602649688720703
246,1989,26.991917,0.372598648071289
247,1990,27.264917,0.645599365234375
248,1991,26.993416,0.3740978240966797
249,1992,27.001917,0.382598876953125
250,1993,26.781,0.16168212890625
251,1994,26.793083,0.1737651824951172
252,1995,27.2005,0.5811824798583984
253,1996,27.124916,0.5055980682373047
254,1997,26.950417,0.3310985565185547
255,1998,27.374332,0.7550144195556641
256,1999,26.99425,0.3749313354492187
257,2000,27.26475,0.6454315185546875
258,2001,27.448334,0.8290157318115234
259,2002,27.375416,0.7560977935791016
260,2003,27.37975,0.7604312896728516
261,2004,27.178583,0.55926513671875
262,2005,27.383333,0.7640151977539062
263,2006,27.207417,0.5880985260009766
264,2007,27.321417,0.7020988464355469
265,2008,27.183916,0.5645980834960938
266,2009,27.387833,0.7685146331787109
267,2010,27.58625,0.9669322967529296
268,2011,27.23575,0.6164321899414062
269,2012,27.18,0.5606822967529297
270,2013,27.21025,0.5909328460693359
