,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,26.28191,-0.5951614379882812
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,,
115,1858,,
116,1859,26.2272,-0.649871826171875
117,1860,,
118,1861,,
119,1862,,
120,1863,,
121,1864,26.236416,-0.640655517578125
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,,
131,1874,,
132,1875,26.339624,-0.5374469757080078
133,1876,26.214167,-0.6629047393798828
134,1877,26.771418,-0.1056537628173828
135,1878,26.937166,0.0600948333740234
136,1879,,
137,1880,26.667091,-0.2099800109863281
138,1881,26.710728,-0.1663436889648437
139,1882,26.454416,-0.4226551055908203
140,1883,26.329834,-0.5472373962402344
141,1884,26.207,-0.6700706481933594
142,1885,26.434584,-0.4424877166748047
143,1886,26.542334,-0.3347377777099609
144,1887,26.159082,-0.7179889678955078
145,1888,26.42975,-0.4473209381103515
146,1889,26.571083,-0.3059883117675781
147,1890,26.322834,-0.5542373657226562
148,1891,26.406166,-0.4709053039550781
149,1892,26.385416,-0.4916553497314453
150,1893,26.558083,-0.3189888000488281
151,1894,26.580584,-0.296487808227539
152,1895,26.618084,-0.2589874267578125
153,1896,26.679083,-0.1979885101318359
154,1897,26.875334,-0.0017375946044921
155,1898,26.822,-0.0550708770751953
156,1899,26.604166,-0.2729053497314453
157,1900,26.7085,-0.1685714721679687
158,1901,26.485167,-0.3919048309326172
159,1902,26.5905,-0.2865715026855469
160,1903,26.461166,-0.4159049987792969
161,1904,26.532,-0.345071792602539
162,1905,26.642584,-0.2344875335693359
163,1906,26.41575,-0.4613208770751953
164,1907,26.23425,-0.642822265625
165,1908,26.264166,-0.6129055023193359
166,1909,26.460833,-0.416238784790039
167,1910,27.079,0.2019290924072265
168,1911,26.65275,-0.2243213653564453
169,1912,26.31875,-0.5583209991455078
170,1913,26.457916,-0.4191551208496094
171,1914,26.78125,-0.0958213806152343
172,1915,27.023167,0.1460952758789062
173,1916,26.534416,-0.3426551818847656
174,1917,26.613667,-0.2634048461914062
175,1918,26.446167,-0.4309043884277344
176,1919,26.886833,0.0097618103027343
177,1920,26.650667,-0.2264041900634765
178,1921,26.536,-0.3410720825195312
179,1922,26.437334,-0.439737319946289
180,1923,26.311583,-0.5654888153076172
181,1924,26.662916,-0.2141551971435547
182,1925,26.494083,-0.3829879760742187
183,1926,26.950167,0.0730953216552734
184,1927,26.43075,-0.4463214874267578
185,1928,26.637583,-0.2394886016845703
186,1929,27.018917,0.141845703125
187,1930,26.910917,0.0338459014892578
188,1931,27.110916,0.2338447570800781
189,1932,26.6715,-0.2055721282958984
190,1933,26.884,0.0069293975830078
191,1934,26.630167,-0.2469043731689453
192,1935,26.733166,-0.1439056396484375
193,1936,26.80625,-0.0708217620849609
194,1937,26.4785,-0.3985710144042969
195,1938,26.445333,-0.4317378997802734
196,1939,26.741083,-0.1359882354736328
197,1940,27.14125,0.2641792297363281
198,1941,27.264166,0.387094497680664
199,1942,27.05325,0.176177978515625
200,1943,26.929583,0.0525112152099609
201,1944,27.01025,0.1331787109375
202,1945,27.086916,0.2098445892333984
203,1946,26.86725,-0.0098209381103515
204,1947,26.897833,0.020761489868164
205,1948,26.897833,0.020761489868164
206,1949,26.982584,0.1055126190185546
207,1950,26.569916,-0.3071556091308594
208,1951,26.926584,0.0495128631591796
209,1952,27.043833,0.1667613983154297
210,1953,27.1105,0.233428955078125
211,1954,26.843584,-0.033487319946289
212,1955,26.681,-0.1960716247558593
213,1956,26.568,-0.3090705871582031
214,1957,26.724583,-0.1524887084960937
215,1958,27.229918,0.3528461456298828
216,1959,27.10925,0.232177734375
217,1960,26.79625,-0.0808219909667968
218,1961,27.046417,0.1693458557128906
219,1962,26.829,-0.0480709075927734
220,1963,26.535418,-0.341653823852539
221,1964,26.780916,-0.0961551666259765
222,1965,26.499666,-0.3774051666259765
223,1966,26.806168,-0.0709037780761718
224,1967,26.941166,0.0640945434570312
225,1968,26.607666,-0.2694053649902344
226,1969,27.125,0.2479286193847656
227,1970,26.956333,0.0792617797851562
228,1971,26.855583,-0.0214881896972656
229,1972,27.343834,0.4667625427246094
230,1973,27.23425,0.357177734375
231,1974,26.769583,-0.1074886322021484
232,1975,26.332916,-0.5441551208496094
233,1976,26.621416,-0.255655288696289
234,1977,27.1915,0.3144283294677734
235,1978,27.325333,0.4482612609863281
236,1979,27.205667,0.3285961151123047
237,1980,27.4335,0.5564289093017578
238,1981,27.057917,0.1808452606201172
239,1982,27.103083,0.2260112762451172
240,1983,27.428,0.5509281158447266
241,1984,26.815166,-0.0619049072265625
242,1985,26.80025,-0.076822280883789
243,1986,27.035,0.157928466796875
244,1987,27.4325,0.5554294586181641
245,1988,27.483,0.6059284210205078
246,1989,26.858,-0.0190715789794921
247,1990,27.142666,0.265594482421875
248,1991,27.256083,0.3790111541748047
249,1992,27.25825,0.3811779022216797
250,1993,26.90975,0.0326786041259765
251,1994,27.265,0.3879280090332031
252,1995,27.16325,0.2861785888671875
253,1996,27.126,0.2489280700683593
254,1997,27.222334,0.3452625274658203
255,1998,27.549917,0.6728458404541016
256,1999,27.4995,0.6224288940429688
257,2000,27.71025,0.8331794738769531
258,2001,27.477833,0.6007614135742188
259,2002,27.516,0.6389293670654297
260,2003,27.787167,0.91009521484375
261,2004,27.683666,0.8065948486328125
262,2005,27.832417,0.9553451538085938
263,2006,27.653166,0.7760944366455078
264,2007,27.87275,0.9956779479980468
265,2008,27.451334,0.5742626190185547
266,2009,27.945084,1.068012237548828
267,2010,27.821,0.943927764892578
268,2011,27.924417,1.047346115112305
269,2012,27.9385,1.0614280700683594
270,2013,27.975624,1.098552703857422
