,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,16.448668,-0.820556640625
115,1858,16.730667,-0.5385570526123047
116,1859,16.767,-0.5022239685058594
117,1860,17.1924,-0.0768241882324218
118,1861,16.832333,-0.4368915557861328
119,1862,16.41075,-0.8584747314453125
120,1863,16.742332,-0.5268917083740234
121,1864,16.818832,-0.4503917694091797
122,1865,17.198584,-0.0706405639648437
123,1866,17.065916,-0.20330810546875
124,1867,17.117,-0.1522235870361328
125,1868,16.743834,-0.525390625
126,1869,17.134832,-0.1343917846679687
127,1870,16.785166,-0.4840583801269531
128,1871,16.945917,-0.3233070373535156
129,1872,16.916834,-0.3523902893066406
130,1873,16.46675,-0.8024749755859375
131,1874,16.86325,-0.4059734344482422
132,1875,16.665833,-0.6033916473388672
133,1876,16.629667,-0.639556884765625
134,1877,17.098,-0.1712245941162109
135,1878,16.8895,-0.3797245025634765
136,1879,16.476,-0.7932243347167969
137,1880,17.114273,-0.1549510955810547
138,1881,16.877583,-0.391641616821289
139,1882,16.782583,-0.4866409301757812
140,1883,16.908833,-0.360391616821289
141,1884,16.623833,-0.6453914642333984
142,1885,17.060583,-0.2086410522460937
143,1886,17.102083,-0.1671409606933593
144,1887,16.706917,-0.5623073577880859
145,1888,16.88475,-0.3844738006591797
146,1889,17.242083,-0.0271415710449218
147,1890,16.718334,-0.5508899688720703
148,1891,16.948917,-0.3203067779541015
149,1892,16.71125,-0.5579738616943359
150,1893,16.75225,-0.5169734954833984
151,1894,16.830584,-0.4386405944824219
152,1895,16.83325,-0.43597412109375
153,1896,17.4075,0.138275146484375
154,1897,17.0005,-0.2687244415283203
155,1898,16.475416,-0.7938079833984375
156,1899,16.904833,-0.3643913269042969
157,1900,17.386,0.1167755126953125
158,1901,16.909166,-0.3600578308105469
159,1902,16.713833,-0.5553913116455078
160,1903,16.6385,-0.6307239532470703
161,1904,16.596167,-0.6730575561523438
162,1905,16.778334,-0.4908905029296875
163,1906,16.520334,-0.7488899230957031
164,1907,16.482834,-0.7863903045654297
165,1908,16.766582,-0.5026416778564453
166,1909,16.958834,-0.3103904724121094
167,1910,16.625334,-0.643890380859375
168,1911,16.812666,-0.4565582275390625
169,1912,17.111,-0.1582241058349609
170,1913,17.306168,0.0369434356689453
171,1914,17.3855,0.1162757873535156
172,1915,17.031918,-0.2373065948486328
173,1916,17.049084,-0.2201404571533203
174,1917,16.556417,-0.7128067016601562
175,1918,16.893833,-0.3753910064697265
176,1919,17.332167,0.0629425048828125
177,1920,17.304167,0.034942626953125
178,1921,16.776583,-0.4926414489746094
179,1922,17.37425,0.1050262451171875
180,1923,17.41475,0.1455249786376953
181,1924,16.698668,-0.570556640625
182,1925,17.023333,-0.2458915710449218
183,1926,17.329334,0.0601100921630859
184,1927,17.69375,0.4245262145996094
185,1928,17.266666,-0.0025577545166015
186,1929,17.38925,0.120025634765625
187,1930,17.040583,-0.2286415100097656
188,1931,17.389668,0.1204433441162109
189,1932,17.617666,0.3484420776367187
190,1933,17.527082,0.2578582763671875
191,1934,17.519833,0.2506084442138672
192,1935,16.760166,-0.5090579986572266
193,1936,17.074667,-0.1945571899414062
194,1937,17.445084,0.1758594512939453
195,1938,17.385,0.1157760620117187
196,1939,17.032583,-0.2366409301757812
197,1940,17.598583,0.3293590545654297
198,1941,17.73175,0.4625263214111328
199,1942,17.53075,0.2615261077880859
200,1943,16.8795,-0.3897247314453125
201,1944,17.459417,0.1901931762695312
202,1945,17.597584,0.3283596038818359
203,1946,17.510334,0.2411098480224609
204,1947,17.577583,0.308359146118164
205,1948,17.2735,0.0042762756347656
206,1949,17.667,0.397775650024414
207,1950,17.451166,0.1819419860839843
208,1951,17.002333,-0.2668914794921875
209,1952,17.5175,0.2482757568359375
210,1953,17.312416,0.043191909790039
211,1954,17.066584,-0.2026405334472656
212,1955,16.601833,-0.6673908233642578
213,1956,17.09325,-0.175973892211914
214,1957,17.426332,0.1571083068847656
215,1958,17.422832,0.1536083221435547
216,1959,17.332167,0.0629425048828125
217,1960,17.571583,0.3023586273193359
218,1961,17.545166,0.2759418487548828
219,1962,17.738667,0.4694423675537109
220,1963,17.505833,0.2366085052490234
221,1964,17.262,-0.0072250366210937
222,1965,17.399918,0.1306934356689453
223,1966,17.806667,0.5374431610107422
224,1967,17.307833,0.0386085510253906
225,1968,17.043583,-0.2256412506103515
226,1969,17.772333,0.5031089782714844
227,1970,17.72025,0.4510250091552734
228,1971,17.28575,0.0165252685546875
229,1972,17.621166,0.3519420623779297
230,1973,17.584417,0.3151931762695312
231,1974,17.175417,-0.0938072204589843
232,1975,17.1505,-0.1187248229980468
233,1976,16.963833,-0.3053913116455078
234,1977,17.66,0.3907756805419922
235,1978,17.40975,0.1405258178710937
236,1979,17.789833,0.5206089019775391
237,1980,17.609833,0.3406085968017578
238,1981,17.11575,-0.1534748077392578
239,1982,17.752083,0.482858657836914
240,1983,18.203583,0.9343585968017578
241,1984,17.968166,0.6989421844482422
242,1985,18.056084,0.7868595123291016
243,1986,17.955,0.6857757568359375
244,1987,18.103582,0.8343582153320312
245,1988,17.628834,0.3596096038818359
246,1989,17.406166,0.136941909790039
247,1990,17.728333,0.4591083526611328
248,1991,17.752,0.4827766418457031
249,1992,18.256166,0.9869422912597656
250,1993,18.20275,0.9335250854492188
251,1994,17.61475,0.3455257415771484
252,1995,17.87075,0.6015262603759766
253,1996,17.258667,-0.0105571746826171
254,1997,17.61525,0.3460254669189453
255,1998,18.095333,0.8261089324951172
256,1999,18.5455,1.276275634765625
257,2000,17.585583,0.3163585662841797
258,2001,17.867916,0.5986919403076172
259,2002,17.949417,0.6801929473876953
260,2003,18.261667,0.9924430847167968
261,2004,18.082834,0.8136100769042969
262,2005,18.217916,0.9486923217773438
263,2006,17.5975,0.3282756805419922
264,2007,17.98625,0.7170257568359375
265,2008,17.956083,0.686859130859375
266,2009,17.886,0.6167755126953125
267,2010,18.302668,1.0334434509277344
268,2011,17.552416,0.2831916809082031
269,2012,17.846916,0.5776920318603516
270,2013,17.325375,0.0561504364013671
