,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,,
115,1858,,
116,1859,,
117,1860,,
118,1861,,
119,1862,,
120,1863,,
121,1864,,
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,,
131,1874,,
132,1875,0.70208335,-0.6926392316818237
133,1876,0.6435,-0.7512226104736328
134,1877,1.0729166,-0.3218059539794922
135,1878,,
136,1879,,
137,1880,0.5007273,-0.8939952850341797
138,1881,,
139,1882,,
140,1883,,
141,1884,,
142,1885,,
143,1886,,
144,1887,,
145,1888,,
146,1889,,
147,1890,,
148,1891,,
149,1892,,
150,1893,,
151,1894,,
152,1895,0.8625,-0.5322225689888
153,1896,1.1144167,-0.2803058624267578
154,1897,1.1395,-0.2552225589752197
155,1898,0.91333336,-0.4813892245292663
156,1899,0.93925,-0.4554725885391235
157,1900,1.217,-0.1777225732803344
158,1901,1.1784166,-0.2163059711456298
159,1902,0.60236365,-0.792358934879303
160,1903,0.78758335,-0.6071392297744751
161,1904,0.42816666,-0.9665559232234956
162,1905,1.2295,-0.1652225255966186
163,1906,1.42625,0.0315274000167846
164,1907,1.2324166,-0.1623059511184692
165,1908,1.69375,0.2990274429321289
166,1909,1.217,-0.1777225732803344
167,1910,1.4751667,0.0804440975189209
168,1911,0.85858333,-0.5361392498016357
169,1912,0.58025,-0.8144725561141968
170,1913,0.65683335,-0.7378892302513123
171,1914,1.4654167,0.070694088935852
172,1915,0.99216664,-0.4025559425354004
173,1916,0.78541666,-0.6093059182167053
174,1917,1.6895,0.2947773933410644
175,1918,1.4678333,0.0731106996536254
176,1919,1.2670833,-0.1276392936706543
177,1920,0.60775,-0.7869725823402405
178,1921,0.76883334,-0.625889241695404
179,1922,1.4629166,0.068194031715393
180,1923,0.7331667,-0.6615558862686157
181,1924,0.6155,-0.7792226076126099
182,1925,0.86025,-0.5344725847244263
183,1926,0.5055,-0.8892225623130798
184,1927,0.36341667,-1.031305909156799
185,1928,0.46483332,-0.9298892617225648
186,1929,1.05275,-0.3419725894927978
187,1930,0.44483334,-0.9498892426490784
188,1931,1.4244167,0.0296940803527832
189,1932,1.3696667,-0.0250558853149414
190,1933,1.5488334,0.1541107892990112
191,1934,1.3485,-0.0462225675582885
192,1935,0.567,-0.8277226090431213
193,1936,1.7094166,0.3146940469741821
194,1937,1.5916667,0.1969441175460815
195,1938,1.2586666,-0.1360559463500976
196,1939,0.5771667,-0.8175559043884277
197,1940,1.9739166,0.5791940689086914
198,1941,1.1080834,-0.2866392135620117
199,1942,1.052,-0.3427225351333618
200,1943,2.07875,0.6840273141860962
201,1944,1.2634166,-0.1313059329986572
202,1945,0.322,-1.0727225840091703
203,1946,1.0296667,-0.3650559186935425
204,1947,1.62325,0.2285274267196655
205,1948,0.9605,-0.4342225790023803
206,1949,1.3258333,-0.0688892602920532
207,1950,0.6483333,-0.7463892698287964
208,1951,1.2695833,-0.1251392364501953
209,1952,1.23825,-0.1564725637435913
210,1953,1.5139166,0.1191940307617187
211,1954,1.325,-0.0697225332260131
212,1955,1.83525,0.4405274391174316
213,1956,1.916,0.5212774276733398
214,1957,1.7905,0.3957774639129638
215,1958,1.3023334,-0.0923892259597778
216,1959,0.6454167,-0.7493059039115906
217,1960,1.63875,0.2440273761749267
218,1961,1.1821667,-0.2125558853149414
219,1962,1.8490833,0.4543607234954834
220,1963,1.3371667,-0.0575559139251709
221,1964,0.83325,-0.5614725947380066
222,1965,1.6951667,0.3004441261291504
223,1966,1.0448333,-0.3498892784118652
224,1967,1.4190834,0.0243607759475708
225,1968,1.87825,0.4835274219512939
226,1969,1.611,0.2162773609161377
227,1970,1.5159167,0.1211941242218017
228,1971,1.4579166,0.0631940364837646
229,1972,0.92975,-0.4649725556373596
230,1973,1.4410833,0.0463607311248779
231,1974,1.4743333,0.0796107053756713
232,1975,1.4805833,0.0858607292175293
233,1976,1.5334166,0.1386940479278564
234,1977,1.643,0.2482774257659912
235,1978,1.7745833,0.3798607587814331
236,1979,1.587,0.1922774314880371
237,1980,1.1380833,-0.2566392421722412
238,1981,1.8921666,0.4974440336227417
239,1982,1.9765,0.5817774534225464
240,1983,1.7759167,0.3811941146850586
241,1984,1.5270833,0.1323606967926025
242,1985,1.90475,0.5100274085998535
243,1986,1.86875,0.4740273952484131
244,1987,1.1954167,-0.1993058919906616
245,1988,1.4955833,0.1008607149124145
246,1989,2.4755833,1.0808607339859009
247,1990,2.1653333,0.7706106901168823
248,1991,1.54125,0.1465274095535278
249,1992,1.76,0.3652774095535278
250,1993,2.2588334,0.8641108274459839
251,1994,1.3565834,-0.0381392240524292
252,1995,1.6331667,0.2384440898895263
253,1996,2.0825,0.6877774000167847
254,1997,1.6834167,0.2886941432952881
255,1998,2.3995,1.0047773122787476
256,1999,2.6010833,1.2063606977462769
257,2000,2.0285833,0.63386070728302
258,2001,2.4963334,1.101610779762268
259,2002,1.66925,0.2745274305343628
260,2003,1.9478333,0.5531107187271118
261,2004,2.3595834,0.9648607969284058
262,2005,2.0304167,0.635694146156311
263,2006,2.3226666,0.9279440641403198
264,2007,1.4516667,0.0569441318511962
265,2008,2.0684166,0.6736940145492554
266,2009,2.26125,0.8665274381637573
267,2010,2.5810833,1.1863607168197632
268,2011,2.5091667,1.114444136619568
269,2012,1.9021667,0.5074441432952881
270,2013,2.228625,0.8339024782180786
