,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,10.697,-1.1557331085205078
99,1842,11.305083,-0.5476493835449219
100,1843,11.477417,-0.3753156661987304
101,1844,11.248584,-0.6041488647460938
102,1845,11.392167,-0.4605655670166015
103,1846,11.65325,-0.1994829177856445
104,1847,11.749833,-0.1028995513916015
105,1848,11.491333,-0.3613996505737304
106,1849,11.521417,-0.3313159942626953
107,1850,10.94875,-0.9039831161499025
108,1851,10.621417,-1.2313156127929688
109,1852,10.772,-1.080732345581055
110,1853,11.123,-0.7297325134277344
111,1854,11.693167,-0.1595659255981445
112,1855,11.951583,0.0988502502441406
113,1856,11.455417,-0.3973159790039062
114,1857,11.4575,-0.3952322006225586
115,1858,11.564083,-0.2886495590209961
116,1859,11.51425,-0.3384828567504883
117,1860,10.7445,-1.108232498168945
118,1861,10.99875,-0.8539829254150391
119,1862,10.833083,-1.0196495056152344
120,1863,11.603917,-0.2488155364990234
121,1864,11.12775,-0.7249822616577148
122,1865,11.438833,-0.4138994216918945
123,1866,11.194917,-0.6578159332275391
124,1867,11.72075,-0.1319828033447265
125,1868,11.649834,-0.2028989791870117
126,1869,11.804,-0.0487327575683593
127,1870,11.570666,-0.2820663452148437
128,1871,11.6925,-0.1602325439453125
129,1872,11.452,-0.4007329940795898
130,1873,10.971916,-0.8808164596557617
131,1874,11.654083,-0.1986494064331054
132,1875,11.49625,-0.3564825057983398
133,1876,11.76525,-0.0874824523925781
134,1877,11.674167,-0.1785659790039062
135,1878,11.46175,-0.3909826278686523
136,1879,11.834833,-0.0178995132446289
137,1880,11.476666,-0.3760662078857422
138,1881,11.412917,-0.4398155212402344
139,1882,11.515417,-0.337315559387207
140,1883,11.438666,-0.4140663146972656
141,1884,10.52625,-1.3264827728271484
142,1885,11.03225,-0.8204822540283203
143,1886,11.424417,-0.4283161163330078
144,1887,11.577333,-0.2753992080688476
145,1888,11.607833,-0.2448997497558593
146,1889,10.9835,-0.8692331314086914
147,1890,12.571,0.7182674407958984
148,1891,11.532,-0.3207330703735351
149,1892,11.034917,-0.8178157806396484
150,1893,10.955083,-0.8976497650146484
151,1894,12.697166,0.8444337844848633
152,1895,11.285167,-0.56756591796875
153,1896,11.510834,-0.3418989181518554
154,1897,11.522,-0.3307323455810547
155,1898,12.554334,0.7016010284423828
156,1899,12.072583,0.2198505401611328
157,1900,11.592667,-0.2600660324096679
158,1901,11.296,-0.5567331314086914
159,1902,11.809667,-0.0430660247802734
160,1903,11.74125,-0.1114826202392578
161,1904,11.47525,-0.3774824142456054
162,1905,11.739833,-0.1128997802734375
163,1906,11.218917,-0.6338157653808594
164,1907,11.6145,-0.2382326126098632
165,1908,11.293333,-0.5593996047973633
166,1909,11.4295,-0.4232330322265625
167,1910,11.058084,-0.7946491241455078
168,1911,11.501917,-0.3508157730102539
169,1912,11.238,-0.6147327423095703
170,1913,10.952917,-0.899815559387207
171,1914,12.571917,0.7191839218139648
172,1915,11.759583,-0.093149185180664
173,1916,11.90375,0.0510177612304687
174,1917,10.802834,-1.0498991012573242
175,1918,11.240916,-0.61181640625
176,1919,11.763833,-0.0888996124267578
177,1920,12.074,0.2212677001953125
178,1921,11.533584,-0.3191490173339844
179,1922,11.926,0.0732669830322265
180,1923,11.432917,-0.4198160171508789
181,1924,11.572333,-0.2803993225097656
182,1925,11.442833,-0.4098997116088867
183,1926,11.322416,-0.5303163528442383
184,1927,11.697917,-0.154815673828125
185,1928,11.735917,-0.1168155670166015
186,1929,11.942083,0.0893507003784179
187,1930,12.2815,0.4287672042846679
188,1931,11.492333,-0.3603992462158203
189,1932,11.9425,0.0897674560546875
190,1933,11.69325,-0.1594829559326172
191,1934,11.388083,-0.4646492004394531
192,1935,12.254167,0.4014339447021484
193,1936,11.016916,-0.8358163833618164
194,1937,12.300167,0.4474344253540039
195,1938,11.908334,0.0556011199951171
196,1939,12.371917,0.5191841125488281
197,1940,11.7795,-0.0732326507568359
198,1941,11.9035,0.0507669448852539
199,1942,11.9655,0.112767219543457
200,1943,12.094084,0.2413511276245117
201,1944,11.788834,-0.0638990402221679
202,1945,11.247084,-0.6056489944458008
203,1946,12.189584,0.3368511199951172
204,1947,10.6495,-1.203232765197754
205,1948,12.395166,0.5424337387084961
206,1949,12.057834,0.2051010131835937
207,1950,12.339666,0.4869337081909179
208,1951,12.228416,0.3756837844848633
209,1952,11.979333,0.1266002655029297
210,1953,12.156584,0.3038511276245117
211,1954,12.25525,0.4025173187255859
212,1955,12.391583,0.5388507843017578
213,1956,11.127833,-0.7248992919921875
214,1957,11.399167,-0.4535655975341797
215,1958,12.25875,0.4060173034667969
216,1959,12.840333,0.987600326538086
217,1960,12.7395,0.8867673873901367
218,1961,12.879,1.0262670516967771
219,1962,12.083834,0.2311010360717773
220,1963,11.489,-0.3637323379516601
221,1964,12.588166,0.7354335784912109
222,1965,11.752833,-0.0998992919921875
223,1966,12.02425,0.1715173721313476
224,1967,12.04625,0.1935176849365234
225,1968,11.956417,0.1036844253540039
226,1969,11.448083,-0.4046497344970703
227,1970,11.71125,-0.1414823532104492
228,1971,11.920417,0.0676841735839843
229,1972,12.133833,0.2811002731323242
230,1973,12.432417,0.5796842575073242
231,1974,11.388333,-0.4643993377685547
232,1975,12.615,0.7622671127319336
233,1976,11.720166,-0.1325664520263672
234,1977,12.361333,0.5086002349853516
235,1978,12.807834,0.9551010131835938
236,1979,12.67575,0.8230171203613281
237,1980,11.263583,-0.5891494750976562
238,1981,11.47425,-0.3784828186035156
239,1982,12.469833,0.617100715637207
240,1983,12.364,0.5112676620483398
241,1984,11.802584,-0.0501489639282226
242,1985,12.177167,0.3244342803955078
243,1986,11.601916,-0.2508163452148437
244,1987,12.35925,0.5065174102783203
245,1988,12.22625,0.3735170364379883
246,1989,12.951834,1.0991010665893557
247,1990,13.2295,1.3767671585083008
248,1991,12.407917,0.5551843643188477
249,1992,12.60375,0.7510175704956055
250,1993,11.971916,0.1191835403442382
251,1994,13.480416,1.6276836395263672
252,1995,12.32725,0.4745168685913086
253,1996,12.165,0.3122673034667969
254,1997,12.818833,0.9661006927490234
255,1998,13.64925,1.7965173721313477
256,1999,13.033417,1.1806840896606443
257,2000,12.575334,0.7226009368896484
258,2001,12.842584,0.9898509979248048
259,2002,12.817166,0.9644336700439452
260,2003,12.646584,0.7938508987426758
261,2004,13.365084,1.5123510360717771
262,2005,12.356667,0.5039339065551758
263,2006,12.903334,1.0506010055541992
264,2007,13.292916,1.4401836395263672
265,2008,13.027917,1.1751842498779297
266,2009,12.949333,1.0966005325317385
267,2010,12.63975,0.7870168685913086
268,2011,12.3635,0.5107669830322266
269,2012,12.391666,0.5389337539672852
270,2013,13.7605,1.9077672958374023
