,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,26.481142,-0.6227760314941406
115,1858,26.704124,-0.3997936248779297
116,1859,27.0456,-0.0583171844482421
117,1860,26.485182,-0.6187362670898438
118,1861,25.9588,-1.1451187133789062
119,1862,,
120,1863,,
121,1864,26.648666,-0.4552516937255859
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,27.823875,0.7199573516845703
131,1874,26.508636,-0.5952816009521484
132,1875,26.1695,-0.934417724609375
133,1876,26.437166,-0.6667518615722656
134,1877,26.996916,-0.1070022583007812
135,1878,27.2445,0.1405811309814453
136,1879,26.676834,-0.4270839691162109
137,1880,26.843916,-0.2600021362304687
138,1881,27.119417,0.0154991149902343
139,1882,26.557417,-0.5465011596679688
140,1883,26.456083,-0.6478347778320312
141,1884,26.248833,-0.8550853729248047
142,1885,26.5095,-0.5944175720214844
143,1886,26.342167,-0.7617511749267578
144,1887,26.412916,-0.6910018920898438
145,1888,26.39825,-0.7056674957275391
146,1889,26.98125,-0.1226673126220703
147,1890,26.996334,-0.107583999633789
148,1891,26.87575,-0.2281684875488281
149,1892,26.663584,-0.4403343200683594
150,1893,26.45825,-0.6456680297851562
151,1894,26.549,-0.5549182891845703
152,1895,26.5635,-0.5404186248779297
153,1896,26.734083,-0.3698348999023437
154,1897,26.849167,-0.2547512054443359
155,1898,27.20125,0.0973320007324218
156,1899,26.991083,-0.1128349304199218
157,1900,26.888083,-0.2158355712890625
158,1901,27.633833,0.5299148559570312
159,1902,26.864834,-0.239084243774414
160,1903,26.684416,-0.4195022583007812
161,1904,26.509916,-0.5940017700195312
162,1905,26.7755,-0.3284187316894531
163,1906,26.616333,-0.4875850677490234
164,1907,26.741417,-0.3625011444091797
165,1908,26.681583,-0.4223346710205078
166,1909,26.863667,-0.2402515411376953
167,1910,26.475666,-0.6282520294189453
168,1911,26.61725,-0.4866676330566406
169,1912,26.552,-0.5519180297851562
170,1913,26.431334,-0.6725845336914062
171,1914,27.477083,0.3731651306152344
172,1915,27.364916,0.2609977722167969
173,1916,26.629084,-0.4748344421386719
174,1917,26.265167,-0.8387508392333984
175,1918,26.745,-0.358917236328125
176,1919,27.487833,0.3839149475097656
177,1920,26.3,-0.8039188385009766
178,1921,26.825167,-0.2787513732910156
179,1922,26.59625,-0.5076675415039062
180,1923,26.705166,-0.398752212524414
181,1924,27.250917,0.1469993591308593
182,1925,27.028,-0.0759181976318359
183,1926,27.010834,-0.0930843353271484
184,1927,27.35625,0.2523326873779297
185,1928,27.59425,0.4903316497802734
186,1929,26.929667,-0.1742515563964843
187,1930,26.9595,-0.144418716430664
188,1931,27.50975,0.405832290649414
189,1932,27.070333,-0.0335845947265625
190,1933,27.466333,0.3624153137207031
191,1934,27.046167,-0.0577507019042968
192,1935,27.135916,0.0319976806640625
193,1936,27.385666,0.281747817993164
194,1937,27.178,0.0740814208984375
195,1938,27.0935,-0.0104179382324218
196,1939,27.340666,0.2367477416992187
197,1940,27.420834,0.3169155120849609
198,1941,27.640333,0.5364151000976562
199,1942,27.612333,0.5084152221679688
200,1943,26.879,-0.2249183654785156
201,1944,27.240667,0.136749267578125
202,1945,26.883167,-0.2207508087158203
203,1946,26.98975,-0.1141681671142578
204,1947,27.261417,0.1574993133544922
205,1948,26.758083,-0.345834732055664
206,1949,26.758417,-0.3455009460449219
207,1950,26.820168,-0.2837505340576172
208,1951,26.874416,-0.229501724243164
209,1952,27.485332,0.3814144134521484
210,1953,27.034666,-0.0692520141601562
211,1954,27.113583,0.0096645355224609
212,1955,27.086,-0.0179176330566406
213,1956,26.945917,-0.1580009460449218
214,1957,27.143333,0.0394153594970703
215,1958,27.570084,0.466165542602539
216,1959,26.884,-0.2199172973632812
217,1960,27.481583,0.377664566040039
218,1961,26.54575,-0.5581684112548828
219,1962,27.2805,0.1765823364257812
220,1963,27.510666,0.406747817993164
221,1964,26.671333,-0.4325847625732422
222,1965,27.055334,-0.048583984375
223,1966,27.3825,0.2785816192626953
224,1967,26.627167,-0.4767513275146484
225,1968,26.8685,-0.2354183197021484
226,1969,27.700333,0.5964145660400391
227,1970,27.077833,-0.0260848999023437
228,1971,26.762167,-0.3417510986328125
229,1972,27.30075,0.1968326568603515
230,1973,27.603083,0.4991645812988281
231,1974,26.838333,-0.2655849456787109
232,1975,27.023,-0.0809173583984375
233,1976,27.446333,0.3424148559570312
234,1977,26.862583,-0.2413349151611328
235,1978,27.158916,0.0549983978271484
236,1979,27.69,0.5860824584960938
237,1980,27.676332,0.5724143981933594
238,1981,27.31375,0.2098312377929687
239,1982,27.114,0.0100822448730468
240,1983,27.036583,-0.0673351287841796
241,1984,27.566833,0.4629154205322265
242,1985,27.414083,0.3101654052734375
243,1986,27.24325,0.1393318176269531
244,1987,27.706667,0.6027488708496094
245,1988,27.392084,0.2881660461425781
246,1989,26.731833,-0.3720855712890625
247,1990,27.644083,0.5401649475097656
248,1991,27.51525,0.4113311767578125
249,1992,26.879667,-0.2242507934570312
250,1993,27.68025,0.5763320922851562
251,1994,27.257334,0.1534156799316406
252,1995,27.498833,0.3949146270751953
253,1996,27.750668,0.6467494964599609
254,1997,27.694,0.5900821685791016
255,1998,27.803,0.6990814208984375
256,1999,27.7195,0.6155815124511719
257,2000,27.456583,0.3526649475097656
258,2001,27.725834,0.6219158172607422
259,2002,27.905416,0.8014984130859375
260,2003,27.85375,0.7498321533203125
261,2004,27.893333,0.7894153594970703
262,2005,28.032833,0.9289150238037108
263,2006,27.729416,0.6254978179931641
264,2007,27.6475,0.5435810089111328
265,2008,27.8415,0.7375812530517578
266,2009,28.347918,1.243999481201172
267,2010,28.647667,1.5437488555908203
268,2011,27.807583,0.7036647796630859
269,2012,27.8685,0.7645816802978516
270,2013,28.572,1.4680824279785156
