,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,26.073092,-0.1013717651367187
82,1825,26.198,0.0235366821289062
83,1826,26.0487,-0.125762939453125
84,1827,26.326,0.1515369415283203
85,1828,25.810818,-0.3636455535888672
86,1829,25.6746,-0.4998626708984375
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,25.521667,-0.6527957916259766
103,1846,26.169834,-0.0046291351318359
104,1847,25.553333,-0.6211299896240234
105,1848,25.74875,-0.4257125854492187
106,1849,25.626417,-0.5480461120605469
107,1850,25.792084,-0.3823795318603515
108,1851,25.602833,-0.5716304779052734
109,1852,25.687,-0.4874629974365234
110,1853,25.79475,-0.3797130584716797
111,1854,25.6565,-0.5179634094238281
112,1855,25.838167,-0.3362960815429687
113,1856,25.496666,-0.6777973175048828
114,1857,25.361917,-0.8125457763671875
115,1858,25.731083,-0.4433803558349609
116,1859,25.7465,-0.4279632568359375
117,1860,25.720167,-0.4542961120605469
118,1861,25.63225,-0.5422134399414062
119,1862,25.37675,-0.7977123260498047
120,1863,25.58725,-0.5872135162353516
121,1864,25.699083,-0.4753799438476562
122,1865,25.8135,-0.3609638214111328
123,1866,25.916166,-0.2582969665527344
124,1867,26.06675,-0.1077136993408203
125,1868,25.766666,-0.4077968597412109
126,1869,26.122084,-0.0523796081542968
127,1870,25.73775,-0.4367141723632812
128,1871,25.843082,-0.3313808441162109
129,1872,25.844334,-0.3301296234130859
130,1873,25.948334,-0.2261295318603515
131,1874,25.957167,-0.2172966003417968
132,1875,25.45775,-0.7167129516601562
133,1876,25.697666,-0.4767971038818359
134,1877,26.312916,0.1384525299072265
135,1878,26.532917,0.3584537506103515
136,1879,25.762,-0.4124641418457031
137,1880,25.4835,-0.6909637451171875
138,1881,25.990583,-0.1838798522949218
139,1882,25.713083,-0.4613800048828125
140,1883,25.536583,-0.6378803253173828
141,1884,25.456,-0.7184638977050781
142,1885,,
143,1886,25.421583,-0.7528800964355469
144,1887,25.578333,-0.59613037109375
145,1888,25.937834,-0.2366294860839843
146,1889,25.935333,-0.2391300201416015
147,1890,25.22425,-0.9502124786376952
148,1891,25.619917,-0.5545463562011719
149,1892,25.5895,-0.5849628448486328
150,1893,25.444416,-0.7300472259521484
151,1894,25.54025,-0.6342124938964844
152,1895,25.915083,-0.2593803405761719
153,1896,25.956583,-0.2178802490234375
154,1897,25.971666,-0.2027969360351562
155,1898,25.634333,-0.540130615234375
156,1899,25.900333,-0.2741298675537109
157,1900,26.138416,-0.0360469818115234
158,1901,26.384916,0.2104530334472656
159,1902,25.965584,-0.2088794708251953
160,1903,25.966833,-0.2076301574707031
161,1904,25.470333,-0.7041301727294922
162,1905,25.9985,-0.1759624481201172
163,1906,25.853083,-0.321380615234375
164,1907,25.71875,-0.4557132720947265
165,1908,25.8145,-0.3599624633789062
166,1909,25.94575,-0.2287139892578125
167,1910,25.721333,-0.4531307220458984
168,1911,25.770334,-0.4041290283203125
169,1912,26.034666,-0.1397972106933593
170,1913,25.770334,-0.4041290283203125
171,1914,26.200083,0.0256195068359375
172,1915,26.39925,0.2247867584228515
173,1916,25.980333,-0.1941299438476562
174,1917,25.430166,-0.7442970275878906
175,1918,25.548584,-0.6258792877197266
176,1919,26.095083,-0.0793800354003906
177,1920,25.816,-0.3584632873535156
178,1921,25.6955,-0.4789638519287109
179,1922,25.801416,-0.373046875
180,1923,25.789417,-0.3850460052490234
181,1924,25.8105,-0.3639640808105469
182,1925,25.897917,-0.2765464782714844
183,1926,26.388834,0.2143707275390625
184,1927,26.0855,-0.0889625549316406
185,1928,26.234333,0.0598697662353515
186,1929,25.8985,-0.2759628295898437
187,1930,26.0935,-0.080963134765625
188,1931,26.547083,0.37261962890625
189,1932,26.443,0.2685375213623047
190,1933,26.05725,-0.1172142028808593
191,1934,25.873333,-0.3011302947998047
192,1935,26.199167,0.0247039794921875
193,1936,26.240334,0.0658702850341796
194,1937,26.412666,0.2382030487060547
195,1938,26.208334,0.0338706970214843
196,1939,26.10775,-0.0667133331298828
197,1940,26.681084,0.5066204071044922
198,1941,26.659334,0.4848709106445312
199,1942,26.532,0.3575363159179687
200,1943,26.054832,-0.1196308135986328
201,1944,26.291082,0.1166191101074218
202,1945,26.190666,0.0162029266357421
203,1946,26.219418,0.0449542999267578
204,1947,26.32,0.1455364227294922
205,1948,26.16375,-0.0107135772705078
206,1949,25.998917,-0.175546646118164
207,1950,26.283833,0.1093692779541015
208,1951,26.48625,0.3117866516113281
209,1952,26.586334,0.4118709564208984
210,1953,26.57625,0.4017868041992187
211,1954,26.208584,0.0341205596923828
212,1955,26.272,0.0975360870361328
213,1956,26.131083,-0.0433807373046875
214,1957,26.551916,0.3774528503417969
215,1958,26.954584,0.780120849609375
216,1959,26.502167,0.3277034759521484
217,1960,26.402584,0.2281208038330078
218,1961,26.423416,0.2489528656005859
219,1962,26.511168,0.3367042541503906
220,1963,26.474833,0.3003692626953125
221,1964,26.514334,0.3398704528808594
222,1965,26.485083,0.3106193542480469
223,1966,26.640833,0.46636962890625
224,1967,26.284584,0.1101207733154296
225,1968,26.196833,0.022369384765625
226,1969,26.991917,0.8174533843994141
227,1970,26.522417,0.3479537963867187
228,1971,25.9535,-0.2209625244140625
229,1972,26.311,0.1365375518798828
230,1973,26.390083,0.2156200408935547
231,1974,26.051167,-0.1232967376708984
232,1975,26.04175,-0.1327133178710937
233,1976,26.229,0.0545368194580078
234,1977,26.433666,0.2592029571533203
235,1978,26.5125,0.3380374908447265
236,1979,26.695917,0.521453857421875
237,1980,26.763334,0.5888710021972656
238,1981,26.488,0.31353759765625
239,1982,26.547167,0.3727035522460937
240,1983,26.771418,0.596954345703125
241,1984,26.10425,-0.0702133178710937
242,1985,26.1995,0.0250358581542968
243,1986,26.490833,0.3163700103759765
244,1987,27.166834,0.99237060546875
245,1988,26.6245,0.4500370025634765
246,1989,26.358667,0.1842041015625
247,1990,26.677084,0.5026206970214844
248,1991,26.676416,0.501953125
249,1992,26.805584,0.6311206817626953
250,1993,26.589582,0.4151191711425781
251,1994,26.566084,0.3916206359863281
252,1995,27.045334,0.8708705902099609
253,1996,26.821583,0.6471195220947266
254,1997,27.047167,0.8727035522460938
255,1998,27.400167,1.2257041931152344
256,1999,26.7225,0.5480365753173828
257,2000,26.586082,0.4116191864013672
258,2001,26.804083,0.6296195983886719
259,2002,26.903917,0.7294540405273438
260,2003,27.195583,1.0211200714111328
261,2004,27.150333,0.9758701324462892
262,2005,27.483917,1.3094539642333984
263,2006,27.045666,0.8712024688720703
264,2007,26.908583,0.7341194152832031
265,2008,26.9195,0.7450370788574219
266,2009,27.233084,1.0586204528808594
267,2010,27.412582,1.238119125366211
268,2011,27.0605,0.8860359191894531
269,2012,27.189417,1.01495361328125
270,2013,26.95725,0.7827873229980469
