,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,18.010666,-0.8273887634277344
115,1858,18.328417,-0.5096378326416016
116,1859,18.409166,-0.4288883209228515
117,1860,18.5267,-0.3113555908203125
118,1861,18.3225,-0.5155544281005859
119,1862,17.9215,-0.916555404663086
120,1863,18.362083,-0.4759712219238281
121,1864,18.329916,-0.5081386566162109
122,1865,18.628,-0.2100543975830078
123,1866,18.575333,-0.2627220153808594
124,1867,18.686666,-0.1513881683349609
125,1868,18.36725,-0.470804214477539
126,1869,18.685,-0.153055191040039
127,1870,18.378916,-0.4591388702392578
128,1871,18.44725,-0.3908042907714844
129,1872,18.453167,-0.3848876953125
130,1873,18.097626,-0.7404289245605469
131,1874,18.517916,-0.320138931274414
132,1875,18.2025,-0.6355552673339844
133,1876,18.2225,-0.6155548095703125
134,1877,18.70575,-0.1323051452636718
135,1878,18.685167,-0.1528873443603515
136,1879,18.1965,-0.6415538787841797
137,1880,18.662727,-0.1753273010253906
138,1881,18.464,-0.374053955078125
139,1882,18.220167,-0.6178874969482422
140,1883,18.440332,-0.3977222442626953
141,1884,18.130333,-0.7077217102050781
142,1885,18.421333,-0.4167213439941406
143,1886,18.562,-0.2760543823242187
144,1887,18.138,-0.7000541687011719
145,1888,18.613916,-0.2241382598876953
146,1889,19.04325,0.2051944732666015
147,1890,18.561333,-0.2767219543457031
148,1891,18.475916,-0.3621387481689453
149,1892,18.7375,-0.100555419921875
150,1893,18.240084,-0.5979709625244141
151,1894,18.253916,-0.5841388702392578
152,1895,18.52725,-0.3108043670654297
153,1896,19.015917,0.1778621673583984
154,1897,18.591084,-0.2469711303710937
155,1898,18.029917,-0.8081378936767578
156,1899,18.251083,-0.5869712829589844
157,1900,18.855333,0.0172786712646484
158,1901,18.32,-0.5180549621582031
159,1902,18.373583,-0.4644718170166015
160,1903,18.539583,-0.298471450805664
161,1904,18.206333,-0.6317214965820312
162,1905,18.428833,-0.4092216491699219
163,1906,18.242584,-0.5954704284667969
164,1907,18.086166,-0.7518882751464844
165,1908,18.566084,-0.2719707489013672
166,1909,19.127666,0.28961181640625
167,1910,17.8715,-0.9665546417236328
168,1911,18.2455,-0.5925540924072266
169,1912,18.862833,0.0247783660888671
170,1913,18.997667,0.1596126556396484
171,1914,19.047832,0.20977783203125
172,1915,18.609,-0.2290554046630859
173,1916,18.716667,-0.1213874816894531
174,1917,18.1385,-0.699554443359375
175,1918,18.37725,-0.4608039855957031
176,1919,18.63525,-0.2028045654296875
177,1920,18.85125,0.0131950378417968
178,1921,18.479334,-0.3587207794189453
179,1922,18.980083,0.14202880859375
180,1923,19.161917,0.323862075805664
181,1924,18.136084,-0.7019710540771484
182,1925,18.746916,-0.0911388397216796
183,1926,18.910917,0.0728626251220703
184,1927,18.82525,-0.0128040313720703
185,1928,18.888,0.0499458312988281
186,1929,18.795334,-0.0427207946777343
187,1930,18.530916,-0.307138442993164
188,1931,18.94225,0.1041946411132812
189,1932,18.988916,0.1508617401123047
190,1933,18.832167,-0.0058879852294921
191,1934,18.9635,0.1254444122314453
192,1935,18.189917,-0.6481380462646484
193,1936,18.356916,-0.4811382293701172
194,1937,18.77875,-0.059305191040039
195,1938,18.925583,0.0875282287597656
196,1939,18.349417,-0.4886379241943359
197,1940,19.091917,0.2538623809814453
198,1941,19.724667,0.8866119384765625
199,1942,19.09575,0.2576961517333984
200,1943,18.607166,-0.2308883666992187
201,1944,19.089582,0.2515277862548828
202,1945,18.78625,-0.0518054962158203
203,1946,19.103666,0.2656116485595703
204,1947,19.09425,0.256195068359375
205,1948,18.995417,0.1573619842529297
206,1949,18.93275,0.094696044921875
207,1950,19.02725,0.1891956329345703
208,1951,18.628584,-0.2094707489013672
209,1952,19.13875,0.3006954193115234
210,1953,18.665,-0.1730537414550781
211,1954,18.711416,-0.1266384124755859
212,1955,18.297167,-0.5408878326416016
213,1956,18.79475,-0.043304443359375
214,1957,19.264584,0.4265289306640625
215,1958,19.255167,0.4171123504638672
216,1959,18.818333,-0.0197219848632812
217,1960,18.767334,-0.0707206726074218
218,1961,19.159666,0.3216114044189453
219,1962,19.408916,0.57086181640625
220,1963,18.810417,-0.0276374816894531
221,1964,18.812834,-0.0252208709716796
222,1965,18.797083,-0.0409717559814453
223,1966,19.171333,0.3332786560058594
224,1967,18.820667,-0.0173873901367187
225,1968,18.7285,-0.1095542907714843
226,1969,19.421167,0.5831127166748047
227,1970,19.5145,0.6764450073242188
228,1971,18.814,-0.0240554809570312
229,1972,18.779667,-0.0583877563476562
230,1973,18.916166,0.0781116485595703
231,1974,18.953667,0.1156120300292968
232,1975,18.691584,-0.1464710235595703
233,1976,18.750334,-0.0877208709716796
234,1977,19.448,0.6099452972412109
235,1978,19.11825,0.2801952362060547
236,1979,19.294916,0.4568614959716797
237,1980,18.997334,0.1592788696289062
238,1981,18.604084,-0.2339706420898437
239,1982,19.327917,0.4898624420166015
240,1983,19.836834,0.998779296875
241,1984,19.028166,0.1901111602783203
242,1985,19.581,0.7429447174072266
243,1986,19.43825,0.6001949310302734
244,1987,19.618,0.7799453735351562
245,1988,19.397,0.5589447021484375
246,1989,19.227167,0.3891124725341797
247,1990,19.2115,0.3734455108642578
248,1991,19.412416,0.5743618011474609
249,1992,20.269833,1.4317779541015625
250,1993,19.725,0.8869457244873047
251,1994,18.970417,0.1323623657226562
252,1995,19.539333,0.7012786865234375
253,1996,19.111,0.2729454040527344
254,1997,19.1525,0.3144454956054687
255,1998,19.865417,1.027362823486328
256,1999,19.788834,0.9507789611816406
257,2000,19.0235,0.1854457855224609
258,2001,19.546,0.7079448699951172
259,2002,19.596167,0.7581119537353516
260,2003,19.997168,1.1591129302978516
261,2004,19.469917,0.6318626403808594
262,2005,19.97575,1.1376953125
263,2006,19.266834,0.4287796020507812
264,2007,19.615,0.7769451141357422
265,2008,19.420666,0.582611083984375
266,2009,19.293,0.4549446105957031
267,2010,19.756332,0.9182777404785156
268,2011,19.359,0.5209445953369141
269,2012,19.57175,0.7336959838867188
270,2013,18.95825,0.1201953887939453
