,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,16.541666,-1.3864021301269531
67,1810,16.591333,-1.3367347717285156
68,1811,16.61375,-1.3143177032470703
69,1812,16.610083,-1.3179855346679688
70,1813,17.1675,-0.7605686187744141
71,1814,17.3085,-0.61956787109375
72,1815,16.935667,-0.992401123046875
73,1816,16.523916,-1.4041519165039062
74,1817,16.714417,-1.2136516571044922
75,1818,17.584917,-0.3431510925292969
76,1819,17.076084,-0.8519840240478516
77,1820,17.17725,-0.7508182525634766
78,1821,17.3325,-0.5955677032470703
79,1822,17.093584,-0.8344841003417969
80,1823,17.55875,-0.3693180084228515
81,1824,18.41175,0.483682632446289
82,1825,17.603083,-0.3249855041503906
83,1826,17.524584,-0.4034843444824219
84,1827,18.495667,0.5675983428955078
85,1828,17.571833,-0.3562355041503906
86,1829,17.592083,-0.3359851837158203
87,1830,17.896667,-0.0314006805419921
88,1831,17.208584,-0.7194843292236328
89,1832,16.4845,-1.4435672760009766
90,1833,17.464333,-0.4637355804443359
91,1834,17.3095,-0.6185684204101562
92,1835,16.907833,-1.0202350616455078
93,1836,17.345167,-0.5829010009765625
94,1837,17.044,-0.8840675354003906
95,1838,16.783667,-1.1444015502929688
96,1839,17.062584,-0.8654842376708984
97,1840,17.050083,-0.8779850006103516
98,1841,17.520082,-0.4079856872558594
99,1842,17.58275,-0.3453178405761719
100,1843,17.524166,-0.4039020538330078
101,1844,17.317667,-0.6104011535644531
102,1845,17.548084,-0.379983901977539
103,1846,18.143167,0.2150993347167968
104,1847,17.74475,-0.183319091796875
105,1848,17.705334,-0.2227344512939453
106,1849,17.723,-0.2050685882568359
107,1850,17.133333,-0.7947349548339844
108,1851,18.12675,0.1986827850341797
109,1852,17.75625,-0.1718177795410156
110,1853,18.307667,0.3795986175537109
111,1854,17.307583,-0.6204853057861328
112,1855,17.866667,-0.0614013671875
113,1856,17.3365,-0.5915679931640625
114,1857,16.916916,-1.011152267456055
115,1858,17.575167,-0.3529014587402344
116,1859,17.796083,-0.1319847106933593
117,1860,18.145416,0.2173480987548828
118,1861,16.674583,-1.2534847259521484
119,1862,16.628834,-1.299234390258789
120,1863,17.121,-0.80706787109375
121,1864,17.687166,-0.2409019470214843
122,1865,18.028667,0.1005992889404296
123,1866,17.845917,-0.0821514129638671
124,1867,17.82075,-0.1073188781738281
125,1868,17.566833,-0.3612346649169922
126,1869,18.1075,0.1794319152832031
127,1870,17.905582,-0.0224857330322265
128,1871,17.4285,-0.4995689392089844
129,1872,18.159666,0.231597900390625
130,1873,18.357584,0.4295158386230469
131,1874,17.5885,-0.339569091796875
132,1875,16.952168,-0.975900650024414
133,1876,18.056,0.1279315948486328
134,1877,18.381,0.4529323577880859
135,1878,18.345,0.41693115234375
136,1879,18.568417,0.6403484344482422
137,1880,17.027082,-0.9009857177734376
138,1881,17.776417,-0.151651382446289
139,1882,17.24,-0.6880683898925781
140,1883,17.832,-0.0960674285888671
141,1884,17.28575,-0.6423187255859375
142,1885,18.013334,0.08526611328125
143,1886,17.504667,-0.42340087890625
144,1887,17.981417,0.0533485412597656
145,1888,17.983334,0.0552654266357421
146,1889,18.125334,0.197265625
147,1890,17.769833,-0.1582355499267578
148,1891,17.8175,-0.1105690002441406
149,1892,18.106417,0.1783485412597656
150,1893,17.546333,-0.3817348480224609
151,1894,17.067833,-0.8602352142333984
152,1895,17.535667,-0.3924007415771484
153,1896,17.35425,-0.5738182067871094
154,1897,17.14975,-0.7783184051513672
155,1898,17.487,-0.4410686492919922
156,1899,17.963167,0.0350990295410156
157,1900,18.093082,0.1650142669677734
158,1901,18.875917,0.9478492736816406
159,1902,18.194166,0.2660980224609375
160,1903,17.590166,-0.3379020690917969
161,1904,17.496084,-0.4319839477539062
162,1905,17.432,-0.4960689544677734
163,1906,17.578333,-0.3497352600097656
164,1907,17.063917,-0.8641510009765625
165,1908,17.332417,-0.5956516265869141
166,1909,18.306667,0.3785991668701172
167,1910,17.494833,-0.4332351684570312
168,1911,16.677,-1.251068115234375
169,1912,17.870083,-0.0579853057861328
170,1913,17.1845,-0.7435684204101562
171,1914,17.375334,-0.552734375
172,1915,18.092,0.1639308929443359
173,1916,18.392084,0.4640159606933594
174,1917,18.27675,0.3486824035644531
175,1918,17.776667,-0.1514015197753906
176,1919,18.191166,0.2630977630615234
177,1920,16.9045,-1.023569107055664
178,1921,17.283,-0.6450672149658203
179,1922,18.301666,0.3735980987548828
180,1923,18.287333,0.3592643737792969
181,1924,18.133417,0.2053489685058593
182,1925,17.930584,0.0025157928466796
183,1926,18.133833,0.2057647705078125
184,1927,18.302166,0.3740978240966797
185,1928,18.211,0.2829322814941406
186,1929,18.128916,0.2008476257324218
187,1930,18.720583,0.7925148010253906
188,1931,18.139833,0.2117652893066406
189,1932,17.986584,0.0585155487060546
190,1933,17.36325,-0.5648174285888672
191,1934,18.00525,0.0771827697753906
192,1935,18.69625,0.7681827545166016
193,1936,18.277834,0.3497657775878906
194,1937,18.737,0.8089313507080078
195,1938,17.94525,0.017181396484375
196,1939,18.285334,0.3572654724121094
197,1940,18.37525,0.4471817016601562
198,1941,18.38725,0.4591827392578125
199,1942,18.17175,0.2436809539794922
200,1943,17.805834,-0.1222343444824218
201,1944,18.162083,0.2340145111083984
202,1945,17.638334,-0.28973388671875
203,1946,18.152666,0.2245979309082031
204,1947,19.113667,1.185598373413086
205,1948,17.587166,-0.3409023284912109
206,1949,17.2775,-0.6505680084228516
207,1950,17.769583,-0.1584854125976562
208,1951,18.395334,0.4672660827636719
209,1952,18.633,0.7049312591552734
210,1953,17.501333,-0.4267349243164062
211,1954,18.5435,0.6154327392578125
212,1955,19.172417,1.2443485260009766
213,1956,17.756166,-0.1719017028808593
214,1957,18.092333,0.1642646789550781
215,1958,18.452833,0.5247650146484375
216,1959,17.537167,-0.3909015655517578
217,1960,19.075083,1.147014617919922
218,1961,18.138334,0.21026611328125
219,1962,19.397583,1.4695148468017578
220,1963,18.66075,0.7326812744140625
221,1964,17.6235,-0.3045673370361328
222,1965,18.188667,0.260599136352539
223,1966,19.226,1.297931671142578
224,1967,17.196,-0.7320690155029297
225,1968,18.28375,0.355682373046875
226,1969,18.5045,0.5764312744140625
227,1970,18.789083,0.8610153198242188
228,1971,18.084417,0.1563491821289062
229,1972,17.369833,-0.5582351684570312
230,1973,18.066334,0.1382656097412109
231,1974,18.100584,0.172515869140625
232,1975,18.04075,0.1126823425292968
233,1976,17.668167,-0.2599010467529297
234,1977,18.398083,0.4700145721435547
235,1978,18.679916,0.7518482208251953
236,1979,19.139833,1.2117652893066406
237,1980,18.285,0.3569316864013672
238,1981,18.566584,0.6385154724121094
239,1982,17.483084,-0.4449844360351562
240,1983,17.707333,-0.2207355499267578
241,1984,18.1505,0.2224311828613281
242,1985,18.543167,0.6150989532470703
243,1986,18.606583,0.6785144805908203
244,1987,18.294666,0.3665981292724609
245,1988,18.082,0.1539325714111328
246,1989,18.60125,0.6731815338134766
247,1990,18.543167,0.6150989532470703
248,1991,18.4795,0.5514316558837891
249,1992,17.028584,-0.8994846343994141
250,1993,18.045666,0.1175975799560546
251,1994,19.051834,1.1237659454345703
252,1995,18.48225,0.5541820526123047
253,1996,18.903418,0.9753494262695312
254,1997,17.933666,0.0055980682373046
255,1998,19.415333,1.487264633178711
256,1999,19.281,1.3529319763183594
257,2000,18.773333,0.8452644348144531
258,2001,19.39625,1.468181610107422
259,2002,18.856583,0.9285144805908204
260,2003,18.839333,0.911264419555664
261,2004,18.77325,0.8451824188232422
262,2005,18.741917,0.8138484954833984
263,2006,18.744,0.8159313201904297
264,2007,19.0415,1.1134319305419922
265,2008,19.161167,1.2330989837646484
266,2009,19.070084,1.1420154571533203
267,2010,20.709333,2.7812652587890625
268,2011,18.607,0.6789321899414062
269,2012,19.357584,1.4295158386230469
270,2013,20.021126,2.093057632446289
