,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,21.125084,-0.8139610290527344
99,1842,21.4675,-0.4715442657470703
100,1843,21.560833,-0.3782119750976562
101,1844,21.191,-0.7480449676513672
102,1845,21.26825,-0.6707954406738281
103,1846,21.837166,-0.1018791198730468
104,1847,21.543583,-0.3954620361328125
105,1848,21.081833,-0.8572120666503906
106,1849,21.405333,-0.5337123870849609
107,1850,21.58875,-0.3502941131591797
108,1851,21.611666,-0.3273792266845703
109,1852,21.63325,-0.305795669555664
110,1853,21.976667,0.0376224517822265
111,1854,21.95125,0.0122051239013671
112,1855,21.5775,-0.3615455627441406
113,1856,21.1915,-0.7475452423095703
114,1857,21.617083,-0.3219623565673828
115,1858,21.391167,-0.5478782653808594
116,1859,21.597834,-0.3412113189697265
117,1860,21.470917,-0.4681282043457031
118,1861,21.377417,-0.5616283416748047
119,1862,20.6145,-1.324544906616211
120,1863,21.178667,-0.7603778839111328
121,1864,20.999584,-0.9394607543945312
122,1865,21.452364,-0.4866809844970703
123,1866,21.591667,-0.3473777770996094
124,1867,21.47,-0.4690456390380859
125,1868,21.942167,0.003122329711914
126,1869,21.948334,0.0092887878417968
127,1870,22.0335,0.0944557189941406
128,1871,22.016834,0.077789306640625
129,1872,22.0115,0.0724544525146484
130,1873,21.642,-0.2970447540283203
131,1874,21.807833,-0.1312122344970703
132,1875,21.520834,-0.4182109832763672
133,1876,21.28875,-0.6502952575683594
134,1877,21.754333,-0.1847114562988281
135,1878,21.817083,-0.1219615936279296
136,1879,21.894833,-0.0442123413085937
137,1880,21.25225,-0.6867942810058594
138,1881,21.529,-0.4100456237792969
139,1882,21.392916,-0.5461292266845703
140,1883,21.310167,-0.6288776397705078
141,1884,20.8725,-1.066545486450195
142,1885,21.035166,-0.903879165649414
143,1886,20.886333,-1.0527114868164062
144,1887,21.462418,-0.4766273498535156
145,1888,21.92825,-0.0107955932617187
146,1889,21.630667,-0.3083782196044922
147,1890,21.8465,-0.0925445556640625
148,1891,21.57775,-0.3612957000732422
149,1892,21.450916,-0.488128662109375
150,1893,21.158583,-0.7804622650146484
151,1894,21.678,-0.2610454559326172
152,1895,21.387,-0.5520458221435547
153,1896,21.76375,-0.1752948760986328
154,1897,22.029417,0.090372085571289
155,1898,21.860834,-0.0782108306884765
156,1899,21.393417,-0.5456275939941406
157,1900,21.742584,-0.1964607238769531
158,1901,21.3635,-0.5755443572998047
159,1902,21.959333,0.0202884674072265
160,1903,21.396166,-0.5428791046142578
161,1904,21.245417,-0.6936283111572266
162,1905,21.615833,-0.323211669921875
163,1906,21.854666,-0.0843791961669921
164,1907,21.642334,-0.2967109680175781
165,1908,21.71975,-0.2192955017089843
166,1909,22.037834,0.0987892150878906
167,1910,21.643667,-0.2953777313232422
168,1911,21.646,-0.2930450439453125
169,1912,21.727833,-0.211212158203125
170,1913,21.6915,-0.2475452423095703
171,1914,22.006166,0.0671215057373046
172,1915,22.3285,0.3894557952880859
173,1916,21.834917,-0.1041278839111328
174,1917,20.96125,-0.9777946472167968
175,1918,21.285334,-0.6537113189697266
176,1919,21.7565,-0.1825447082519531
177,1920,21.72625,-0.2127952575683593
178,1921,21.659834,-0.2792110443115234
179,1922,21.892666,-0.0463790893554687
180,1923,21.64225,-0.2967948913574219
181,1924,21.70325,-0.2357940673828125
182,1925,21.326084,-0.6129608154296875
183,1926,21.600416,-0.3386287689208984
184,1927,21.452917,-0.4861278533935547
185,1928,21.8805,-0.0585441589355468
186,1929,21.775667,-0.1633777618408203
187,1930,22.116417,0.1773719787597656
188,1931,22.150583,0.2115383148193359
189,1932,21.6155,-0.3235454559326172
190,1933,21.96875,0.0297050476074218
191,1934,21.571167,-0.3678779602050781
192,1935,22.034,0.0949554443359375
193,1936,21.761333,-0.1777114868164062
194,1937,22.36075,0.4217052459716797
195,1938,22.244167,0.3051223754882812
196,1939,21.679667,-0.259378433227539
197,1940,21.81925,-0.1197948455810546
198,1941,22.566416,0.6273708343505859
199,1942,22.375834,0.4367885589599609
200,1943,21.91475,-0.0242958068847656
201,1944,22.038334,0.0992889404296875
202,1945,21.687666,-0.2513790130615234
203,1946,22.594833,0.6557884216308594
204,1947,21.783333,-0.1557121276855468
205,1948,22.329584,0.3905391693115234
206,1949,22.364916,0.4258708953857422
207,1950,22.03775,0.0987052917480468
208,1951,22.156666,0.217620849609375
209,1952,22.579916,0.6408710479736328
210,1953,22.439917,0.5008716583251953
211,1954,22.614584,0.6755390167236328
212,1955,22.017834,0.0787887573242187
213,1956,22.158833,0.21978759765625
214,1957,22.0955,0.1564559936523437
215,1958,22.22875,0.2897052764892578
216,1959,22.545,0.6059551239013672
217,1960,22.497667,0.5586223602294922
218,1961,22.4695,0.5304546356201172
219,1962,22.000834,0.0617885589599609
220,1963,22.033333,0.0942878723144531
221,1964,22.398666,0.4596214294433594
222,1965,22.247417,0.3083724975585937
223,1966,22.7185,0.7794551849365234
224,1967,21.998167,0.059122085571289
225,1968,21.725,-0.2140445709228515
226,1969,22.091167,0.1521224975585937
227,1970,22.159834,0.2207889556884765
228,1971,21.947584,0.0085391998291015
229,1972,22.0895,0.1504554748535156
230,1973,22.485083,0.5460376739501953
231,1974,22.218082,0.2790374755859375
232,1975,22.371,0.431955337524414
233,1976,21.930584,-0.0084609985351562
234,1977,22.528,0.5889549255371094
235,1978,22.261417,0.3223724365234375
236,1979,22.3575,0.4184551239013672
237,1980,22.484333,0.5452880859375
238,1981,22.197666,0.2586212158203125
239,1982,22.19225,0.253204345703125
240,1983,22.477167,0.5381221771240234
241,1984,21.960583,0.0215377807617187
242,1985,22.100666,0.16162109375
243,1986,21.910583,-0.0284614562988281
244,1987,22.505667,0.5666217803955078
245,1988,22.321333,0.3822879791259765
246,1989,22.18425,0.2452049255371093
247,1990,22.47275,0.5337047576904297
248,1991,22.612917,0.6738719940185547
249,1992,22.124834,0.1857891082763672
250,1993,22.489334,0.5502891540527344
251,1994,22.825083,0.8860378265380859
252,1995,22.17025,0.2312049865722656
253,1996,22.347918,0.4088726043701172
254,1997,22.488667,0.54962158203125
255,1998,23.445583,1.5065383911132812
256,1999,22.6925,0.7534542083740234
257,2000,22.7045,0.7654552459716797
258,2001,22.796167,0.8571224212646484
259,2002,23.136,1.1969547271728516
260,2003,22.885666,0.9466209411621094
261,2004,22.638,0.6989555358886719
262,2005,22.529083,0.5900382995605469
263,2006,23.120916,1.1818714141845703
264,2007,23.054167,1.115121841430664
265,2008,22.714417,0.7753715515136719
266,2009,22.885166,0.9461212158203124
267,2010,22.745333,0.8062877655029297
268,2011,22.27175,0.3327045440673828
269,2012,22.558332,0.6192874908447266
270,2013,23.015,1.0759544372558594
