,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,3.63,-0.3904032707214355
91,1834,3.63225,-0.3881533145904541
92,1835,4.772333,0.751929759979248
93,1836,2.8244545,-1.195948839187622
94,1837,2.6676667,-1.3527367115020752
95,1838,2.8003333,-1.2200701236724854
96,1839,2.8388333,-1.181570053100586
97,1840,3.3643334,-0.6560699939727783
98,1841,2.9154167,-1.1049866676330566
99,1842,3.76425,-0.2561533451080322
100,1843,4.03875,0.0183467864990234
101,1844,3.1178334,-0.9025700092315674
102,1845,3.3563333,-0.6640701293945312
103,1846,4.05125,0.0308465957641601
104,1847,3.5023334,-0.5180699825286865
105,1848,3.0143332,-1.0060701370239258
106,1849,3.4791667,-0.5412366390228271
107,1850,3.3496666,-0.6707367897033691
108,1851,3.5295832,-0.4908201694488525
109,1852,3.5143332,-0.5060701370239258
110,1853,3.3154166,-0.7049868106842041
111,1854,3.7983334,-0.2220699787139892
112,1855,4.1111665,0.0907630920410156
113,1856,3.66775,-0.3526535034179687
114,1857,3.0880833,-0.9323201179504396
115,1858,3.7338333,-0.2865700721740722
116,1859,4.1074166,0.0870132446289062
117,1860,3.0931666,-0.927236795425415
118,1861,3.3541667,-0.6662366390228271
119,1862,2.8999166,-1.1204867362976074
120,1863,3.9395833,-0.080820083618164
121,1864,3.1808333,-0.8395700454711914
122,1865,3.42825,-0.5921533107757568
123,1866,3.4779167,-0.5424866676330566
124,1867,4.2668333,0.2464299201965332
125,1868,3.6091666,-0.4112367630004883
126,1869,3.6361666,-0.3842368125915527
127,1870,3.8418334,-0.1785700321197509
128,1871,3.6210833,-0.399320125579834
129,1872,3.93325,-0.0871534347534179
130,1873,4.1128335,0.0924301147460937
131,1874,4.03125,0.0108466148376464
132,1875,4.1306667,0.1102633476257324
133,1876,3.4361668,-0.5842366218566895
134,1877,3.57425,-0.4461534023284912
135,1878,3.7670834,-0.2533199787139892
136,1879,4.3749166,0.3545131683349609
137,1880,4.4058332,0.3854298591613769
138,1881,4.2440834,0.2236800193786621
139,1882,3.2378333,-0.7825701236724854
140,1883,3.4429166,-0.5774867534637451
141,1884,3.1384168,-0.8819866180419922
142,1885,3.0686667,-0.9517366886138916
143,1886,2.5039167,-1.516486644744873
144,1887,3.5644166,-0.455986738204956
145,1888,4.819083,0.7986798286437988
146,1889,3.6639166,-0.3564867973327636
147,1890,3.5353334,-0.485069990158081
148,1891,3.0079167,-1.012486696243286
149,1892,3.8920834,-0.1283199787139892
150,1893,3.7155833,-0.3048200607299804
151,1894,3.426,-0.5944032669067383
152,1895,3.9075,-0.112903356552124
153,1896,4.0776668,0.0572633743286132
154,1897,3.4278333,-0.5925700664520264
155,1898,2.8465,-1.173903465270996
156,1899,4.554,0.5335965156555176
157,1900,3.54675,-0.4736533164978027
158,1901,3.8060834,-0.2143199443817138
159,1902,4.132167,0.1117634773254394
160,1903,2.6698334,-1.3505699634552002
161,1904,3.7051666,-0.3152368068695068
162,1905,3.101,-0.919403314590454
163,1906,3.8061666,-0.2142367362976074
164,1907,3.0478334,-0.9725699424743652
165,1908,3.6266668,-0.3937366008758545
166,1909,4.2696667,0.2492632865905761
167,1910,3.5548334,-0.4655699729919433
168,1911,3.5580833,-0.4623200893402099
169,1912,4.143,0.1225967407226562
170,1913,3.8140833,-0.20632004737854
171,1914,4.48825,0.4678463935852051
172,1915,5.27525,1.2548465728759766
173,1916,3.684,-0.3364033699035644
174,1917,4.5160832,0.4956798553466797
175,1918,3.7055,-0.3149034976959228
176,1919,3.6345,-0.3859033584594726
177,1920,2.6340833,-1.3863201141357422
178,1921,3.5850832,-0.4353201389312744
179,1922,4.5135,0.4930968284606933
180,1923,3.4958334,-0.5245699882507324
181,1924,3.8104167,-0.2099866867065429
182,1925,4.233667,0.2132635116577148
183,1926,4.03525,0.0148468017578125
184,1927,3.9690833,-0.0513200759887695
185,1928,3.3816667,-0.6387367248535156
186,1929,3.1175833,-0.9028201103210448
187,1930,3.17675,-0.8436534404754639
188,1931,3.4410834,-0.579319953918457
189,1932,3.71825,-0.3021533489227295
190,1933,3.83875,-0.1816534996032714
191,1934,2.8588333,-1.1615700721740725
192,1935,3.0881667,-0.932236671447754
193,1936,4.083667,0.0632634162902832
194,1937,3.4311666,-0.5892367362976074
195,1938,4.19025,0.1698465347290039
196,1939,4.369583,0.349179744720459
197,1940,4.999,0.9785966873168944
198,1941,5.4375834,1.417180061340332
199,1942,4.485,0.4645967483520508
200,1943,3.81775,-0.2026534080505371
201,1944,4.4943333,0.4739298820495605
202,1945,3.5606666,-0.4597368240356445
203,1946,4.6418333,0.6214299201965332
204,1947,5.1595836,1.1391801834106443
205,1948,4.1176667,0.0972633361816406
206,1949,3.2736666,-0.7467367649078369
207,1950,3.20425,-0.8161532878875732
208,1951,3.848,-0.172403335571289
209,1952,4.266333,0.2459297180175781
210,1953,4.31175,0.2913465499877929
211,1954,3.4565,-0.5639033317565918
212,1955,4.736583,0.7161798477172852
213,1956,4.6415,0.6210966110229492
214,1957,3.0449166,-0.9754867553710938
215,1958,4.634,0.6135964393615723
216,1959,4.22075,0.2003464698791504
217,1960,3.9755,-0.04490327835083
218,1961,4.5815835,0.5611801147460938
219,1962,4.1794167,0.1590132713317871
220,1963,5.053167,1.0327634811401367
221,1964,3.3668334,-0.6535699367523193
222,1965,4.2353334,0.2149300575256347
223,1966,4.5113335,0.4909300804138183
224,1967,3.884,-0.1364033222198486
225,1968,4.148083,0.1276798248291015
226,1969,3.35625,-0.6641533374786377
227,1970,4.873,0.8525967597961426
228,1971,5.1471667,1.1267633438110352
229,1972,3.0141666,-1.0062367916107178
230,1973,4.6004167,0.5800132751464844
231,1974,3.6700833,-0.3503201007843017
232,1975,3.8556666,-0.1647367477416992
233,1976,3.7933333,-0.2270700931549072
234,1977,4.6665,0.6460967063903809
235,1978,4.38175,0.3613467216491699
236,1979,4.6060834,0.5856800079345703
237,1980,5.141,1.120596408843994
238,1981,5.0033336,0.9829301834106444
239,1982,4.1310835,0.1106801033020019
240,1983,4.91975,0.8993468284606934
241,1984,4.02675,0.0063467025756835
242,1985,5.025833,1.005429744720459
243,1986,4.55025,0.5298466682434082
244,1987,4.6246667,0.6042633056640625
245,1988,5.31625,1.295846462249756
246,1989,4.03625,0.0158467292785644
247,1990,5.199333,1.1789298057556152
248,1991,4.489333,0.4689297676086426
249,1992,4.4305,0.4100966453552246
250,1993,4.142667,0.1222634315490722
251,1994,4.72025,0.6998467445373535
252,1995,4.8086667,0.7882633209228516
253,1996,4.2753334,0.2549300193786621
254,1997,5.452417,1.4320135116577148
255,1998,5.1164165,1.096013069152832
256,1999,5.425,1.4045968055725098
257,2000,5.3925834,1.3721799850463867
258,2001,5.718167,1.697763442993164
259,2002,5.29125,1.2708468437194824
260,2003,4.8901668,0.8697633743286133
261,2004,5.8380833,1.8176798820495603
262,2005,5.1845,1.1640968322753906
263,2006,5.5313334,1.510930061340332
264,2007,5.441167,1.4207634925842283
265,2008,5.174667,1.1542634963989258
266,2009,5.0969167,1.0765132904052734
267,2010,5.564083,1.5436797142028809
268,2011,5.3515835,1.3311800956726074
269,2012,4.3375835,0.3171801567077636
270,2013,6.562625,2.542221546173096
