,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,21.495728,-0.8508090972900391
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,,
115,1858,,
116,1859,22.1003,-0.2462368011474609
117,1860,,
118,1861,,
119,1862,,
120,1863,,
121,1864,21.662916,-0.6836204528808594
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,,
131,1874,,
132,1875,21.588125,-0.7584114074707031
133,1876,21.614166,-0.7323703765869141
134,1877,22.223167,-0.1233692169189453
135,1878,22.318,-0.0285358428955078
136,1879,,
137,1880,21.775455,-0.5710811614990234
138,1881,,
139,1882,,
140,1883,,
141,1884,,
142,1885,22.078285,-0.2682514190673828
143,1886,,
144,1887,,
145,1888,,
146,1889,22.10275,-0.2437858581542968
147,1890,21.549417,-0.797119140625
148,1891,21.625668,-0.7208690643310547
149,1892,22.064083,-0.2824535369873047
150,1893,21.62075,-0.7257862091064453
151,1894,22.115,-0.231536865234375
152,1895,22.105167,-0.2413692474365234
153,1896,22.161833,-0.1847038269042968
154,1897,22.26975,-0.0767860412597656
155,1898,22.418583,0.0720462799072265
156,1899,21.971333,-0.3752040863037109
157,1900,22.399416,0.0528793334960937
158,1901,22.313833,-0.0327033996582031
159,1902,22.45675,0.1102142333984375
160,1903,22.34725,0.0007133483886718
161,1904,21.569334,-0.7772026062011719
162,1905,22.099833,-0.2467041015625
163,1906,21.820084,-0.5264530181884766
164,1907,21.733667,-0.6128692626953125
165,1908,22.096083,-0.2504539489746094
166,1909,21.845083,-0.5014533996582031
167,1910,21.698084,-0.6484527587890625
168,1911,21.94525,-0.4012870788574219
169,1912,22.339333,-0.0072040557861328
170,1913,22.1165,-0.2300357818603515
171,1914,22.399918,0.0533809661865234
172,1915,22.388584,0.0420475006103515
173,1916,21.965584,-0.3809528350830078
174,1917,21.825333,-0.5212039947509766
175,1918,21.896166,-0.4503707885742187
176,1919,22.211916,-0.1346206665039062
177,1920,22.007584,-0.3389530181884765
178,1921,22.095333,-0.2512035369873047
179,1922,22.068333,-0.2782039642333984
180,1923,21.991167,-0.3553695678710937
181,1924,22.28075,-0.0657863616943359
182,1925,22.086584,-0.2599525451660156
183,1926,22.338333,-0.0082035064697265
184,1927,22.077833,-0.2687034606933594
185,1928,22.257833,-0.0887031555175781
186,1929,22.20575,-0.140787124633789
187,1930,21.97375,-0.3727874755859375
188,1931,22.6035,0.2569637298583984
189,1932,22.233583,-0.1129531860351562
190,1933,22.250084,-0.0964527130126953
191,1934,22.264668,-0.0818691253662109
192,1935,22.232084,-0.1144523620605468
193,1936,22.116167,-0.2303695678710937
194,1937,22.072584,-0.2739524841308594
195,1938,22.29025,-0.0562858581542968
196,1939,22.28825,-0.0582866668701171
197,1940,22.391083,0.0445461273193359
198,1941,22.742916,0.3963794708251953
199,1942,22.238333,-0.1082038879394531
200,1943,22.228083,-0.1184539794921875
201,1944,22.31475,-0.0317859649658203
202,1945,22.1805,-0.1660366058349609
203,1946,22.389668,0.043130874633789
204,1947,22.102417,-0.244119644165039
205,1948,22.34675,0.000213623046875
206,1949,22.723833,0.3772964477539062
207,1950,22.073668,-0.2728691101074219
208,1951,22.228666,-0.1178703308105468
209,1952,22.427668,0.0811309814453125
210,1953,22.520584,0.1740474700927734
211,1954,22.386833,0.0402965545654296
212,1955,22.25525,-0.0912857055664062
213,1956,21.946917,-0.3996200561523437
214,1957,22.281834,-0.0647029876708984
215,1958,22.644167,0.2976303100585937
216,1959,22.54475,0.1982135772705078
217,1960,22.317667,-0.02886962890625
218,1961,22.521334,0.1747970581054687
219,1962,22.216583,-0.129953384399414
220,1963,22.031834,-0.3147029876708984
221,1964,22.075583,-0.2709541320800781
222,1965,22.1165,-0.2300357818603515
223,1966,22.46875,0.1222133636474609
224,1967,22.3525,0.0059642791748046
225,1968,21.966333,-0.3802032470703125
226,1969,22.684584,0.3380470275878906
227,1970,22.371084,0.0245475769042968
228,1971,21.967417,-0.379119873046875
229,1972,22.404083,0.0575466156005859
230,1973,22.443417,0.0968799591064453
231,1974,22.13675,-0.209787368774414
232,1975,22.27825,-0.0682868957519531
233,1976,22.431917,0.0853805541992187
234,1977,22.587334,0.2407970428466797
235,1978,22.360916,0.0143795013427734
236,1979,22.401917,0.0553798675537109
237,1980,22.652916,0.3063793182373047
238,1981,22.47825,0.1317138671875
239,1982,22.563583,0.2170467376708984
240,1983,23.116333,0.7697963714599609
241,1984,22.410667,0.0641307830810546
242,1985,22.3695,0.0229625701904296
243,1986,22.57775,0.2312126159667968
244,1987,23.094,0.7474632263183594
245,1988,22.922083,0.5755462646484375
246,1989,22.308,-0.0385360717773437
247,1990,22.714333,0.3677959442138672
248,1991,22.691166,0.3446292877197265
249,1992,22.803,0.4564628601074219
250,1993,22.69,0.3434638977050781
251,1994,22.862417,0.5158805847167969
252,1995,23.006416,0.6598796844482422
253,1996,22.756666,0.4101295471191406
254,1997,22.94875,0.6022129058837891
255,1998,23.058167,0.7116298675537109
256,1999,22.648167,0.3016300201416015
257,2000,22.791584,0.445047378540039
258,2001,22.7475,0.4009628295898437
259,2002,23.00175,0.6552143096923828
260,2003,23.281084,0.9345474243164062
261,2004,23.04625,0.6997127532958984
262,2005,23.723417,1.3768806457519531
263,2006,23.045416,0.6988792419433594
264,2007,22.9255,0.5789642333984375
265,2008,22.706417,0.3598804473876953
266,2009,23.15,0.8034629821777344
267,2010,23.267666,0.9211292266845704
268,2011,23.069416,0.7228794097900391
269,2012,23.068666,0.7221298217773438
270,2013,22.77275,0.4262142181396484
