,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,24.9333,-1.0548839569091797
74,1817,24.647833,-1.340351104736328
75,1818,25.314583,-0.6736011505126953
76,1819,24.706167,-1.2820167541503906
77,1820,25.31391,-0.6742744445800781
78,1821,25.632,-0.3561840057373047
79,1822,25.7585,-0.229684829711914
80,1823,25.637636,-0.3505477905273437
81,1824,,
82,1825,25.9375,-0.0506839752197265
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,25.654333,-0.3338508605957031
91,1834,25.637,-0.3511848449707031
92,1835,24.695417,-1.292766571044922
93,1836,25.159,-0.8291835784912109
94,1837,24.815,-1.1731834411621094
95,1838,26.195858,0.2076740264892578
96,1839,25.613667,-0.3745174407958984
97,1840,25.606667,-0.3815174102783203
98,1841,26.195417,0.2072334289550781
99,1842,25.681334,-0.3068504333496094
100,1843,25.725,-0.26318359375
101,1844,25.216167,-0.7720165252685547
102,1845,25.024084,-0.9640998840332032
103,1846,25.49275,-0.4954338073730469
104,1847,25.08475,-0.9034347534179688
105,1848,25.306583,-0.6816005706787109
106,1849,25.426,-0.5621833801269531
107,1850,25.547916,-0.4402675628662109
108,1851,25.6775,-0.3106842041015625
109,1852,25.504417,-0.4837665557861328
110,1853,25.789833,-0.1983509063720703
111,1854,25.785084,-0.2031002044677734
112,1855,25.645,-0.3431835174560547
113,1856,25.351418,-0.6367664337158203
114,1857,25.626,-0.3621845245361328
115,1858,25.722334,-0.2658500671386719
116,1859,25.706,-0.2821846008300781
117,1860,25.4975,-0.4906845092773437
118,1861,25.415167,-0.5730171203613281
119,1862,,
120,1863,25.447916,-0.5402679443359375
121,1864,25.319334,-0.6688499450683594
122,1865,25.772917,-0.2152671813964843
123,1866,25.82325,-0.1649341583251953
124,1867,25.718834,-0.2693500518798828
125,1868,25.761084,-0.2271003723144531
126,1869,25.285166,-0.7030181884765625
127,1870,25.345,-0.6431846618652344
128,1871,25.59575,-0.3924331665039062
129,1872,25.751333,-0.2368507385253906
130,1873,25.80525,-0.1829338073730468
131,1874,25.767584,-0.2206001281738281
132,1875,25.373417,-0.6147670745849609
133,1876,25.318583,-0.6696014404296875
134,1877,25.871,-0.1171836853027343
135,1878,26.372168,0.3839836120605469
136,1879,25.813084,-0.1751003265380859
137,1880,25.616167,-0.3720169067382812
138,1881,25.81425,-0.1739330291748047
139,1882,25.68525,-0.3029346466064453
140,1883,25.491417,-0.4967670440673828
141,1884,25.26925,-0.71893310546875
142,1885,25.71175,-0.2764339447021484
143,1886,25.654833,-0.3333511352539062
144,1887,25.43825,-0.5499343872070312
145,1888,25.92775,-0.060434341430664
146,1889,26.034834,0.0466499328613281
147,1890,25.676332,-0.3118515014648437
148,1891,25.934084,-0.0541000366210937
149,1892,25.37625,-0.6119346618652344
150,1893,25.190332,-0.7978515625
151,1894,25.557083,-0.431100845336914
152,1895,25.851084,-0.1371002197265625
153,1896,25.942333,-0.0458507537841796
154,1897,26.104918,0.1167335510253906
155,1898,25.740583,-0.2476005554199218
156,1899,25.609167,-0.3790168762207031
157,1900,26.10025,0.1120662689208984
158,1901,26.055666,0.0674819946289062
159,1902,26.118,0.1298160552978515
160,1903,25.881916,-0.1062679290771484
161,1904,25.416334,-0.5718498229980469
162,1905,25.981583,-0.006601333618164
163,1906,26.145666,0.1574821472167968
164,1907,25.568417,-0.4197673797607422
165,1908,25.698,-0.2901840209960937
166,1909,25.878,-0.1101837158203125
167,1910,25.797832,-0.1903514862060547
168,1911,26.00625,0.01806640625
169,1912,25.91725,-0.0709342956542968
170,1913,25.717417,-0.2707672119140625
171,1914,26.128584,0.1403999328613281
172,1915,26.14975,0.1615657806396484
173,1916,25.60875,-0.379434585571289
174,1917,25.51275,-0.475433349609375
175,1918,25.60675,-0.3814334869384765
176,1919,26.30325,0.3150653839111328
177,1920,26.053,0.0648155212402343
178,1921,25.7835,-0.2046833038330078
179,1922,26.02725,0.0390663146972656
180,1923,25.930916,-0.0572681427001953
181,1924,26.020416,0.0322322845458984
182,1925,25.7015,-0.2866840362548828
183,1926,26.237917,0.2497329711914062
184,1927,25.93675,-0.0514335632324218
185,1928,25.978834,-0.0093498229980468
186,1929,25.84675,-0.1414337158203125
187,1930,25.941416,-0.0467681884765625
188,1931,26.508667,0.5204830169677734
189,1932,25.931917,-0.0562667846679687
190,1933,26.034834,0.0466499328613281
191,1934,25.713917,-0.2742671966552734
192,1935,26.486917,0.4987335205078125
193,1936,25.986334,-0.0018501281738281
194,1937,26.410833,0.4226493835449219
195,1938,25.993416,0.0052318572998046
196,1939,25.975584,-0.0125999450683593
197,1940,26.263666,0.275482177734375
198,1941,26.8995,0.91131591796875
199,1942,26.383583,0.3953990936279297
200,1943,25.924667,-0.063516616821289
201,1944,26.44325,0.4550666809082031
202,1945,26.18325,0.1950664520263672
203,1946,26.435583,0.4473991394042969
204,1947,26.5245,0.53631591796875
205,1948,26.117416,0.1292324066162109
206,1949,26.249584,0.2614002227783203
207,1950,26.086916,0.0987319946289062
208,1951,26.2575,0.2693157196044922
209,1952,26.31725,0.3290653228759765
210,1953,26.406416,0.4182319641113281
211,1954,26.38525,0.3970661163330078
212,1955,25.868166,-0.1200180053710937
213,1956,25.934668,-0.0535163879394531
214,1957,26.51075,0.5225658416748047
215,1958,26.4875,0.4993152618408203
216,1959,26.603083,0.614898681640625
217,1960,26.591084,0.6028995513916016
218,1961,26.292334,0.3041496276855469
219,1962,26.136084,0.1478996276855468
220,1963,26.129,0.1408157348632812
221,1964,26.243584,0.2553997039794922
222,1965,26.338083,0.3498992919921875
223,1966,26.81625,0.8280658721923828
224,1967,26.09775,0.1095657348632812
225,1968,26.356083,0.367898941040039
226,1969,26.57375,0.5855655670166016
227,1970,26.402334,0.4141502380371094
228,1971,25.670084,-0.3180999755859375
229,1972,26.395666,0.4074821472167969
230,1973,26.439583,0.4513988494873047
231,1974,26.008417,0.020233154296875
232,1975,26.1565,0.1683158874511718
233,1976,25.955917,-0.032266616821289
234,1977,26.369,0.3808155059814453
235,1978,26.498667,0.5104827880859375
236,1979,26.828833,0.8406486511230469
237,1980,26.805666,0.8174819946289062
238,1981,26.2125,0.2243156433105468
239,1982,26.187,0.1988162994384765
240,1983,26.465,0.476816177368164
241,1984,26.130333,0.1421489715576172
242,1985,26.2655,0.2773151397705078
243,1986,26.148666,0.1604824066162109
244,1987,26.651167,0.6629829406738281
245,1988,26.39975,0.4115657806396484
246,1989,26.320917,0.332733154296875
247,1990,26.590666,0.6024818420410156
248,1991,26.653334,0.6651496887207031
249,1992,26.291166,0.3029823303222656
250,1993,26.297083,0.30889892578125
251,1994,26.477,0.4888153076171875
252,1995,26.529917,0.5417327880859375
253,1996,26.1855,0.1973152160644531
254,1997,26.635166,0.6469821929931641
255,1998,27.379667,1.3914833068847656
256,1999,26.22225,0.2340660095214843
257,2000,26.302166,0.3139820098876953
258,2001,26.679832,0.6916484832763672
259,2002,26.786083,0.7978992462158203
260,2003,26.649,0.6608161926269531
261,2004,26.5,0.5118160247802734
262,2005,26.833166,0.8449821472167969
263,2006,26.744833,0.7566490173339844
264,2007,26.636917,0.6487331390380859
265,2008,26.222,0.2338161468505859
266,2009,26.648083,0.6598987579345703
267,2010,27.389668,1.4014835357666016
268,2011,26.251667,0.2634830474853515
269,2012,27.289,1.3008155822753906
270,2013,27.864876,1.876691818237305
