,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,,
115,1858,,
116,1859,,
117,1860,,
118,1861,,
119,1862,,
120,1863,,
121,1864,,
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,,
131,1874,,
132,1875,,
133,1876,,
134,1877,,
135,1878,26.2943,0.3267173767089844
136,1879,25.421583,-0.5459995269775391
137,1880,25.606417,-0.3611660003662109
138,1881,25.826666,-0.1409168243408203
139,1882,25.761833,-0.20574951171875
140,1883,25.956333,-0.0112495422363281
141,1884,25.24175,-0.7258319854736328
142,1885,25.484583,-0.4829998016357422
143,1886,25.655167,-0.3124160766601562
144,1887,25.1845,-0.7830829620361328
145,1888,25.629,-0.3385829925537109
146,1889,26.183916,0.2163333892822265
147,1890,25.56125,-0.4063320159912109
148,1891,25.209333,-0.7582492828369141
149,1892,25.735416,-0.2321662902832031
150,1893,25.68825,-0.2793331146240234
151,1894,25.0515,-0.9160823822021484
152,1895,25.345333,-0.6222496032714844
153,1896,24.973833,-0.9937496185302734
154,1897,26.161,0.1934165954589843
155,1898,25.427584,-0.5399990081787109
156,1899,25.167084,-0.8004989624023438
157,1900,26.282,0.3144168853759765
158,1901,25.691668,-0.2759151458740234
159,1902,25.5445,-0.4230823516845703
160,1903,25.6665,-0.3010826110839844
161,1904,25.148666,-0.8189163208007812
162,1905,26.1065,0.1389179229736328
163,1906,26.462584,0.4950008392333984
164,1907,25.448668,-0.5189151763916016
165,1908,25.520416,-0.4471664428710937
166,1909,25.7135,-0.2540836334228515
167,1910,25.805334,-0.1622486114501953
168,1911,25.577917,-0.3896656036376953
169,1912,25.5665,-0.4010829925537109
170,1913,25.193832,-0.7737503051757812
171,1914,25.266,-0.7015819549560547
172,1915,25.9995,0.0319175720214843
173,1916,25.764084,-0.2034988403320312
174,1917,25.631,-0.3365821838378906
175,1918,25.226084,-0.7414989471435547
176,1919,25.388916,-0.5786666870117188
177,1920,25.853083,-0.1145000457763671
178,1921,25.622833,-0.3447494506835937
179,1922,25.354666,-0.6129169464111328
180,1923,25.3195,-0.6480827331542969
181,1924,25.961666,-0.0059165954589843
182,1925,25.29325,-0.6743335723876953
183,1926,25.703833,-0.2637500762939453
184,1927,25.990583,0.0230007171630859
185,1928,26.041334,0.0737514495849609
186,1929,25.66025,-0.3073329925537109
187,1930,25.785084,-0.1824989318847656
188,1931,25.92175,-0.0458335876464843
189,1932,25.476166,-0.4914169311523437
190,1933,25.676,-0.2915821075439453
191,1934,25.933332,-0.034250259399414
192,1935,25.73775,-0.2298336029052734
193,1936,26.15525,0.1876678466796875
194,1937,25.974916,0.007333755493164
195,1938,26.141666,0.1740837097167968
196,1939,25.643333,-0.324249267578125
197,1940,25.282667,-0.6849155426025391
198,1941,25.808666,-0.1589164733886718
199,1942,26.8765,0.908916473388672
200,1943,25.847084,-0.1204986572265625
201,1944,25.706333,-0.2612495422363281
202,1945,25.792833,-0.1747493743896484
203,1946,25.7585,-0.2090835571289062
204,1947,26.162,0.1944179534912109
205,1948,25.86075,-0.1068325042724609
206,1949,25.461834,-0.5057487487792969
207,1950,25.426666,-0.5409164428710938
208,1951,26.057,0.08941650390625
209,1952,26.3205,0.3529167175292969
210,1953,26.362917,0.395334243774414
211,1954,26.26,0.2924175262451172
212,1955,25.990917,0.0233345031738281
213,1956,26.02925,0.0616664886474609
214,1957,26.05425,0.0866680145263671
215,1958,26.602417,0.6348342895507812
216,1959,26.251417,0.2838344573974609
217,1960,25.986166,0.0185832977294921
218,1961,25.878834,-0.0887489318847656
219,1962,26.074583,0.1070003509521484
220,1963,25.581917,-0.3856658935546875
221,1964,26.125668,0.1580848693847656
222,1965,25.722084,-0.2454986572265625
223,1966,26.041082,0.0734996795654296
224,1967,25.84925,-0.1183319091796875
225,1968,26.267334,0.2997512817382812
226,1969,26.249584,0.2820014953613281
227,1970,26.465084,0.4975013732910156
228,1971,26.218584,0.2510013580322265
229,1972,26.147833,0.1802501678466797
230,1973,26.910166,0.9425830841064452
231,1974,26.366333,0.3987503051757812
232,1975,26.299084,0.3315010070800781
233,1976,26.000084,0.032501220703125
234,1977,25.88075,-0.086832046508789
235,1978,26.606916,0.6393337249755859
236,1979,26.325167,0.357583999633789
237,1980,26.300083,0.3325004577636719
238,1981,26.467083,0.4995002746582031
239,1982,25.711666,-0.2559165954589844
240,1983,26.526833,0.5592498779296875
241,1984,26.250668,0.2830848693847656
242,1985,26.464666,0.4970836639404297
243,1986,26.480667,0.5130844116210938
244,1987,26.62225,0.6546669006347656
245,1988,26.814,0.8464164733886719
246,1989,26.464582,0.4969997406005859
247,1990,26.461334,0.4937515258789062
248,1991,26.210583,0.2430000305175781
249,1992,26.648834,0.6812515258789062
250,1993,26.309917,0.3423347473144531
251,1994,25.976583,0.0090007781982421
252,1995,26.442583,0.4750003814697265
253,1996,26.4805,0.5129165649414062
254,1997,26.162834,0.19525146484375
255,1998,26.97075,1.0031681060791016
256,1999,26.105,0.1374168395996093
257,2000,26.087,0.1194171905517578
258,2001,26.393417,0.4258346557617187
259,2002,26.617584,0.6500015258789062
260,2003,26.605333,0.6377506256103516
261,2004,26.469,0.5014171600341797
262,2005,26.860167,0.8925838470458984
263,2006,26.20275,0.2351665496826172
264,2007,26.477917,0.5103340148925781
265,2008,26.306917,0.339334487915039
266,2009,26.642584,0.6750011444091797
267,2010,26.79225,0.8246669769287109
268,2011,26.020334,0.0527515411376953
269,2012,26.206083,0.2385005950927734
270,2013,26.3125,0.3449172973632812
