,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,26.285583,-0.5795192718505859
107,1850,26.19325,-0.6718521118164062
108,1851,26.402082,-0.4630203247070312
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,25.4845,-1.3806018829345703
115,1858,26.2984,-0.5667018890380859
116,1859,26.2244,-0.6407032012939453
117,1860,26.190363,-0.6747398376464844
118,1861,26.3567,-0.5084018707275391
119,1862,,
120,1863,,
121,1864,,
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,26.409124,-0.4559783935546875
131,1874,26.435183,-0.4299201965332031
132,1875,26.0355,-0.8296031951904297
133,1876,25.971582,-0.8935203552246094
134,1877,26.610167,-0.2549362182617187
135,1878,26.643167,-0.2219352722167968
136,1879,26.095167,-0.7699356079101562
137,1880,26.496084,-0.3690185546875
138,1881,26.78625,-0.0788536071777343
139,1882,26.377916,-0.4871864318847656
140,1883,26.807417,-0.0576858520507812
141,1884,26.94675,0.0816478729248046
142,1885,,
143,1886,26.130917,-0.7341861724853516
144,1887,25.547333,-1.317770004272461
145,1888,25.69025,-1.1748523712158203
146,1889,25.820833,-1.044269561767578
147,1890,25.292166,-1.57293701171875
148,1891,25.676584,-1.188518524169922
149,1892,25.816084,-1.0490188598632812
150,1893,26.038416,-0.8266868591308594
151,1894,25.801332,-1.0637702941894531
152,1895,26.25475,-0.6103534698486328
153,1896,26.104166,-0.7609367370605469
154,1897,26.57125,-0.2938518524169922
155,1898,26.086,-0.7791023254394531
156,1899,26.7345,-0.1306018829345703
157,1900,26.764334,-0.10076904296875
158,1901,26.620167,-0.2449359893798828
159,1902,26.409834,-0.4552688598632812
160,1903,25.955084,-0.9100189208984376
161,1904,25.81325,-1.0518531799316406
162,1905,26.346167,-0.5189361572265625
163,1906,26.619833,-0.245269775390625
164,1907,26.216667,-0.6484355926513672
165,1908,26.496834,-0.3682689666748047
166,1909,26.281084,-0.5840187072753906
167,1910,26.350584,-0.5145187377929688
168,1911,25.992,-0.8731021881103516
169,1912,26.589083,-0.2760200500488281
170,1913,27.08575,0.2206478118896484
171,1914,27.18375,0.3186473846435547
172,1915,27.077333,0.2122306823730468
173,1916,26.751167,-0.1139354705810546
174,1917,27.300917,0.4358139038085937
175,1918,26.778833,-0.0862693786621093
176,1919,26.990917,0.1258144378662109
177,1920,26.938334,0.0732307434082031
178,1921,27.117332,0.2522296905517578
179,1922,27.037916,0.1728134155273437
180,1923,26.967417,0.1023139953613281
181,1924,27.114,0.2488975524902343
182,1925,26.86725,0.0021476745605468
183,1926,27.352167,0.4870643615722656
184,1927,26.932167,0.0670642852783203
185,1928,26.91,0.0448970794677734
186,1929,26.814667,-0.0504360198974609
187,1930,27.269917,0.4048137664794922
188,1931,27.299,0.4338970184326172
189,1932,26.83525,-0.0298519134521484
190,1933,27.16175,0.2966480255126953
191,1934,27.08,0.2148971557617187
192,1935,27.033833,0.1687297821044922
193,1936,26.923584,0.058481216430664
194,1937,27.322083,0.456979751586914
195,1938,27.268,0.4028968811035156
196,1939,26.692417,-0.1726856231689453
197,1940,27.287666,0.4225635528564453
198,1941,27.642,0.7768974304199219
199,1942,27.305334,0.4402313232421875
200,1943,26.892834,0.0277309417724609
201,1944,27.335,0.4698963165283203
202,1945,27.342417,0.4773139953613281
203,1946,27.088,0.2228965759277343
204,1947,27.34175,0.4766464233398437
205,1948,26.89875,0.0336475372314453
206,1949,27.3145,0.4493980407714844
207,1950,26.941084,0.0759811401367187
208,1951,27.19725,0.3321475982666015
209,1952,27.005667,0.14056396484375
210,1953,26.902584,0.0374813079833984
211,1954,26.595667,-0.2694358825683594
212,1955,26.55625,-0.3088531494140625
213,1956,26.595917,-0.2691860198974609
214,1957,26.816084,-0.0490188598632812
215,1958,27.0215,0.1563968658447265
216,1959,26.999,0.1338977813720703
217,1960,26.9455,0.0803966522216796
218,1961,26.783417,-0.0816860198974609
219,1962,26.770834,-0.094268798828125
220,1963,27.03275,0.1676464080810547
221,1964,26.722084,-0.1430187225341797
222,1965,26.796833,-0.0682697296142578
223,1966,27.036083,0.1709804534912109
224,1967,26.703667,-0.1614360809326172
225,1968,26.848417,-0.0166854858398437
226,1969,27.234583,0.3694801330566406
227,1970,27.264166,0.3990631103515625
228,1971,26.770834,-0.094268798828125
229,1972,27.056334,0.1912307739257812
230,1973,27.561083,0.6959800720214844
231,1974,26.860584,-0.0045185089111328
232,1975,26.71475,-0.1503524780273437
233,1976,26.570667,-0.2944355010986328
234,1977,27.194666,0.3295631408691406
235,1978,26.948917,0.0838146209716796
236,1979,27.278334,0.4132308959960937
237,1980,27.265583,0.4004802703857422
238,1981,27.228167,0.3630638122558594
239,1982,26.987167,0.1220645904541015
240,1983,27.472,0.6068973541259766
241,1984,27.294416,0.4293136596679687
242,1985,27.172916,0.3078136444091797
243,1986,27.032333,0.1672306060791015
244,1987,27.916834,1.0517311096191406
245,1988,27.353416,0.4883136749267578
246,1989,27.0725,0.2073974609375
247,1990,27.516834,0.6517314910888672
248,1991,27.056833,0.1917304992675781
249,1992,26.9755,0.1103973388671875
250,1993,27.23675,0.3716468811035156
251,1994,27.081667,0.2165641784667968
252,1995,27.311333,0.4462299346923828
253,1996,27.305834,0.4407310485839844
254,1997,27.225416,0.3603134155273437
255,1998,27.805584,0.940481185913086
256,1999,27.280333,0.4152297973632812
257,2000,27.442417,0.5773143768310547
258,2001,27.4105,0.5453968048095703
259,2002,27.49725,0.6321468353271484
260,2003,27.66675,0.8016471862792969
261,2004,27.534916,0.6698131561279297
262,2005,27.766666,0.9015636444091796
263,2006,27.7685,0.9033966064453124
264,2007,27.863832,0.9987297058105468
265,2008,27.464916,0.5998134613037109
266,2009,27.710333,0.8452301025390625
267,2010,28.059416,1.1943130493164062
268,2011,27.772,0.9068965911865234
269,2012,27.419916,0.5548133850097656
270,2013,27.718,0.8528976440429688
