,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,,
115,1858,,
116,1859,,
117,1860,,
118,1861,,
119,1862,,
120,1863,,
121,1864,,
122,1865,,
123,1866,,
124,1867,22.941334,-0.2803916931152344
125,1868,21.383,-1.838726043701172
126,1869,23.1199,-0.1018257141113281
127,1870,23.059,-0.1627254486083984
128,1871,22.909416,-0.3123092651367187
129,1872,23.2946,0.0728740692138671
130,1873,22.71789,-0.5038356781005859
131,1874,21.599857,-1.621868133544922
132,1875,21.7175,-1.5042247772216797
133,1876,23.369572,0.1478462219238281
134,1877,,
135,1878,,
136,1879,,
137,1880,,
138,1881,,
139,1882,,
140,1883,22.661167,-0.5605583190917969
141,1884,22.18725,-1.034475326538086
142,1885,22.255545,-0.9661808013916016
143,1886,22.49475,-0.7269763946533203
144,1887,22.616917,-0.6048088073730469
145,1888,,
146,1889,,
147,1890,22.597166,-0.6245594024658203
148,1891,22.461082,-0.7606430053710938
149,1892,22.647417,-0.5743083953857422
150,1893,22.846916,-0.3748092651367187
151,1894,22.873167,-0.3485584259033203
152,1895,22.706,-0.5157260894775391
153,1896,22.881584,-0.3401412963867187
154,1897,22.963333,-0.258392333984375
155,1898,23.035833,-0.185892105102539
156,1899,22.918333,-0.3033924102783203
157,1900,22.85875,-0.36297607421875
158,1901,22.687084,-0.5346412658691406
159,1902,22.493668,-0.728057861328125
160,1903,22.946,-0.275726318359375
161,1904,22.535667,-0.6860580444335938
162,1905,22.682667,-0.5390586853027344
163,1906,23.05275,-0.168975830078125
164,1907,22.666166,-0.5555591583251953
165,1908,22.733334,-0.4883918762207031
166,1909,22.839083,-0.3826427459716797
167,1910,23.096083,-0.1256427764892578
168,1911,22.774666,-0.4470596313476562
169,1912,22.778334,-0.4433917999267578
170,1913,22.616333,-0.6053924560546875
171,1914,22.760084,-0.4616413116455078
172,1915,22.898417,-0.3233089447021484
173,1916,23.05775,-0.1639747619628906
174,1917,22.780666,-0.4410591125488281
175,1918,22.817583,-0.4041423797607422
176,1919,22.7565,-0.4652252197265625
177,1920,22.78,-0.4417247772216797
178,1921,23.0275,-0.1942253112792968
179,1922,22.979918,-0.2418079376220703
180,1923,22.4055,-0.8162250518798828
181,1924,23.035833,-0.185892105102539
182,1925,22.703083,-0.5186424255371094
183,1926,22.833084,-0.388641357421875
184,1927,23.765,0.54327392578125
185,1928,23.387917,0.1661911010742187
186,1929,23.20375,-0.017974853515625
187,1930,22.685583,-0.5361423492431641
188,1931,23.193832,-0.02789306640625
189,1932,23.555334,0.3336086273193359
190,1933,23.435333,0.2136077880859375
191,1934,23.298,0.0762748718261718
192,1935,23.668083,0.4463577270507812
193,1936,23.374,0.1522750854492187
194,1937,23.5565,0.3347740173339844
195,1938,23.83375,0.6120243072509766
196,1939,22.855333,-0.3663921356201172
197,1940,22.904667,-0.3170585632324219
198,1941,23.308083,0.0863571166992187
199,1942,23.295918,0.0741920471191406
200,1943,23.409082,0.187356948852539
201,1944,23.067167,-0.1545581817626953
202,1945,23.190666,-0.0310592651367187
203,1946,23.464,0.2422752380371093
204,1947,23.554583,0.3328571319580078
205,1948,23.335167,0.1134414672851562
206,1949,23.455584,0.2338581085205078
207,1950,23.478416,0.2566909790039062
208,1951,22.87675,-0.3449745178222656
209,1952,23.73725,0.5155239105224609
210,1953,23.388834,0.1671085357666015
211,1954,23.5355,0.3137741088867187
212,1955,23.656918,0.4351921081542969
213,1956,23.53025,0.3085250854492187
214,1957,23.099833,-0.1218929290771484
215,1958,23.110834,-0.1108913421630859
216,1959,23.423416,0.201690673828125
217,1960,23.292583,0.0708580017089843
218,1961,23.5175,0.2957744598388672
219,1962,23.200834,-0.0208911895751953
220,1963,23.11275,-0.1089763641357421
221,1964,23.463333,0.241607666015625
222,1965,22.714083,-0.5076427459716797
223,1966,22.9835,-0.2382259368896484
224,1967,23.333,0.1112747192382812
225,1968,23.411917,0.1901912689208984
226,1969,22.956333,-0.2653923034667969
227,1970,23.67575,0.4540252685546875
228,1971,23.855,0.6332740783691406
229,1972,23.170084,-0.0516414642333984
230,1973,24.079916,0.8581905364990234
231,1974,24.006584,0.7848587036132812
232,1975,23.981167,0.7594413757324219
233,1976,23.376083,0.15435791015625
234,1977,23.19925,-0.0224761962890625
235,1978,23.20075,-0.020975112915039
236,1979,23.496166,0.2744407653808594
237,1980,23.514,0.2922744750976562
238,1981,23.69225,0.4705238342285156
239,1982,23.289833,0.0681076049804687
240,1983,23.509167,0.2874412536621094
241,1984,23.76725,0.5455245971679688
242,1985,23.643417,0.42169189453125
243,1986,23.183167,-0.0385589599609375
244,1987,23.231083,0.0093574523925781
245,1988,24.242584,1.0208587646484375
246,1989,23.753666,0.5319404602050781
247,1990,23.63975,0.4180240631103515
248,1991,23.587917,0.3661918640136719
249,1992,23.576166,0.354440689086914
250,1993,23.192333,-0.0293922424316406
251,1994,23.22775,0.0060253143310546
252,1995,23.890083,0.6683578491210938
253,1996,23.993668,0.771942138671875
254,1997,23.386417,0.1646919250488281
255,1998,24.133833,0.9121074676513672
256,1999,23.8695,0.6477737426757812
257,2000,24.028667,0.8069419860839844
258,2001,23.995083,0.7733573913574219
259,2002,23.893167,0.6714420318603516
260,2003,23.9195,0.6977748870849609
261,2004,23.891582,0.6698570251464844
262,2005,23.792084,0.5703582763671875
263,2006,23.816,0.5942745208740234
264,2007,24.178583,0.956857681274414
265,2008,23.848583,0.6268577575683594
266,2009,23.136917,-0.084808349609375
267,2010,24.114416,0.8926906585693359
268,2011,24.236666,1.0149402618408203
269,2012,23.841667,0.6199417114257812
270,2013,24.285875,1.0641498565673828
