,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,25.833,-0.2860794067382812
82,1825,26.252167,0.133087158203125
83,1826,25.8709,-0.2481803894042968
84,1827,26.062546,-0.0565338134765625
85,1828,25.870363,-0.2487163543701172
86,1829,25.7884,-0.3306789398193359
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,25.64,-0.4790802001953125
103,1846,26.134167,0.0150871276855468
104,1847,25.547583,-0.5714969635009766
105,1848,25.582582,-0.5364971160888672
106,1849,25.568167,-0.5509128570556641
107,1850,25.67775,-0.4413299560546875
108,1851,25.66175,-0.4573287963867187
109,1852,25.617332,-0.5017471313476562
110,1853,25.7775,-0.3415794372558594
111,1854,25.6435,-0.4755802154541015
112,1855,25.811666,-0.307413101196289
113,1856,25.784916,-0.3341636657714844
114,1857,25.269833,-0.8492469787597656
115,1858,25.43675,-0.6823291778564453
116,1859,25.43,-0.6890792846679688
117,1860,25.632833,-0.486246109008789
118,1861,25.639,-0.4800796508789062
119,1862,25.486416,-0.6326637268066406
120,1863,25.39675,-0.7223300933837891
121,1864,25.631666,-0.4874134063720703
122,1865,25.724916,-0.3941631317138672
123,1866,25.78425,-0.3348293304443359
124,1867,25.903166,-0.2159137725830078
125,1868,25.830917,-0.2881622314453125
126,1869,26.145166,0.0260868072509765
127,1870,25.5845,-0.5345802307128906
128,1871,25.884417,-0.2346630096435547
129,1872,25.949167,-0.1699123382568359
130,1873,25.855083,-0.2639961242675781
131,1874,25.7365,-0.3825798034667969
132,1875,25.547167,-0.5719127655029297
133,1876,25.830584,-0.2884960174560547
134,1877,26.457666,0.3385868072509765
135,1878,26.629084,0.5100040435791016
136,1879,25.733917,-0.385162353515625
137,1880,25.192917,-0.9261627197265624
138,1881,25.830084,-0.2889957427978515
139,1882,25.488832,-0.6302471160888672
140,1883,25.470667,-0.6484127044677734
141,1884,25.353,-0.7660789489746094
142,1885,25.769333,-0.3497467041015625
143,1886,25.348333,-0.7707462310791016
144,1887,25.411667,-0.7074127197265625
145,1888,25.953167,-0.1659126281738281
146,1889,26.324,0.2049198150634765
147,1890,25.079082,-1.039997100830078
148,1891,26.052584,-0.0664958953857421
149,1892,25.633083,-0.4859962463378906
150,1893,25.5535,-0.5655803680419922
151,1894,25.43025,-0.6888294219970703
152,1895,25.721416,-0.3976631164550781
153,1896,25.826166,-0.2929134368896484
154,1897,25.910166,-0.2089138031005859
155,1898,25.580416,-0.5386638641357422
156,1899,26.012417,-0.1066627502441406
157,1900,26.0475,-0.0715789794921875
158,1901,26.070333,-0.048746109008789
159,1902,26.1075,-0.0115795135498046
160,1903,26.110584,-0.0084953308105468
161,1904,25.47425,-0.6448287963867188
162,1905,25.856667,-0.2624130249023437
163,1906,25.750084,-0.3689956665039062
164,1907,25.619333,-0.4997463226318359
165,1908,25.585833,-0.5332469940185547
166,1909,25.62,-0.4990787506103515
167,1910,25.651833,-0.4672470092773437
168,1911,25.772917,-0.3461627960205078
169,1912,25.869917,-0.2491626739501953
170,1913,25.593584,-0.5254955291748047
171,1914,25.968584,-0.1504955291748047
172,1915,26.10125,-0.0178298950195312
173,1916,25.69125,-0.4278297424316406
174,1917,25.376583,-0.7424964904785156
175,1918,25.676,-0.4430789947509765
176,1919,26.085,-0.0340805053710937
177,1920,25.80025,-0.3188304901123047
178,1921,25.758833,-0.3602466583251953
179,1922,25.647667,-0.4714126586914062
180,1923,25.614334,-0.5047454833984375
181,1924,26.064667,-0.054412841796875
182,1925,25.769417,-0.3496627807617187
183,1926,26.186333,0.0672531127929687
184,1927,26.29225,0.1731700897216797
185,1928,26.171,0.051919937133789
186,1929,25.904,-0.2150802612304687
187,1930,26.131166,0.0120868682861328
188,1931,26.463917,0.3448371887207031
189,1932,26.259666,0.1405868530273437
190,1933,25.900167,-0.218912124633789
191,1934,25.926416,-0.1926631927490234
192,1935,25.897833,-0.2212467193603515
193,1936,26.056833,-0.0622463226318359
194,1937,26.231333,0.112253189086914
195,1938,26.070583,-0.0484962463378906
196,1939,26.00375,-0.1153297424316406
197,1940,26.66975,0.5506706237792969
198,1941,26.705917,0.5868377685546875
199,1942,26.651167,0.5320873260498047
200,1943,26.2035,0.084421157836914
201,1944,26.24375,0.1246700286865234
202,1945,25.990168,-0.1289119720458984
203,1946,26.07975,-0.0393295288085937
204,1947,26.178583,0.0595035552978515
205,1948,26.13875,0.0196704864501953
206,1949,26.099916,-0.0191631317138671
207,1950,25.967916,-0.151163101196289
208,1951,26.259832,0.1407527923583984
209,1952,26.5545,0.4354209899902344
210,1953,26.404083,0.285003662109375
211,1954,26.08025,-0.0388298034667968
212,1955,26.217833,0.0987529754638671
213,1956,26.132166,0.0130863189697265
214,1957,26.353083,0.2340030670166015
215,1958,26.879333,0.76025390625
216,1959,26.578667,0.4595870971679687
217,1960,26.556417,0.4373378753662109
218,1961,26.587584,0.4685039520263672
219,1962,26.52175,0.4026699066162109
220,1963,26.587833,0.4687538146972656
221,1964,26.251917,0.1328372955322265
222,1965,26.322584,0.2035045623779297
223,1966,26.512,0.3929195404052734
224,1967,26.12425,0.0051708221435546
225,1968,26.084084,-0.0349960327148437
226,1969,26.83375,0.7146701812744141
227,1970,26.459667,0.3405876159667969
228,1971,25.9655,-0.1535797119140625
229,1972,26.278334,0.1592540740966797
230,1973,26.434334,0.3152542114257812
231,1974,26.0775,-0.0415802001953125
232,1975,26.06375,-0.0553302764892578
233,1976,26.108917,-0.010162353515625
234,1977,26.567333,0.4482536315917969
235,1978,26.645416,0.526336669921875
236,1979,26.678,0.5589199066162109
237,1980,26.678833,0.55975341796875
238,1981,26.789,0.6699199676513672
239,1982,26.469,0.3499202728271484
240,1983,26.811666,0.6925868988037109
241,1984,26.25625,0.1371707916259765
242,1985,26.087418,-0.0316619873046875
243,1986,26.255417,0.1363372802734375
244,1987,27.052,0.9329204559326172
245,1988,26.7325,0.6134204864501953
246,1989,26.32875,0.2096710205078125
247,1990,26.6615,0.5424213409423828
248,1991,26.529,0.4099197387695312
249,1992,26.498667,0.379587173461914
250,1993,26.737083,0.6180038452148438
251,1994,26.6075,0.4884204864501953
252,1995,27.007917,0.8888378143310547
253,1996,26.573416,0.4543361663818359
254,1997,26.68125,0.5621700286865234
255,1998,27.326416,1.20733642578125
256,1999,26.867666,0.7485866546630859
257,2000,26.627083,0.5080032348632812
258,2001,26.9485,0.8294200897216797
259,2002,26.85425,0.7351703643798828
260,2003,27.126083,1.0070037841796875
261,2004,26.800917,0.6818370819091797
262,2005,27.20325,1.0841712951660156
263,2006,27.069834,0.950754165649414
264,2007,26.898,0.7789211273193359
265,2008,26.826666,0.7075862884521484
266,2009,27.04025,0.9211711883544922
267,2010,27.546333,1.4272537231445312
268,2011,27.017666,0.8985862731933594
269,2012,27.02775,0.9086704254150392
270,2013,27.086624,0.9675445556640624
