,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,12.6885,1.0528221130371094
35,1778,11.93125,0.2955713272094726
36,1779,12.031333,0.3956546783447265
37,1780,12.248333,0.6126546859741211
38,1781,11.669084,0.0334053039550781
39,1782,11.187417,-0.4482612609863281
40,1783,11.215917,-0.4197616577148437
41,1784,11.52575,-0.1099281311035156
42,1785,10.7665,-0.8691778182983398
43,1786,11.354834,-0.2808446884155273
44,1787,11.660417,0.0247383117675781
45,1788,11.733,0.0973215103149414
46,1789,11.809334,0.1736555099487304
47,1790,11.578834,-0.0568447113037109
48,1791,12.045917,0.4102382659912109
49,1792,11.484167,-0.1515111923217773
50,1793,11.390667,-0.2450113296508789
51,1794,11.84875,0.2130718231201172
52,1795,11.807083,0.1714048385620117
53,1796,11.667583,0.031905174255371
54,1797,12.1240835,0.4884052276611328
55,1798,12.022917,0.3872385025024414
56,1799,11.618333,-0.0173454284667968
57,1800,11.8005,0.1648216247558593
58,1801,12.339833,0.7041549682617188
59,1802,12.460167,0.824488639831543
60,1803,11.6135,-0.0221786499023437
61,1804,11.904583,0.2689046859741211
62,1805,11.524417,-0.1112613677978515
63,1806,11.902583,0.2669048309326172
64,1807,11.911917,0.2762384414672851
65,1808,10.954917,-0.6807613372802734
66,1809,10.30875,-1.3269281387329102
67,1810,10.496,-1.1396780014038086
68,1811,10.592083,-1.043595314025879
69,1812,10.340917,-1.2947616577148438
70,1813,10.756583,-0.8790950775146484
71,1814,10.974167,-0.6615114212036133
72,1815,10.584583,-1.0510950088500977
73,1816,10.297916,-1.3377618789672852
74,1817,10.593083,-1.0425949096679688
75,1818,11.313666,-0.3220119476318359
76,1819,10.9805,-0.6551780700683594
77,1820,10.979167,-0.6565113067626953
78,1821,11.014417,-0.6212615966796875
79,1822,10.873,-0.7626781463623047
80,1823,11.38975,-0.2459287643432617
81,1824,12.291333,0.6556549072265625
82,1825,11.172083,-0.4635953903198242
83,1826,11.10875,-0.5269279479980469
84,1827,12.235,0.5993213653564453
85,1828,11.16975,-0.4659280776977539
86,1829,11.058084,-0.5775947570800781
87,1830,11.46475,-0.1709280014038086
88,1831,10.917666,-0.7180118560791016
89,1832,9.8705,-1.765178680419922
90,1833,11.123667,-0.5120115280151367
91,1834,11.044084,-0.5915946960449219
92,1835,10.630584,-1.0050945281982422
93,1836,11.175667,-0.4600114822387695
94,1837,10.658083,-0.977595329284668
95,1838,10.4365,-1.199178695678711
96,1839,10.7820835,-0.8535947799682617
97,1840,10.526667,-1.1090116500854492
98,1841,11.475333,-0.1603450775146484
99,1842,11.137,-0.4986782073974609
100,1843,11.27375,-0.3619279861450195
101,1844,10.98325,-0.6524286270141602
102,1845,11.412,-0.2236785888671875
103,1846,11.852917,0.2172384262084961
104,1847,11.4495,-0.1861782073974609
105,1848,11.617084,-0.018594741821289
106,1849,11.372583,-0.2630949020385742
107,1850,10.85825,-0.7774286270141602
108,1851,11.921166,0.2854881286621094
109,1852,11.415916,-0.219761848449707
110,1853,12.227583,0.5919046401977539
111,1854,11.021667,-0.6140117645263672
112,1855,11.636084,0.0004053115844726
113,1856,11.082583,-0.5530948638916016
114,1857,10.5338335,-1.1018447875976562
115,1858,11.0235,-0.612177848815918
116,1859,11.542334,-0.0933446884155273
117,1860,11.914166,0.2784881591796875
118,1861,10.575,-1.060678482055664
119,1862,10.685917,-0.9497613906860352
120,1863,11.147083,-0.4885950088500976
121,1864,11.217417,-0.4182615280151367
122,1865,11.502916,-0.1327619552612304
123,1866,11.412167,-0.2235116958618164
124,1867,11.230083,-0.4055948257446289
125,1868,11.246333,-0.3893451690673828
126,1869,11.7235,0.0878219604492187
127,1870,11.488167,-0.1475114822387695
128,1871,11.311833,-0.3238449096679687
129,1872,12.223333,0.5876550674438477
130,1873,12.0895,0.4538221359252929
131,1874,11.383333,-0.2523450851440429
132,1875,10.717167,-0.9185113906860352
133,1876,11.701417,0.0657386779785156
134,1877,11.834167,0.1984882354736328
135,1878,12.03725,0.4015712738037109
136,1879,12.23975,0.6040716171264648
137,1880,10.473333,-1.1623449325561523
138,1881,11.096666,-0.5390119552612305
139,1882,11.015333,-0.6203451156616211
140,1883,11.428083,-0.2075948715209961
141,1884,10.874,-0.7616786956787109
142,1885,11.691334,0.0556554794311523
143,1886,11.388917,-0.2467613220214843
144,1887,11.67275,0.0370721817016601
145,1888,11.325916,-0.3097620010375976
146,1889,11.578834,-0.0568447113037109
147,1890,11.44325,-0.1924285888671875
148,1891,11.284333,-0.3513450622558594
149,1892,11.873417,0.2377386093139648
150,1893,10.896584,-0.7390947341918945
151,1894,10.799167,-0.8365116119384766
152,1895,11.517083,-0.1185951232910156
153,1896,11.086166,-0.5495119094848633
154,1897,11.163584,-0.4720945358276367
155,1898,11.318084,-0.3175945281982422
156,1899,11.796833,0.1611547470092773
157,1900,11.91375,0.2780714035034179
158,1901,12.392417,0.7567386627197266
159,1902,11.625,-0.0106782913208007
160,1903,11.360833,-0.2748451232910156
161,1904,11.2015,-0.434178352355957
162,1905,11.309,-0.3266782760620117
163,1906,11.35425,-0.2814283370971679
164,1907,10.749917,-0.8857612609863281
165,1908,10.832833,-0.8028450012207031
166,1909,11.909667,0.2739887237548828
167,1910,11.4921665,-0.1435117721557617
168,1911,10.51575,-1.1199283599853516
169,1912,11.606083,-0.0295953750610351
170,1913,10.944,-0.6916780471801758
171,1914,11.191916,-0.4437618255615234
172,1915,11.99325,0.3575716018676758
173,1916,12.39175,0.7560720443725586
174,1917,12.06475,0.4290714263916015
175,1918,11.832666,0.1969881057739257
176,1919,11.9905,0.3548221588134765
177,1920,10.6265,-1.0091781616210938
178,1921,10.896334,-0.739344596862793
179,1922,12.0815,0.4458217620849609
180,1923,12.261416,0.6257381439208984
181,1924,11.834333,0.1986551284790039
182,1925,11.8525,0.2168216705322265
183,1926,12.049583,0.4139051437377929
184,1927,12.203917,0.5682382583618164
185,1928,11.535334,-0.1003446578979492
186,1929,11.490167,-0.1455116271972656
187,1930,12.4195,0.7838220596313477
188,1931,11.7245,0.0888214111328125
189,1932,11.576083,-0.0595951080322265
190,1933,10.838583,-0.7970952987670898
191,1934,11.776083,0.1404047012329101
192,1935,12.25575,0.6200714111328125
193,1936,12.04475,0.4090719223022461
194,1937,12.730833,1.0951547622680664
195,1938,11.8515835,0.2159051895141601
196,1939,12.208834,0.573155403137207
197,1940,12.007916,0.3722381591796875
198,1941,11.730833,0.0951547622680664
199,1942,11.554083,-0.0815954208374023
200,1943,11.493333,-0.1423454284667968
201,1944,11.965167,0.3294887542724609
202,1945,11.282917,-0.3527612686157226
203,1946,12.034667,0.3989887237548828
204,1947,12.679916,1.0442380905151367
205,1948,11.300333,-0.3353452682495117
206,1949,10.961,-0.674677848815918
207,1950,11.466666,-0.1690120697021484
208,1951,12.062917,0.4272384643554687
209,1952,12.527416,0.8917379379272461
210,1953,11.088,-0.5476779937744141
211,1954,12.036333,0.4006547927856445
212,1955,12.968333,1.3326549530029297
213,1956,11.135583,-0.5000953674316406
214,1957,12.1571665,0.5214881896972656
215,1958,12.268167,0.6324882507324219
216,1959,11.184334,-0.4513444900512695
217,1960,12.580916,0.9452381134033204
218,1961,12.083834,0.448155403137207
219,1962,13.118167,1.4824886322021484
220,1963,12.284333,0.6486549377441406
221,1964,11.27,-0.3656778335571289
222,1965,11.671416,0.0357379913330078
223,1966,13.413083,1.77740478515625
224,1967,11.024667,-0.6110115051269531
225,1968,11.930166,0.2944879531860351
226,1969,11.968917,0.3332386016845703
227,1970,12.554584,0.9189052581787108
228,1971,11.94525,0.3095712661743164
229,1972,11.201667,-0.4340114593505859
230,1973,11.519417,-0.1162614822387695
231,1974,11.6215,-0.0141782760620117
232,1975,11.70225,0.0665712356567382
233,1976,11.058917,-0.5767612457275391
234,1977,11.951917,0.3162384033203125
235,1978,12.14025,0.5045719146728516
236,1979,12.871083,1.2354049682617188
237,1980,11.984917,0.3492383956909179
238,1981,12.5755,0.9398212432861328
239,1982,11.498584,-0.137094497680664
240,1983,11.64075,0.0050716400146484
241,1984,12.058,0.4223213195800781
242,1985,12.08625,0.4505720138549804
243,1986,12.260917,0.6252384185791016
244,1987,11.613833,-0.0218448638916015
245,1988,11.621917,-0.0137615203857421
246,1989,12.1755,0.5398216247558594
247,1990,12.0325,0.3968219757080078
248,1991,11.751083,0.1154050827026367
249,1992,10.516666,-1.1190118789672852
250,1993,11.277416,-0.3582620620727539
251,1994,12.744833,1.1091547012329102
252,1995,12.188833,0.5531549453735352
253,1996,12.405916,0.770237922668457
254,1997,11.568,-0.0676784515380859
255,1998,12.883166,1.247488021850586
256,1999,13.08725,1.4515714645385742
257,2000,12.201917,0.5662384033203125
258,2001,13.28325,1.6475715637207031
259,2002,12.339,0.7033214569091797
260,2003,12.331333,0.6956548690795898
261,2004,12.310166,0.6744880676269531
262,2005,12.432917,0.7972383499145508
263,2006,12.450084,0.8144054412841797
264,2007,12.815333,1.1796550750732422
265,2008,12.657833,1.0221548080444336
266,2009,12.814834,1.179155349731445
267,2010,14.281667,2.6459884643554688
268,2011,11.9145,0.2788219451904297
269,2012,12.854417,1.2187385559082031
270,2013,14.026625,2.390946388244629
