,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,12.42975,-2.3668251037597656
77,1820,13.695,-1.1015758514404297
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,13.765917,-1.030658721923828
90,1833,14.311833,-0.4847421646118164
91,1834,14.165833,-0.630742073059082
92,1835,13.676917,-1.1196584701538086
93,1836,14.143416,-0.6531591415405273
94,1837,13.8525,-0.9440755844116212
95,1838,13.662666,-1.1339092254638672
96,1839,13.853583,-0.9429922103881836
97,1840,14.056666,-0.7399091720581055
98,1841,13.697917,-1.098658561706543
99,1842,14.596084,-0.2004919052124023
100,1843,14.772,-0.0245752334594726
101,1844,13.985416,-0.8111591339111328
102,1845,14.137167,-0.6594085693359375
103,1846,14.729333,-0.0672426223754882
104,1847,14.351833,-0.444742202758789
105,1848,13.90275,-0.8938255310058594
106,1849,14.439333,-0.3572425842285156
107,1850,14.086416,-0.7101593017578125
108,1851,14.65625,-0.1403255462646484
109,1852,14.4395,-0.3570756912231445
110,1853,14.325417,-0.4711589813232422
111,1854,14.3925,-0.4040756225585937
112,1855,14.982583,0.1860074996948242
113,1856,14.459,-0.3375759124755859
114,1857,13.79,-1.006575584411621
115,1858,14.40525,-0.3913259506225586
116,1859,14.847167,0.0505914688110351
117,1860,14.109667,-0.6869087219238281
118,1861,13.811,-0.9855756759643556
119,1862,13.512667,-1.2839088439941406
120,1863,14.401,-0.3955755233764648
121,1864,13.95075,-0.8458251953125
122,1865,14.2415,-0.5550756454467773
123,1866,14.154,-0.6425752639770508
124,1867,14.7838335,-0.0127420425415039
125,1868,14.402667,-0.3939085006713867
126,1869,14.626083,-0.1704921722412109
127,1870,14.722667,-0.0739088058471679
128,1871,14.365167,-0.4314088821411133
129,1872,14.957916,0.1613407135009765
130,1873,14.967167,0.1705913543701172
131,1874,14.7485,-0.0480756759643554
132,1875,14.894667,0.0980911254882812
133,1876,14.429916,-0.3666591644287109
134,1877,14.636167,-0.1604089736938476
135,1878,15.010667,0.2140913009643554
136,1879,15.199166,0.4025907516479492
137,1880,14.363334,-0.4332418441772461
138,1881,14.959666,0.163090705871582
139,1882,14.25725,-0.5393257141113281
140,1883,14.498834,-0.2977418899536133
141,1884,14.0035,-0.7930755615234375
142,1885,14.033167,-0.7634086608886719
143,1886,13.3755,-1.4210758209228516
144,1887,14.590667,-0.2059087753295898
145,1888,15.69,0.8934240341186523
146,1889,14.012,-0.7845754623413086
147,1890,14.49925,-0.2973251342773437
148,1891,13.734417,-1.0621585845947266
149,1892,14.4965,-0.3000755310058594
150,1893,14.573417,-0.2231588363647461
151,1894,13.936833,-0.8597421646118164
152,1895,14.722167,-0.0744085311889648
153,1896,14.317917,-0.4786586761474609
154,1897,14.337,-0.4595756530761719
155,1898,13.747583,-1.048992156982422
156,1899,15.440583,0.644007682800293
157,1900,13.924833,-0.8717422485351562
158,1901,14.980667,0.184091567993164
159,1902,15.154333,0.357757568359375
160,1903,13.98575,-0.8108253479003906
161,1904,14.284083,-0.5124921798706055
162,1905,14.379,-0.4175758361816406
163,1906,14.58425,-0.2123250961303711
164,1907,13.808,-0.9885759353637696
165,1908,14.227,-0.569575309753418
166,1909,15.272083,0.4755077362060547
167,1910,14.566167,-0.2304086685180664
168,1911,13.4985,-1.2980756759643557
169,1912,14.64825,-0.1483259201049804
170,1913,14.694834,-0.1017417907714843
171,1914,15.48675,0.6901741027832031
172,1915,16.115833,1.319257736206055
173,1916,14.05225,-0.7443256378173828
174,1917,15.339167,0.5425910949707031
175,1918,14.068417,-0.7281589508056641
176,1919,14.83525,0.0386743545532226
177,1920,13.112583,-1.6839923858642578
178,1921,14.489083,-0.3074922561645508
179,1922,15.49175,0.6951742172241211
180,1923,14.41675,-0.3798255920410156
181,1924,14.4825,-0.3140754699707031
182,1925,15.412167,0.6155910491943359
183,1926,14.755,-0.0415754318237304
184,1927,14.71,-0.0865755081176757
185,1928,13.696667,-1.0999088287353516
186,1929,13.248917,-1.547658920288086
187,1930,13.869833,-0.9267425537109376
188,1931,13.596916,-1.1996593475341797
189,1932,14.254916,-0.5416593551635742
190,1933,14.500584,-0.2959918975830078
191,1934,13.4895,-1.3070755004882812
192,1935,14.465584,-0.3309917449951172
193,1936,14.898583,0.1020078659057617
194,1937,14.51025,-0.286325454711914
195,1938,15.33,0.5334243774414062
196,1939,15.331833,0.5352573394775391
197,1940,15.87825,1.081674575805664
198,1941,16.183167,1.3865909576416016
199,1942,15.176583,0.3800077438354492
200,1943,14.047083,-0.7494926452636719
201,1944,15.637417,0.8408412933349609
202,1945,14.2835,-0.5130758285522461
203,1946,14.9535,0.1569242477416992
204,1947,15.714334,0.9177579879760742
205,1948,15.199583,0.4030075073242187
206,1949,13.60475,-1.1918258666992188
207,1950,13.65375,-1.1428251266479492
208,1951,14.484834,-0.311741828918457
209,1952,14.682167,-0.1144084930419921
210,1953,15.068,0.2714242935180664
211,1954,14.211833,-0.584742546081543
212,1955,16.074417,1.277841567993164
213,1956,14.600417,-0.1961584091186523
214,1957,14.305833,-0.4907426834106445
215,1958,15.439667,0.6430912017822266
216,1959,14.104834,-0.691741943359375
217,1960,14.835667,0.0390911102294921
218,1961,15.841416,1.0448408126831057
219,1962,15.141916,0.3453407287597656
220,1963,15.902833,1.106257438659668
221,1964,14.1575,-0.6390752792358398
222,1965,15.318666,0.5220909118652344
223,1966,15.859834,1.063258171081543
224,1967,14.948417,0.1518411636352539
225,1968,15.132417,0.3358411788940429
226,1969,13.504167,-1.2924089431762695
227,1970,15.567,0.7704248428344727
228,1971,15.894,1.0974245071411133
229,1972,13.420333,-1.3762426376342771
230,1973,15.33775,0.5411748886108398
231,1974,14.093583,-0.7029924392700195
232,1975,15.44025,0.6436748504638672
233,1976,14.205833,-0.5907421112060547
234,1977,15.261,0.4644241333007812
235,1978,15.023583,0.2270078659057617
236,1979,15.679083,0.88250732421875
237,1980,15.387917,0.5913410186767578
238,1981,15.982417,1.1858415603637695
239,1982,14.534833,-0.2617425918579101
240,1983,16.315166,1.5185909271240234
241,1984,14.418167,-0.3784084320068359
242,1985,15.5321665,0.735590934753418
243,1986,15.517417,0.7208414077758789
244,1987,15.43875,0.6421747207641602
245,1988,15.954833,1.1582574844360352
246,1989,15.6635,0.8669242858886719
247,1990,15.926416,1.129840850830078
248,1991,15.521083,0.7245073318481445
249,1992,15.036834,0.2402582168579101
250,1993,14.735416,-0.0611591339111328
251,1994,15.356417,0.5598411560058594
252,1995,16.520916,1.7243404388427734
253,1996,15.327,0.5304241180419922
254,1997,16.335,1.5384235382080078
255,1998,16.162582,1.366006851196289
256,1999,16.3785,1.5819244384765625
257,2000,16.398167,1.6015911102294922
258,2001,16.573833,1.7772579193115234
259,2002,16.379583,1.5830078125
260,2003,15.642417,0.8458414077758789
261,2004,16.663834,1.867258071899414
262,2005,16.579166,1.7825908660888672
263,2006,16.51,1.7134246826171875
264,2007,16.302084,1.5055084228515625
265,2008,15.858084,1.0615081787109375
266,2009,16.355417,1.5588417053222656
267,2010,17.043833,2.247257232666016
268,2011,15.786166,0.9895906448364258
269,2012,15.855833,1.0592575073242188
270,2013,18.6135,3.816925048828125
