,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,25.89125,-0.7725048065185547
81,1824,26.826416,0.1626605987548828
82,1825,26.7365,0.0727443695068359
83,1826,26.672916,0.0091609954833984
84,1827,27.096083,0.4323272705078125
85,1828,27.218416,0.5546607971191406
86,1829,26.280916,-0.3828392028808594
87,1830,27.076,0.4122447967529297
88,1831,26.049166,-0.6145896911621094
89,1832,26.022833,-0.6409225463867188
90,1833,26.387333,-0.2764225006103515
91,1834,26.684084,0.0203285217285156
92,1835,25.941416,-0.7223396301269531
93,1836,26.052668,-0.6110877990722656
94,1837,26.053167,-0.6105880737304688
95,1838,26.021917,-0.6418380737304688
96,1839,26.180666,-0.4830894470214844
97,1840,26.189083,-0.4746723175048828
98,1841,25.862583,-0.8011722564697266
99,1842,26.2935,-0.3702545166015625
100,1843,26.0795,-0.5842552185058594
101,1844,25.690332,-0.9734230041503906
102,1845,25.75925,-0.9045047760009766
103,1846,26.4815,-0.1822547912597656
104,1847,26.276583,-0.3871726989746094
105,1848,26.209,-0.4547557830810547
106,1849,26.485332,-0.1784229278564453
107,1850,26.449167,-0.2145881652832031
108,1851,26.37975,-0.284006118774414
109,1852,26.027584,-0.6361713409423828
110,1853,26.406666,-0.257089614868164
111,1854,26.329166,-0.3345890045166015
112,1855,26.545584,-0.1181716918945312
113,1856,26.841583,0.1778278350830078
114,1857,25.84625,-0.8175048828125
115,1858,25.853916,-0.8098392486572266
116,1859,26.117,-0.5467548370361328
117,1860,26.049417,-0.6143379211425781
118,1861,26.428417,-0.2353382110595703
119,1862,26.383083,-0.2806720733642578
120,1863,26.423334,-0.2404212951660156
121,1864,26.0495,-0.6142559051513672
122,1865,26.53625,-0.1275062561035156
123,1866,26.246084,-0.4176712036132812
124,1867,26.287416,-0.3763389587402344
125,1868,26.504583,-0.1591720581054687
126,1869,26.67425,0.0104942321777343
127,1870,26.331,-0.3327560424804687
128,1871,26.5505,-0.1132545471191406
129,1872,26.338583,-0.3251724243164062
130,1873,26.122334,-0.5414218902587891
131,1874,26.289,-0.374755859375
132,1875,26.407333,-0.2564220428466797
133,1876,26.453333,-0.2104225158691406
134,1877,26.723333,0.0595779418945312
135,1878,26.860083,0.1963272094726562
136,1879,26.478666,-0.185089111328125
137,1880,26.44325,-0.2205047607421875
138,1881,26.271166,-0.3925895690917969
139,1882,26.23675,-0.4270057678222656
140,1883,26.401917,-0.2618389129638672
141,1884,26.130333,-0.5334224700927734
142,1885,26.4695,-0.1942558288574218
143,1886,25.886917,-0.7768383026123047
144,1887,25.981667,-0.6820888519287109
145,1888,26.334583,-0.329172134399414
146,1889,26.320084,-0.3436717987060547
147,1890,26.41525,-0.248504638671875
148,1891,26.308666,-0.3550891876220703
149,1892,26.064583,-0.5991725921630859
150,1893,26.15925,-0.5045051574707031
151,1894,26.23675,-0.4270057678222656
152,1895,26.389584,-0.2741718292236328
153,1896,26.526417,-0.137338638305664
154,1897,26.8615,0.1977443695068359
155,1898,26.5605,-0.1032562255859375
156,1899,26.60375,-0.0600051879882812
157,1900,26.794916,0.1311607360839843
158,1901,26.390333,-0.2734222412109375
159,1902,26.335,-0.3287563323974609
160,1903,26.512,-0.1517562866210937
161,1904,26.238667,-0.425088882446289
162,1905,26.77025,0.1064949035644531
163,1906,26.44325,-0.2205047607421875
164,1907,26.384,-0.279754638671875
165,1908,26.50375,-0.1600055694580078
166,1909,26.217583,-0.4461727142333984
167,1910,25.948334,-0.7154216766357422
168,1911,26.485666,-0.1780891418457031
169,1912,26.721416,0.0576610565185546
170,1913,26.18575,-0.478006362915039
171,1914,26.505583,-0.158172607421875
172,1915,26.658833,-0.004922866821289
173,1916,26.138916,-0.5248394012451172
174,1917,26.015167,-0.6485881805419922
175,1918,26.229918,-0.433837890625
176,1919,26.673916,0.0101604461669921
177,1920,26.58125,-0.0825061798095703
178,1921,26.400417,-0.2633380889892578
179,1922,26.162834,-0.5009212493896484
180,1923,26.419,-0.2447547912597656
181,1924,26.840334,0.1765785217285156
182,1925,26.620083,-0.0436725616455078
183,1926,26.990833,0.3270778656005859
184,1927,26.741167,0.0774116516113281
185,1928,26.74,0.0762443542480468
186,1929,26.666584,0.0028285980224609
187,1930,26.7685,0.1047439575195312
188,1931,26.828833,0.1650772094726562
189,1932,26.821167,0.1574115753173828
190,1933,26.685833,0.0220775604248046
191,1934,26.4855,-0.1782550811767578
192,1935,26.44225,-0.221506118774414
193,1936,26.788584,0.1248283386230468
194,1937,26.925917,0.2621612548828125
195,1938,26.759666,0.0959110260009765
196,1939,26.782084,0.1183280944824218
197,1940,26.870667,0.2069110870361328
198,1941,27.14375,0.4799938201904297
199,1942,27.058332,0.3945770263671875
200,1943,26.711916,0.0481605529785156
201,1944,26.657417,-0.0063381195068359
202,1945,26.541666,-0.1220893859863281
203,1946,26.84375,0.1799945831298828
204,1947,27.140833,0.4770774841308594
205,1948,27.35575,0.6919937133789062
206,1949,26.802084,0.1383285522460937
207,1950,26.35975,-0.3040046691894531
208,1951,26.357834,-0.3059215545654297
209,1952,26.775167,0.1114120483398437
210,1953,27.12375,0.4599952697753906
211,1954,26.840166,0.1764106750488281
212,1955,26.22375,-0.4400062561035156
213,1956,26.476418,-0.1873378753662109
214,1957,26.935167,0.2714118957519531
215,1958,26.96,0.296243667602539
216,1959,27.228416,0.5646610260009766
217,1960,27.083918,0.4201622009277344
218,1961,26.937334,0.2735786437988281
219,1962,26.771584,0.107828140258789
220,1963,26.956417,0.2926616668701172
221,1964,27.037333,0.3735771179199219
222,1965,26.653584,-0.010171890258789
223,1966,26.890833,0.2270774841308593
224,1967,26.985666,0.3219108581542969
225,1968,26.847084,0.183328628540039
226,1969,27.045918,0.3821620941162109
227,1970,26.742083,0.0783271789550781
228,1971,26.61525,-0.0485057830810546
229,1972,26.848417,0.184661865234375
230,1973,26.920084,0.2563285827636719
231,1974,26.571167,-0.0925884246826171
232,1975,26.818,0.154245376586914
233,1976,26.745,0.0812454223632812
234,1977,27.135084,0.4713287353515625
235,1978,27.161417,0.4976615905761719
236,1979,26.89775,0.2339954376220703
237,1980,27.41525,0.751495361328125
238,1981,26.988916,0.3251609802246094
239,1982,27.372917,0.7091617584228516
240,1983,27.32,0.6562442779541016
241,1984,26.883583,0.219827651977539
242,1985,26.990583,0.3268280029296875
243,1986,27.105,0.4412441253662109
244,1987,27.343166,0.6794109344482422
245,1988,26.993834,0.330078125
246,1989,26.957333,0.2935771942138672
247,1990,27.336834,0.6730785369873047
248,1991,27.294416,0.6306610107421875
249,1992,27.07725,0.4134941101074219
250,1993,27.05525,0.3914947509765625
251,1994,27.504417,0.8406620025634766
252,1995,27.389,0.7252445220947266
253,1996,26.934166,0.2704105377197265
254,1997,27.868,1.204244613647461
255,1998,27.74375,1.0799942016601562
256,1999,27.231583,0.5678272247314453
257,2000,26.956917,0.293161392211914
258,2001,27.246084,0.5823287963867188
259,2002,27.701416,1.0376605987548828
260,2003,27.815332,1.1515769958496094
261,2004,27.530916,0.8671607971191406
262,2005,27.497168,0.8334121704101562
263,2006,27.445583,0.7818279266357422
264,2007,27.5975,0.9337444305419922
265,2008,27.428,0.7642440795898438
266,2009,27.439333,0.7755775451660156
267,2010,27.296333,0.6325778961181641
268,2011,27.435,0.7712440490722656
269,2012,27.412582,0.7488269805908203
270,2013,27.440556,0.7768001556396484
