,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,22.300817,-0.726837158203125
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,21.81257,-1.2150840759277344
115,1858,22.67675,-0.3509044647216797
116,1859,22.656666,-0.3709888458251953
117,1860,22.422363,-0.6052913665771484
118,1861,22.3687,-0.6589546203613281
119,1862,,
120,1863,,
121,1864,22.395166,-0.6324882507324219
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,,
131,1874,,
132,1875,22.106,-0.9216537475585938
133,1876,22.370417,-0.6572380065917969
134,1877,22.934834,-0.0928211212158203
135,1878,23.1,0.0723457336425781
136,1879,,
137,1880,22.502909,-0.5247459411621094
138,1881,22.70291,-0.3247451782226562
139,1882,22.54025,-0.4874038696289062
140,1883,22.412167,-0.6154880523681641
141,1884,22.228916,-0.7987384796142578
142,1885,22.488417,-0.5392379760742188
143,1886,22.482666,-0.5449886322021484
144,1887,22.29775,-0.7299041748046875
145,1888,22.391417,-0.6362380981445312
146,1889,22.897667,-0.1299877166748047
147,1890,22.564417,-0.4632377624511719
148,1891,22.483,-0.5446548461914062
149,1892,22.67175,-0.355905532836914
150,1893,22.41825,-0.609405517578125
151,1894,22.752916,-0.2747383117675781
152,1895,22.7105,-0.3171539306640625
153,1896,22.713,-0.3146553039550781
154,1897,22.880333,-0.1473217010498047
155,1898,23.198416,0.1707611083984375
156,1899,22.893583,-0.1340713500976562
157,1900,22.973917,-0.0537376403808593
158,1901,23.834167,0.8065128326416016
159,1902,23.150833,0.123178482055664
160,1903,23.075,0.0473461151123046
161,1904,22.284,-0.7436542510986328
162,1905,22.68525,-0.3424053192138672
163,1906,22.577333,-0.4503211975097656
164,1907,22.634,-0.3936538696289062
165,1908,22.49225,-0.5354042053222656
166,1909,22.233166,-0.7944889068603516
167,1910,22.560167,-0.4674873352050781
168,1911,23.103666,0.0760116577148437
169,1912,23.224,0.1963462829589843
170,1913,22.799917,-0.2277374267578125
171,1914,23.001583,-0.026071548461914
172,1915,23.026167,-0.0014877319335937
173,1916,22.7195,-0.3081550598144531
174,1917,22.3325,-0.6951541900634766
175,1918,22.8195,-0.2081546783447265
176,1919,22.8705,-0.1571540832519531
177,1920,22.674166,-0.3534889221191406
178,1921,22.752583,-0.2750720977783203
179,1922,22.342417,-0.6852378845214844
180,1923,22.450583,-0.5770721435546875
181,1924,22.905666,-0.121988296508789
182,1925,22.881332,-0.1463222503662109
183,1926,22.65725,-0.3704051971435547
184,1927,23.297167,0.2695121765136719
185,1928,23.173416,0.145761489868164
186,1929,22.996916,-0.0307388305664062
187,1930,23.134583,0.1069278717041015
188,1931,23.360083,0.332427978515625
189,1932,22.861834,-0.1658210754394531
190,1933,22.967417,-0.0602378845214843
191,1934,23.070333,0.0426788330078125
192,1935,23.23925,0.2115955352783203
193,1936,23.079584,0.0519294738769531
194,1937,23.02475,-0.0029048919677734
195,1938,22.964417,-0.0632381439208984
196,1939,23.053917,0.0262622833251953
197,1940,23.226917,0.1992626190185547
198,1941,23.475,0.4473457336425781
199,1942,23.15325,0.1255950927734375
200,1943,23.129417,0.1017627716064453
201,1944,23.09675,0.0690956115722656
202,1945,23.07875,0.051095962524414
203,1946,23.089417,0.0617618560791015
204,1947,22.905333,-0.1223220825195312
205,1948,22.9785,-0.0491542816162109
206,1949,23.338833,0.3111782073974609
207,1950,22.967916,-0.0597381591796875
208,1951,22.889166,-0.13848876953125
209,1952,23.090834,0.0631790161132812
210,1953,23.242083,0.2144279479980468
211,1954,22.959333,-0.0683212280273437
212,1955,22.863916,-0.1637382507324218
213,1956,22.619167,-0.408487319946289
214,1957,23.103,0.0753459930419921
215,1958,23.357416,0.3297615051269531
216,1959,23.147,0.1193447113037109
217,1960,23.047333,0.0196781158447265
218,1961,23.049166,0.0215110778808593
219,1962,22.872667,-0.1549873352050781
220,1963,22.87875,-0.148904800415039
221,1964,22.8095,-0.2181549072265625
222,1965,23.02975,0.0020961761474609
223,1966,23.107834,0.080179214477539
224,1967,22.926834,-0.1008205413818359
225,1968,22.7575,-0.2701549530029297
226,1969,23.205334,0.1776790618896484
227,1970,23.049583,0.0219287872314453
228,1971,22.88275,-0.1449050903320312
229,1972,23.337084,0.3094291687011719
230,1973,23.302416,0.2747611999511719
231,1974,22.98425,-0.043405532836914
232,1975,23.04975,0.0220947265625
233,1976,23.162167,0.1345119476318359
234,1977,23.280083,0.2524280548095703
235,1978,23.1965,0.1688461303710937
236,1979,23.290333,0.2626781463623047
237,1980,23.633417,0.6057624816894531
238,1981,23.368917,0.3412628173828125
239,1982,23.30625,0.278594970703125
240,1983,23.592083,0.5644283294677734
241,1984,23.394083,0.3664283752441406
242,1985,23.20175,0.1740951538085937
243,1986,23.45325,0.4255962371826172
244,1987,23.968,0.9403457641601562
245,1988,23.51375,0.4860954284667969
246,1989,22.961082,-0.0665721893310546
247,1990,23.267084,0.2394294738769531
248,1991,23.176,0.148345947265625
249,1992,23.295416,0.26776123046875
250,1993,23.390917,0.3632621765136719
251,1994,23.415583,0.3879280090332031
252,1995,23.571583,0.5439281463623047
253,1996,23.3005,0.2728462219238281
254,1997,23.813667,0.7860126495361328
255,1998,23.74425,0.7165946960449219
256,1999,23.284082,0.2564277648925781
257,2000,23.560917,0.5332622528076172
258,2001,23.405834,0.3781795501708984
259,2002,23.8305,0.8028450012207031
260,2003,23.843834,0.8161792755126953
261,2004,23.811916,0.7842617034912109
262,2005,24.029833,1.002178192138672
263,2006,23.770082,0.7424278259277344
264,2007,23.4905,0.4628448486328125
265,2008,23.49625,0.4685955047607422
266,2009,24.047167,1.019512176513672
267,2010,23.922333,0.8946781158447266
268,2011,23.72675,0.6990947723388672
269,2012,23.805666,0.7780113220214844
270,2013,24.024626,0.9969711303710938
