,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,27.23391,-0.470001220703125
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,26.962418,-0.7414932250976562
106,1849,27.1465,-0.5574111938476562
107,1850,26.833584,-0.8703269958496094
108,1851,27.372417,-0.3314933776855469
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,,
115,1858,,
116,1859,,
117,1860,,
118,1861,26.138819,-1.5650920867919922
119,1862,26.485167,-1.2187442779541016
120,1863,24.528,-3.1759109497070312
121,1864,27.16475,-0.5391616821289062
122,1865,27.403667,-0.3002433776855469
123,1866,27.2595,-0.4444103240966797
124,1867,27.59425,-0.1096611022949218
125,1868,27.46975,-0.234161376953125
126,1869,26.996181,-0.7077293395996094
127,1870,27.35775,-0.346160888671875
128,1871,26.81391,-0.8900012969970703
129,1872,27.293333,-0.4105777740478515
130,1873,27.552668,-0.1512432098388672
131,1874,27.433,-0.2709102630615234
132,1875,27.178917,-0.524993896484375
133,1876,27.300833,-0.4030780792236328
134,1877,27.724833,0.0209217071533203
135,1878,27.75675,0.0528392791748046
136,1879,27.224417,-0.4794940948486328
137,1880,27.326416,-0.3774948120117187
138,1881,27.877832,0.1739215850830078
139,1882,27.206917,-0.4969940185546875
140,1883,27.422167,-0.2817440032958984
141,1884,27.293583,-0.4103279113769531
142,1885,27.287916,-0.415994644165039
143,1886,27.54825,-0.1556606292724609
144,1887,27.198833,-0.5050773620605469
145,1888,27.409,-0.2949104309082031
146,1889,27.7445,0.04058837890625
147,1890,27.344584,-0.3593273162841797
148,1891,27.609583,-0.0943279266357421
149,1892,27.65575,-0.0481605529785156
150,1893,27.51775,-0.1861610412597656
151,1894,27.3695,-0.33441162109375
152,1895,27.12875,-0.5751609802246094
153,1896,27.453917,-0.2499942779541015
154,1897,27.41575,-0.2881603240966797
155,1898,27.110083,-0.5938282012939453
156,1899,27.647583,-0.0563278198242187
157,1900,27.587917,-0.1159934997558593
158,1901,27.63625,-0.0676612854003906
159,1902,27.850334,0.14642333984375
160,1903,27.05725,-0.6466617584228516
161,1904,27.629667,-0.0742435455322265
162,1905,27.503916,-0.1999950408935547
163,1906,27.408333,-0.2955780029296875
164,1907,27.29575,-0.4081611633300781
165,1908,27.429832,-0.274078369140625
166,1909,27.699,-0.0049114227294921
167,1910,27.08525,-0.6186599731445312
168,1911,26.847084,-0.8568267822265625
169,1912,27.464417,-0.2394943237304687
170,1913,27.540167,-0.1637439727783203
171,1914,27.635666,-0.0682449340820312
172,1915,27.97125,0.2673397064208984
173,1916,27.08325,-0.6206607818603516
174,1917,27.180084,-0.5238265991210938
175,1918,27.17075,-0.5331611633300781
176,1919,27.38075,-0.323160171508789
177,1920,27.45825,-0.2456607818603515
178,1921,27.27325,-0.4306602478027344
179,1922,27.861416,0.1575050354003906
180,1923,27.478666,-0.2252445220947265
181,1924,28.124916,0.4210052490234375
182,1925,27.393084,-0.3108272552490234
183,1926,27.78875,0.0848388671875
184,1927,27.483418,-0.2204933166503906
185,1928,27.531,-0.1729106903076172
186,1929,27.797083,0.0931720733642578
187,1930,27.537083,-0.1668281555175781
188,1931,27.7065,0.0025882720947265
189,1932,27.423166,-0.2807445526123047
190,1933,27.216,-0.4879112243652344
191,1934,27.378334,-0.3255767822265625
192,1935,27.619833,-0.0840778350830078
193,1936,27.402666,-0.3012447357177734
194,1937,27.295584,-0.4083271026611328
195,1938,27.429417,-0.2744941711425781
196,1939,27.2945,-0.4094104766845703
197,1940,27.6875,-0.0164108276367187
198,1941,28.001083,0.2971725463867187
199,1942,27.91025,0.206338882446289
200,1943,27.597666,-0.1062450408935546
201,1944,27.98275,0.278839111328125
202,1945,27.610666,-0.0932445526123046
203,1946,27.791416,0.0875053405761718
204,1947,27.955166,0.2512550354003906
205,1948,27.794666,0.0907554626464843
206,1949,27.497417,-0.2064933776855468
207,1950,27.1305,-0.5734100341796875
208,1951,27.893667,0.1897563934326172
209,1952,27.8225,0.1185894012451171
210,1953,27.998167,0.2942562103271484
211,1954,28.04625,0.3423385620117187
212,1955,27.669834,-0.0340766906738281
213,1956,27.612583,-0.0913276672363281
214,1957,27.439917,-0.2639942169189453
215,1958,28.019,0.3150882720947265
216,1959,27.437916,-0.2659950256347656
217,1960,27.785667,0.081756591796875
218,1961,27.760084,0.0561733245849609
219,1962,27.92025,0.216339111328125
220,1963,27.751667,0.0477561950683593
221,1964,27.1445,-0.5594100952148438
222,1965,27.785583,0.0816726684570312
223,1966,27.896917,0.1930065155029297
224,1967,27.640833,-0.0630779266357421
225,1968,27.466417,-0.2374935150146484
226,1969,28.26625,0.5623397827148438
227,1970,28.258667,0.5547561645507812
228,1971,27.62275,-0.0811614990234375
229,1972,27.422667,-0.2812442779541015
230,1973,27.674583,-0.029327392578125
231,1974,27.6955,-0.0084114074707031
232,1975,27.60625,-0.0976600646972656
233,1976,27.571167,-0.1327438354492187
234,1977,28.568916,0.8650054931640625
235,1978,28.069834,0.3659229278564453
236,1979,28.100166,0.3962554931640625
237,1980,28.301083,0.5971717834472656
238,1981,28.134916,0.4310054779052734
239,1982,27.327417,-0.3764934539794922
240,1983,27.36975,-0.3341617584228515
241,1984,27.399834,-0.3040771484375
242,1985,27.72375,0.0198383331298828
243,1986,27.867332,0.163421630859375
244,1987,28.094334,0.3904228210449219
245,1988,28.14025,0.4363384246826172
246,1989,27.58525,-0.1186599731445312
247,1990,28.260084,0.5561733245849609
248,1991,27.697083,-0.0068283081054687
249,1992,27.284082,-0.4198284149169922
250,1993,28.070417,0.3665065765380859
251,1994,28.397417,0.6935062408447266
252,1995,27.986334,0.2824230194091797
253,1996,28.31925,0.6153392791748047
254,1997,28.120667,0.4167556762695312
255,1998,29.292583,1.5886726379394531
256,1999,29.298416,1.5945053100585938
257,2000,28.87775,1.1738395690917969
258,2001,29.009583,1.3056716918945312
259,2002,29.058,1.3540897369384766
260,2003,29.228333,1.5244216918945312
261,2004,29.104,1.4000892639160156
262,2005,28.992916,1.2890052795410156
263,2006,28.984083,1.280172348022461
264,2007,29.156084,1.4521732330322266
265,2008,28.685,0.981088638305664
266,2009,29.127666,1.4237556457519531
267,2010,29.671333,1.9674224853515625
268,2011,29.205416,1.501504898071289
269,2012,29.425833,1.7219219207763672
270,2013,29.370625,1.6667137145996094
