,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,10.4465,1.803058624267578
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,9.4991665,0.8557252883911133
33,1776,8.11,-0.5334415435791016
34,1777,8.30475,-0.3386907577514648
35,1778,5.362,-3.2814412117004395
36,1779,,
37,1780,,
38,1781,,
39,1782,7.6064286,-1.0370125770568848
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,12.231,3.58755874633789
54,1797,6.3568335,-2.2866077423095703
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,7.0126667,-1.6307744979858398
70,1813,9.918889,1.2754478454589844
71,1814,,
72,1815,7.501333,-1.1421079635620115
73,1816,4.396625,-4.246816158294678
74,1817,7.2299166,-1.4135246276855469
75,1818,6.2747,-2.368741035461426
76,1819,,
77,1820,7.563833,-1.0796079635620115
78,1821,8.004084,-0.6393575668334961
79,1822,8.386833,-0.2566080093383789
80,1823,7.911,-0.7324414253234863
81,1824,8.50225,-0.1411914825439453
82,1825,8.9665,0.32305908203125
83,1826,8.579,-0.0644407272338867
84,1827,9.102,0.4585590362548828
85,1828,8.8485,0.2050590515136718
86,1829,8.38925,-0.2541913986206054
87,1830,9.215083,0.5716419219970703
88,1831,7.72075,-0.9226913452148438
89,1832,8.2474165,-0.3960247039794922
90,1833,8.811916,0.1684751510620117
91,1834,8.829583,0.1861419677734375
92,1835,7.53925,-1.1041913032531738
93,1836,7.5639167,-1.0795245170593262
94,1837,7.9844165,-0.659024715423584
95,1838,7.5486665,-1.0947747230529783
96,1839,8.522166,-0.1212749481201171
97,1840,8.2515,-0.3919410705566406
98,1841,8.14925,-0.4941911697387695
99,1842,8.358334,-0.2851076126098633
100,1843,7.7836666,-0.8597745895385742
101,1844,8.082833,-0.56060791015625
102,1845,8.408916,-0.2345247268676757
103,1846,9.136333,0.4928922653198242
104,1847,7.9070835,-0.7363576889038086
105,1848,8.016833,-0.6266078948974609
106,1849,8.129167,-0.5142745971679688
107,1850,8.248333,-0.3951082229614258
108,1851,8.6575,0.0140590667724609
109,1852,8.183084,-0.460357666015625
110,1853,8.459917,-0.1835241317749023
111,1854,8.82125,0.1778087615966797
112,1855,8.459416,-0.1840248107910156
113,1856,7.94325,-0.7001910209655762
114,1857,8.140333,-0.503108024597168
115,1858,8.412833,-0.2306079864501953
116,1859,8.016833,-0.6266078948974609
117,1860,8.580916,-0.0625247955322265
118,1861,8.6505,0.007059097290039
119,1862,8.214,-0.4294414520263672
120,1863,8.44625,-0.1971912384033203
121,1864,8.3810835,-0.2623577117919922
122,1865,8.4956665,-0.1477746963500976
123,1866,8.334333,-0.3091077804565429
124,1867,8.509,-0.1344413757324218
125,1868,8.207417,-0.4360246658325195
126,1869,8.31125,-0.3321914672851562
127,1870,8.8295,0.1860589981079101
128,1871,8.70675,0.0633087158203125
129,1872,8.00075,-0.6426916122436523
130,1873,8.063084,-0.580357551574707
131,1874,8.768,0.1245584487915039
132,1875,7.8496666,-0.7937746047973633
133,1876,8.099,-0.5444412231445312
134,1877,8.696584,0.0531425476074218
135,1878,9.017167,0.3737258911132812
136,1879,8.68325,0.039809226989746
137,1880,8.110333,-0.5331077575683594
138,1881,8.6435,5.91278076171875e-05
139,1882,8.369917,-0.2735242843627929
140,1883,7.94225,-0.7011914253234863
141,1884,7.958,-0.6854410171508789
142,1885,8.158417,-0.4850244522094726
143,1886,8.181833,-0.4616079330444336
144,1887,8.143583,-0.4998579025268554
145,1888,8.172833,-0.4706077575683594
146,1889,8.798083,0.154642105102539
147,1890,8.559167,-0.0842742919921875
148,1891,8.31675,-0.3266916275024414
149,1892,8.178,-0.4654407501220703
150,1893,8.171,-0.4724416732788086
151,1894,8.46675,-0.1766910552978515
152,1895,7.8473334,-0.7961077690124512
153,1896,8.483583,-0.1598577499389648
154,1897,8.473166,-0.1702747344970703
155,1898,8.427917,-0.215524673461914
156,1899,8.166833,-0.4766082763671875
157,1900,9.021584,0.3781423568725586
158,1901,8.494917,-0.1485242843627929
159,1902,8.454,-0.1894407272338867
160,1903,7.97725,-0.6661911010742188
161,1904,8.200666,-0.4427747726440429
162,1905,8.402333,-0.2411079406738281
163,1906,8.560083,-0.0833578109741211
164,1907,8.394,-0.2494411468505859
165,1908,8.755584,0.1121425628662109
166,1909,8.221833,-0.4216079711914062
167,1910,8.757916,0.1144752502441406
168,1911,8.737917,0.0944757461547851
169,1912,8.140917,-0.5025243759155273
170,1913,8.552167,-0.0912742614746093
171,1914,8.8765,0.2330589294433593
172,1915,8.64825,0.0048084259033203
173,1916,8.180083,-0.463357925415039
174,1917,7.6695,-0.9739413261413574
175,1918,8.50125,-0.142190933227539
176,1919,8.538,-0.1054410934448242
177,1920,8.1845,-0.4589414596557617
178,1921,9.595667,0.9522256851196288
179,1922,8.768167,0.124725341796875
180,1923,8.760333,0.116891860961914
181,1924,8.052333,-0.5911083221435547
182,1925,9.016417,0.3729753494262695
183,1926,9.14025,0.4968090057373047
184,1927,8.719334,0.0758924484252929
185,1928,8.876,0.2325592041015625
186,1929,8.4395,-0.2039413452148437
187,1930,8.737667,0.0942258834838867
188,1931,9.56075,0.9173088073730468
189,1932,8.5395,-0.1039409637451171
190,1933,9.030583,0.3871421813964844
191,1934,9.826583,1.1831417083740234
192,1935,8.7425,0.0990591049194336
193,1936,8.92225,0.27880859375
194,1937,8.73075,0.0873088836669921
195,1938,9.471833,0.8283920288085938
196,1939,9.3075,0.6640586853027344
197,1940,9.097167,0.4537258148193359
198,1941,9.266084,0.6226425170898438
199,1942,8.919333,0.2758922576904297
200,1943,9.0035,0.3600587844848633
201,1944,8.898167,0.2547254562377929
202,1945,8.67125,0.0278091430664062
203,1946,9.179584,0.5361423492431641
204,1947,8.836083,0.1926422119140625
205,1948,8.481667,-0.1617746353149414
206,1949,8.888083,0.2446422576904297
207,1950,8.656417,0.0129756927490234
208,1951,8.416583,-0.2268581390380859
209,1952,8.979417,0.3359756469726562
210,1953,9.5304165,0.8869752883911133
211,1954,9.4105835,0.7671422958374023
212,1955,8.517167,-0.1262741088867187
213,1956,8.699917,0.0564756393432617
214,1957,9.126333,0.4828920364379883
215,1958,8.970166,0.3267250061035156
216,1959,8.825334,0.1818923950195312
217,1960,8.69225,0.0488090515136718
218,1961,8.642,-0.0014410018920898
219,1962,8.9565,0.313058853149414
220,1963,9.08,0.436558723449707
221,1964,8.491667,-0.1517744064331054
222,1965,8.647667,0.004225730895996
223,1966,8.483,-0.1604413986206054
224,1967,8.902,0.2585592269897461
225,1968,8.55325,-0.0901908874511718
226,1969,8.770833,0.1273918151855468
227,1970,8.673,0.0295591354370117
228,1971,8.4425,-0.2009410858154297
229,1972,8.428083,-0.2153577804565429
230,1973,8.934667,0.2912254333496094
231,1974,8.815917,0.1724758148193359
232,1975,8.431,-0.2124414443969726
233,1976,8.65125,0.0078086853027343
234,1977,9.269834,0.6263923645019531
235,1978,8.751416,0.1079750061035156
236,1979,8.571584,-0.0718574523925781
237,1980,9.1355,0.4920587539672851
238,1981,9.7215,1.078059196472168
239,1982,8.5395,-0.1039409637451171
240,1983,8.9123335,0.2688922882080078
241,1984,8.811167,0.1677255630493164
242,1985,8.587,-0.056441307067871
243,1986,9.5595,0.9160585403442384
244,1987,9.628166,0.9847249984741212
245,1988,9.275333,0.631892204284668
246,1989,8.873083,0.2296419143676757
247,1990,9.521584,0.8781423568725586
248,1991,9.493667,0.8502254486083984
249,1992,9.056334,0.4128923416137695
250,1993,8.86725,0.2238092422485351
251,1994,9.270333,0.62689208984375
252,1995,9.331,0.6875591278076172
253,1996,8.7543335,0.1108922958374023
254,1997,9.172916,0.529475212097168
255,1998,10.141167,1.497725486755371
256,1999,9.567,0.9235591888427734
257,2000,9.64975,1.0063085556030271
258,2001,9.7855835,1.1421422958374023
259,2002,9.816167,1.1727256774902344
260,2003,9.755083,1.1116418838500977
261,2004,9.6675,1.0240583419799805
262,2005,9.892667,1.249225616455078
263,2006,9.9745,1.3310585021972656
264,2007,9.8375,1.1940584182739258
265,2008,8.951417,0.3079757690429687
266,2009,9.137083,0.4936418533325195
267,2010,9.505584,0.8621425628662109
268,2011,9.549916,0.906475067138672
269,2012,10.261084,1.6176424026489258
270,2013,11.2971115,2.653670310974121
