,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,9.80075,-2.4820423126220703
77,1820,9.270333,-3.0124588012695312
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,11.341833,-0.9409589767456056
90,1833,11.849083,-0.4337091445922851
91,1834,11.7509165,-0.5318756103515625
92,1835,11.15675,-1.126042366027832
93,1836,11.663417,-0.6193752288818359
94,1837,11.288834,-0.9939584732055664
95,1838,11.08525,-1.1975421905517578
96,1839,11.21475,-1.0680418014526367
97,1840,11.562417,-0.7203750610351562
98,1841,11.1225,-1.1602916717529297
99,1842,12.10375,-0.1790418624877929
100,1843,12.472584,0.1897916793823242
101,1844,11.424167,-0.8586254119873047
102,1845,11.64425,-0.6385421752929688
103,1846,12.24275,-0.0400419235229492
104,1847,11.81525,-0.4675416946411133
105,1848,11.318,-0.964792251586914
106,1849,11.932167,-0.3506250381469726
107,1850,11.618333,-0.664459228515625
108,1851,12.04275,-0.2400417327880859
109,1852,11.8758335,-0.4069585800170898
110,1853,11.66775,-0.6150417327880859
111,1854,12.074583,-0.2082090377807617
112,1855,12.576417,0.2936248779296875
113,1856,12.076417,-0.2063751220703125
114,1857,11.274834,-1.0079584121704102
115,1858,11.873917,-0.4088754653930664
116,1859,12.442333,0.1595411300659179
117,1860,11.314667,-0.968125343322754
118,1861,11.434083,-0.8487091064453125
119,1862,11.02225,-1.260541915893555
120,1863,12.211333,-0.0714588165283203
121,1864,11.407666,-0.8751258850097656
122,1865,11.66825,-0.6145420074462891
123,1866,11.7490835,-0.5337085723876953
124,1867,12.535167,0.2523746490478515
125,1868,11.8064165,-0.4763755798339844
126,1869,12.011416,-0.2713756561279297
127,1870,12.177333,-0.1054592132568359
128,1871,11.774583,-0.508209228515625
129,1872,12.410084,0.1272916793823242
130,1873,12.472167,0.1893749237060547
131,1874,12.36025,0.077458381652832
132,1875,12.29775,0.014958381652832
133,1876,11.774583,-0.508209228515625
134,1877,11.975083,-0.307708740234375
135,1878,12.537416,0.2546243667602539
136,1879,12.763917,0.4811248779296875
137,1880,12.109834,-0.1729583740234375
138,1881,12.4855,0.2027082443237304
139,1882,11.665083,-0.6177091598510742
140,1883,11.82,-0.4627923965454101
141,1884,11.3615,-0.9212923049926758
142,1885,11.550167,-0.7326250076293945
143,1886,10.59825,-1.6845417022705078
144,1887,12.154166,-0.1286258697509765
145,1888,13.506333,1.223541259765625
146,1889,11.38025,-0.9025421142578124
147,1890,11.823167,-0.459625244140625
148,1891,11.080334,-1.202458381652832
149,1892,12.0251665,-0.2576255798339844
150,1893,12.198667,-0.0841255187988281
151,1894,11.41275,-0.8700418472290039
152,1895,12.25675,-0.0260419845581054
153,1896,11.848,-0.4347925186157226
154,1897,11.77975,-0.5030422210693359
155,1898,10.828667,-1.4541254043579102
156,1899,13.023916,0.741124153137207
157,1900,11.415,-0.8677921295166016
158,1901,12.297916,0.0151243209838867
159,1902,12.7565,0.4737081527709961
160,1903,11.252167,-1.030625343322754
161,1904,11.775666,-0.5071258544921875
162,1905,11.703083,-0.5797090530395508
163,1906,12.055667,-0.2271251678466797
164,1907,11.2345,-1.0482921600341797
165,1908,11.569083,-0.7137088775634766
166,1909,12.736333,0.4535408020019531
167,1910,12.062333,-0.220458984375
168,1911,11.222584,-1.0602083206176758
169,1912,12.144834,-0.1379585266113281
170,1913,12.27425,-0.0085420608520507
171,1914,13.03275,0.7499580383300781
172,1915,13.802834,1.5200414657592771
173,1916,11.685416,-0.5973758697509766
174,1917,12.962833,0.6800413131713867
175,1918,11.577917,-0.7048749923706055
176,1919,12.102333,-0.1804590225219726
177,1920,10.626416,-1.6563758850097656
178,1921,11.8515835,-0.4312086105346679
179,1922,13.083,0.8002080917358398
180,1923,12.0105,-0.2722921371459961
181,1924,12.05775,-0.2250423431396484
182,1925,13.019167,0.7363748550415039
183,1926,12.365833,0.0830411911010742
184,1927,12.15375,-0.1290416717529297
185,1928,11.16675,-1.116042137145996
186,1929,10.73625,-1.5465421676635742
187,1930,11.490916,-0.7918758392333984
188,1931,11.23,-1.0527925491333008
189,1932,11.89775,-0.3850421905517578
190,1933,11.9165,-0.3662919998168945
191,1934,10.802584,-1.480208396911621
192,1935,11.834416,-0.4483757019042969
193,1936,12.4275,0.1447076797485351
194,1937,11.879,-0.4037923812866211
195,1938,12.698667,0.4158744812011719
196,1939,12.829333,0.5465412139892578
197,1940,13.414833,1.1320409774780271
198,1941,13.67375,1.3909578323364258
199,1942,12.626333,0.343541145324707
200,1943,11.579333,-0.7034587860107422
201,1944,13.24825,0.9654579162597656
202,1945,11.648666,-0.6341257095336914
203,1946,12.590584,0.3077917098999023
204,1947,13.155583,0.8727912902832031
205,1948,12.82225,0.5394582748413086
206,1949,11.123834,-1.1589584350585938
207,1950,11.026167,-1.2566251754760742
208,1951,11.909083,-0.3737087249755859
209,1952,12.312417,0.0296249389648437
210,1953,12.571333,0.2885408401489258
211,1954,11.413584,-0.8692083358764648
212,1955,13.51375,1.2309579849243164
213,1956,12.24775,-0.0350418090820312
214,1957,11.721084,-0.5617084503173828
215,1958,12.8705,0.58770751953125
216,1959,11.6884165,-0.5943756103515625
217,1960,12.057,-0.2257919311523437
218,1961,13.459917,1.1771249771118164
219,1962,12.790083,0.5072908401489258
220,1963,13.640083,1.3572912216186523
221,1964,11.745,-0.5377922058105469
222,1965,12.952167,0.6693744659423828
223,1966,13.284917,1.0021247863769531
224,1967,12.638416,0.3556241989135742
225,1968,12.604333,0.3215408325195312
226,1969,11.158916,-1.123875617980957
227,1970,12.980416,0.6976242065429688
228,1971,13.428833,1.146040916442871
229,1972,10.935333,-1.347458839416504
230,1973,12.908167,0.6253747940063477
231,1974,11.789833,-0.4929590225219726
232,1975,13.097834,0.8150415420532227
233,1976,11.785334,-0.4974584579467773
234,1977,12.869083,0.5862913131713867
235,1978,12.633667,0.3508749008178711
236,1979,13.341833,1.0590410232543943
237,1980,13.02675,0.74395751953125
238,1981,13.524417,1.2416248321533203
239,1982,12.379,0.0962076187133789
240,1983,14.087,1.804207801818848
241,1984,11.914667,-0.3681249618530273
242,1985,13.020583,0.7377910614013672
243,1986,13.126166,0.8433742523193359
244,1987,12.8463335,0.5635414123535156
245,1988,13.595583,1.312790870666504
246,1989,12.9655,0.6827077865600586
247,1990,13.463083,1.1802911758422852
248,1991,13.031083,0.748291015625
249,1992,12.863334,0.5805416107177734
250,1993,11.956,-0.326791763305664
251,1994,12.639167,0.3563747406005859
252,1995,13.9713335,1.6885414123535156
253,1996,12.45225,0.1694574356079101
254,1997,13.84725,1.564457893371582
255,1998,13.245,0.9622077941894532
256,1999,13.9085,1.6257076263427734
257,2000,13.938833,1.656041145324707
258,2001,13.998,1.7152080535888672
259,2002,13.871917,1.5891246795654297
260,2003,13.157666,0.8748741149902344
261,2004,14.442,2.159208297729492
262,2005,14.044,1.7612075805664062
263,2006,13.78625,1.503458023071289
264,2007,13.928333,1.6455411911010742
265,2008,13.309,1.0262079238891602
266,2009,13.700334,1.41754150390625
267,2010,14.325916,2.043124198913574
268,2011,13.141084,0.8582916259765625
269,2012,13.144167,0.8613748550415039
270,2013,16.18825,3.9054574966430655
