,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,24.896545,-0.1294765472412109
82,1825,25.071583,0.0455608367919921
83,1826,24.8719,-0.1541213989257812
84,1827,25.156273,0.1302509307861328
85,1828,24.751818,-0.2742042541503906
86,1829,24.6555,-0.3705215454101562
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,24.520111,-0.5059108734130859
103,1846,25.043167,0.0171451568603515
104,1847,24.465918,-0.5601043701171875
105,1848,24.45525,-0.5707721710205078
106,1849,24.504084,-0.5219383239746094
107,1850,24.539167,-0.4868545532226562
108,1851,24.60525,-0.4207725524902344
109,1852,24.491583,-0.5344390869140625
110,1853,24.623083,-0.4029388427734375
111,1854,24.572584,-0.4534378051757812
112,1855,24.73,-0.2960224151611328
113,1856,24.747417,-0.278604507446289
114,1857,24.142084,-0.8839378356933594
115,1858,24.390083,-0.6359386444091797
116,1859,24.431417,-0.5946044921875
117,1860,24.508333,-0.5176887512207031
118,1861,24.500334,-0.5256881713867188
119,1862,24.303833,-0.7221889495849609
120,1863,24.429333,-0.5966892242431641
121,1864,24.527416,-0.498605728149414
122,1865,24.609583,-0.4164390563964844
123,1866,24.534916,-0.4911060333251953
124,1867,24.808167,-0.2178554534912109
125,1868,24.763,-0.2630214691162109
126,1869,25.162916,0.1368942260742187
127,1870,24.5365,-0.4895210266113281
128,1871,24.641666,-0.3843555450439453
129,1872,24.892584,-0.1334381103515625
130,1873,24.72825,-0.2977714538574219
131,1874,24.665,-0.3610210418701172
132,1875,24.472334,-0.5536880493164062
133,1876,24.774584,-0.2514381408691406
134,1877,25.30925,0.2832279205322265
135,1878,25.646584,0.6205615997314453
136,1879,24.723083,-0.3029384613037109
137,1880,24.20625,-0.8197727203369141
138,1881,24.69625,-0.3297710418701172
139,1882,24.307583,-0.7184391021728516
140,1883,24.32975,-0.6962718963623047
141,1884,24.229666,-0.796356201171875
142,1885,24.59,-0.4360218048095703
143,1886,24.3785,-0.64752197265625
144,1887,24.317917,-0.7081050872802734
145,1888,24.765417,-0.2606048583984375
146,1889,25.098833,0.0728111267089843
147,1890,23.998417,-1.027605056762695
148,1891,24.84,-0.1860218048095703
149,1892,24.504583,-0.5214385986328125
150,1893,24.293333,-0.7326889038085938
151,1894,24.31175,-0.7142715454101562
152,1895,24.621666,-0.4043560028076172
153,1896,24.770166,-0.2558555603027344
154,1897,24.819166,-0.2068557739257812
155,1898,24.394083,-0.6319389343261719
156,1899,24.867416,-0.1586055755615234
157,1900,25.12325,0.0972270965576171
158,1901,25.008417,-0.0176048278808593
159,1902,25.060083,0.0340614318847656
160,1903,25.004333,-0.0216884613037109
161,1904,24.456583,-0.5694389343261719
162,1905,24.834583,-0.1914386749267578
163,1906,24.767,-0.2590217590332031
164,1907,24.5115,-0.5145225524902344
165,1908,24.574,-0.4520225524902344
166,1909,24.55875,-0.4672718048095703
167,1910,24.631584,-0.3944377899169922
168,1911,24.65425,-0.3717727661132812
169,1912,24.825666,-0.2003555297851562
170,1913,24.500668,-0.5253543853759766
171,1914,24.925333,-0.1006889343261718
172,1915,25.24525,0.2192287445068359
173,1916,24.6715,-0.354522705078125
174,1917,24.25775,-0.7682723999023438
175,1918,24.428333,-0.5976886749267578
176,1919,24.954916,-0.07110595703125
177,1920,24.674917,-0.351104736328125
178,1921,24.568083,-0.4579391479492187
179,1922,24.67775,-0.3482723236083984
180,1923,24.597,-0.4290218353271484
181,1924,24.902334,-0.123687744140625
182,1925,24.8205,-0.2055225372314453
183,1926,25.391582,0.3655605316162109
184,1927,24.87925,-0.1467723846435547
185,1928,25.026083,6.103515625e-05
186,1929,24.842667,-0.1833553314208984
187,1930,24.853834,-0.1721878051757812
188,1931,25.375584,0.3495616912841797
189,1932,25.094833,0.0688114166259765
190,1933,24.811,-0.2150211334228515
191,1934,24.905834,-0.120187759399414
192,1935,24.916082,-0.1099395751953125
193,1936,25.031084,0.0050621032714843
194,1937,25.191584,0.1655616760253906
195,1938,24.7835,-0.2425212860107422
196,1939,24.89775,-0.1282711029052734
197,1940,25.626167,0.6001453399658203
198,1941,25.764334,0.738311767578125
199,1942,25.604834,0.5788116455078125
200,1943,25.055166,0.029144287109375
201,1944,25.204666,0.1786441802978515
202,1945,24.99675,-0.0292720794677734
203,1946,24.926916,-0.0991058349609375
204,1947,25.2115,0.1854782104492187
205,1948,25.18075,0.1547279357910156
206,1949,24.963667,-0.0623550415039062
207,1950,24.7935,-0.2325210571289062
208,1951,25.358667,0.3326454162597656
209,1952,25.560667,0.5346450805664062
210,1953,25.381332,0.3553104400634765
211,1954,25.048916,0.0228939056396484
212,1955,24.919916,-0.1061058044433593
213,1956,24.853333,-0.1726894378662109
214,1957,25.3065,0.2804775238037109
215,1958,25.9175,0.8914775848388672
216,1959,25.395834,0.36981201171875
217,1960,25.401167,0.3751449584960937
218,1961,25.38725,0.3612289428710937
219,1962,25.425333,0.3993110656738281
220,1963,25.417084,0.391061782836914
221,1964,25.364416,0.3383941650390625
222,1965,25.291082,0.2650604248046875
223,1966,25.542,0.5159778594970703
224,1967,25.058916,0.0328941345214843
225,1968,25.084417,0.0583953857421875
226,1969,25.68475,0.6587276458740234
227,1970,25.341667,0.3156452178955078
228,1971,24.724417,-0.301605224609375
229,1972,25.237,0.210977554321289
230,1973,25.482334,0.4563121795654297
231,1974,25.00325,-0.0227718353271484
232,1975,25.03725,0.0112285614013671
233,1976,25.02325,-0.0027713775634765
234,1977,25.595583,0.5695610046386719
235,1978,25.499,0.4729785919189453
236,1979,25.609417,0.5833950042724609
237,1980,25.573084,0.5470619201660156
238,1981,25.450666,0.4246444702148437
239,1982,25.387167,0.36114501953125
240,1983,25.783583,0.7575607299804688
241,1984,25.28475,0.25872802734375
242,1985,25.049833,0.0238113403320312
243,1986,25.26575,0.2397289276123047
244,1987,25.97725,0.9512271881103516
245,1988,25.54775,0.521728515625
246,1989,25.08625,0.0602283477783203
247,1990,25.59475,0.5687274932861328
248,1991,25.5065,0.480478286743164
249,1992,25.593334,0.5673122406005859
250,1993,25.468,0.4419784545898437
251,1994,25.5065,0.480478286743164
252,1995,25.921583,0.8955612182617188
253,1996,25.5985,0.5724773406982422
254,1997,25.752666,0.7266445159912109
255,1998,26.159,1.132978439331055
256,1999,25.344833,0.3188114166259765
257,2000,25.3885,0.3624782562255859
258,2001,25.771334,0.7453117370605469
259,2002,25.772167,0.7461452484130859
260,2003,26.008333,0.9823112487792968
261,2004,25.817833,0.7918109893798828
262,2005,26.019417,0.9933948516845704
263,2006,25.849916,0.8238945007324219
264,2007,25.854084,0.8280620574951172
265,2008,25.64825,0.6222286224365234
266,2009,26.084917,1.0588951110839844
267,2010,26.15025,1.124227523803711
268,2011,25.677334,0.6513118743896484
269,2012,25.688583,0.6625614166259766
270,2013,25.912874,0.8868522644042969
