,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,23.61075,-0.0870170593261718
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,23.948889,0.2511215209960937
97,1840,23.143167,-0.5545997619628906
98,1841,23.5285,-0.1692676544189453
99,1842,23.3345,-0.3632678985595703
100,1843,23.416082,-0.2816848754882812
101,1844,22.9045,-0.7932682037353516
102,1845,22.649546,-1.0482215881347656
103,1846,23.377167,-0.3206005096435547
104,1847,22.903917,-0.7938499450683594
105,1848,22.928583,-0.7691841125488281
106,1849,23.105417,-0.5923500061035156
107,1850,23.198416,-0.4993515014648437
108,1851,23.352583,-0.345184326171875
109,1852,23.219334,-0.478433609008789
110,1853,23.50425,-0.1935176849365234
111,1854,23.49725,-0.2005176544189453
112,1855,23.250834,-0.4469337463378906
113,1856,22.919,-0.7787666320800781
114,1857,23.444,-0.2537670135498047
115,1858,23.28875,-0.4090175628662109
116,1859,23.371166,-0.3266010284423828
117,1860,23.218584,-0.4791831970214844
118,1861,23.07975,-0.6180171966552734
119,1862,,
120,1863,23.095167,-0.60260009765625
121,1864,22.961334,-0.7364330291748047
122,1865,23.46375,-0.2340164184570312
123,1866,23.368416,-0.3293514251708984
124,1867,23.45075,-0.2470169067382812
125,1868,23.609417,-0.0883502960205078
126,1869,23.2025,-0.4952678680419922
127,1870,23.237667,-0.4601001739501953
128,1871,23.25375,-0.4440174102783203
129,1872,23.484417,-0.2133502960205078
130,1873,23.439917,-0.2578506469726562
131,1874,23.533417,-0.1643505096435547
132,1875,23.125,-0.5727672576904297
133,1876,22.953167,-0.7446002960205078
134,1877,23.570417,-0.127349853515625
135,1878,23.9055,0.207733154296875
136,1879,23.501167,-0.1965999603271484
137,1880,23.193832,-0.5039348602294922
138,1881,23.394083,-0.3036842346191406
139,1882,23.33175,-0.3660163879394531
140,1883,23.058666,-0.6391010284423828
141,1884,22.7965,-0.9012680053710938
142,1885,23.191833,-0.5059337615966797
143,1886,23.126417,-0.57135009765625
144,1887,23.017584,-0.6801834106445312
145,1888,23.546,-0.1517677307128906
146,1889,23.615833,-0.0819339752197265
147,1890,23.433167,-0.2646007537841797
148,1891,23.495333,-0.2024345397949218
149,1892,22.8705,-0.8272666931152344
150,1893,22.8405,-0.8572673797607422
151,1894,23.172,-0.5257663726806641
152,1895,23.44025,-0.257516860961914
153,1896,23.44525,-0.2525177001953125
154,1897,23.773333,0.0755653381347656
155,1898,23.465666,-0.2321014404296875
156,1899,23.221333,-0.4764347076416015
157,1900,23.517666,-0.1801013946533203
158,1901,23.436916,-0.2608509063720703
159,1902,23.848417,0.1506500244140625
160,1903,23.358917,-0.3388500213623047
161,1904,23.31625,-0.3815174102783203
162,1905,23.575666,-0.122100830078125
163,1906,23.750668,0.0529003143310546
164,1907,23.380667,-0.3171005249023437
165,1908,23.293,-0.4047679901123047
166,1909,23.6225,-0.0752677917480468
167,1910,23.490917,-0.2068500518798828
168,1911,23.796167,0.0984001159667968
169,1912,23.6675,-0.0302677154541015
170,1913,23.289667,-0.4081001281738281
171,1914,23.98925,0.291482925415039
172,1915,23.931667,0.2339000701904297
173,1916,23.155333,-0.5424346923828125
174,1917,22.965918,-0.7318496704101562
175,1918,23.253916,-0.4438514709472656
176,1919,23.909666,0.2118988037109375
177,1920,23.6855,-0.01226806640625
178,1921,23.501833,-0.1959342956542968
179,1922,23.733,0.0352325439453125
180,1923,23.809917,0.1121501922607421
181,1924,23.7545,0.056732177734375
182,1925,23.300167,-0.3976001739501953
183,1926,23.728416,0.030649185180664
184,1927,23.622417,-0.0753498077392578
185,1928,23.55575,-0.1420173645019531
186,1929,23.541082,-0.1566848754882812
187,1930,23.5725,-0.1252670288085937
188,1931,24.102083,0.4043159484863281
189,1932,23.370083,-0.3276844024658203
190,1933,23.645584,-0.0521831512451171
191,1934,23.283833,-0.4139347076416015
192,1935,24.12225,0.4244823455810547
193,1936,23.6755,-0.0222663879394531
194,1937,24.144167,0.4463996887207031
195,1938,23.862917,0.1651496887207031
196,1939,23.78975,0.0919818878173828
197,1940,23.91025,0.2124824523925781
198,1941,24.466583,0.7688159942626953
199,1942,24.077333,0.3795661926269531
200,1943,23.635166,-0.062601089477539
201,1944,23.93725,0.2394828796386718
202,1945,23.669584,-0.0281829833984375
203,1946,24.63625,0.9384822845458984
204,1947,24.050167,0.3523998260498047
205,1948,23.963667,0.265899658203125
206,1949,24.044333,0.3465652465820312
207,1950,23.944834,0.2470664978027343
208,1951,23.863667,0.1658992767333984
209,1952,24.186832,0.4890651702880859
210,1953,24.2045,0.5067329406738281
211,1954,24.029,0.3312320709228515
212,1955,23.679583,-0.0181846618652343
213,1956,23.664333,-0.0334339141845703
214,1957,24.048916,0.3511486053466797
215,1958,24.075666,0.377899169921875
216,1959,24.13225,0.4344825744628906
217,1960,24.144083,0.4463157653808594
218,1961,24.092667,0.3948993682861328
219,1962,23.702333,0.0045661926269531
220,1963,23.757584,0.0598163604736328
221,1964,23.953667,0.255899429321289
222,1965,24.099167,0.4013996124267578
223,1966,24.521334,0.8235664367675781
224,1967,23.638834,-0.0589332580566406
225,1968,23.903418,0.2056503295898437
226,1969,24.200666,0.502899169921875
227,1970,23.91725,0.219482421875
228,1971,23.406,-0.2917671203613281
229,1972,24.025833,0.3280658721923828
230,1973,24.34125,0.6434822082519531
231,1974,23.76325,0.0654830932617187
232,1975,23.987667,0.2898998260498047
233,1976,23.625834,-0.0719337463378906
234,1977,23.814833,0.1170654296875
235,1978,23.90175,0.2039833068847656
236,1979,24.17075,0.4729824066162109
237,1980,24.172167,0.4743995666503906
238,1981,24.178833,0.4810657501220703
239,1982,24.000668,0.3029003143310547
240,1983,23.945084,0.2473163604736328
241,1984,23.755667,0.0578994750976562
242,1985,23.88725,0.189483642578125
243,1986,23.928833,0.2310657501220703
244,1987,24.600916,0.9031486511230468
245,1988,24.1275,0.4297332763671875
246,1989,23.886917,0.1891498565673828
247,1990,24.274084,0.5763168334960938
248,1991,24.2765,0.5787334442138672
249,1992,23.85125,0.153482437133789
250,1993,23.935667,0.2378997802734375
251,1994,24.159416,0.461648941040039
252,1995,23.919,0.2212333679199218
253,1996,23.749666,0.0518989562988281
254,1997,24.222666,0.5248985290527344
255,1998,24.899834,1.202066421508789
256,1999,24.066416,0.3686485290527344
257,2000,23.981916,0.284149169921875
258,2001,24.184917,0.4871501922607422
259,2002,24.39375,0.6959819793701172
260,2003,24.49775,0.7999820709228516
261,2004,24.056917,0.3591499328613281
262,2005,24.298,0.6002330780029297
263,2006,24.523083,0.8253154754638672
264,2007,24.302166,0.6043987274169922
265,2008,23.784,0.0862331390380859
266,2009,24.465584,0.7678165435791016
267,2010,24.833334,1.1355667114257812
268,2011,23.692583,-0.0051841735839843
269,2012,24.704334,1.0065670013427734
270,2013,25.232124,1.5343570709228516
