,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,,
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,,
115,1858,,
116,1859,,
117,1860,,
118,1861,,
119,1862,,
120,1863,,
121,1864,,
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,,
131,1874,,
132,1875,,
133,1876,25.630667,-0.6239261627197266
134,1877,26.190666,-0.0639266967773437
135,1878,26.3585,0.1039066314697265
136,1879,24.302221,-1.952371597290039
137,1880,25.8575,-0.3970928192138672
138,1881,26.391,0.1364078521728515
139,1882,25.842667,-0.41192626953125
140,1883,25.793417,-0.4611759185791015
141,1884,25.725334,-0.5292587280273438
142,1885,25.98525,-0.2693424224853515
143,1886,26.074,-0.1805934906005859
144,1887,25.578667,-0.6759262084960938
145,1888,25.875584,-0.3790092468261719
146,1889,26.134666,-0.1199264526367187
147,1890,25.842667,-0.41192626953125
148,1891,26.151333,-0.1032600402832031
149,1892,25.822332,-0.432260513305664
150,1893,26.1185,-0.1360931396484375
151,1894,25.831833,-0.422760009765625
152,1895,25.71875,-0.5358428955078125
153,1896,25.860666,-0.3939266204833984
154,1897,26.040167,-0.214426040649414
155,1898,25.89675,-0.3578433990478515
156,1899,25.929583,-0.3250102996826172
157,1900,25.990583,-0.2640094757080078
158,1901,25.851833,-0.4027595520019531
159,1902,26.042084,-0.2125091552734375
160,1903,25.647667,-0.6069259643554688
161,1904,26.028667,-0.2259254455566406
162,1905,25.937084,-0.3175086975097656
163,1906,25.897917,-0.3566761016845703
164,1907,25.6485,-0.6060924530029297
165,1908,25.68375,-0.5708427429199219
166,1909,26.134333,-0.1202602386474609
167,1910,25.988083,-0.266510009765625
168,1911,25.845,-0.4095935821533203
169,1912,25.822,-0.4325923919677734
170,1913,25.732916,-0.5216770172119141
171,1914,26.05625,-0.198343276977539
172,1915,26.42625,0.1716575622558593
173,1916,25.566,-0.6885929107666016
174,1917,25.79175,-0.4628429412841797
175,1918,25.54975,-0.7048435211181641
176,1919,26.07675,-0.1778430938720703
177,1920,26.100584,-0.1540088653564453
178,1921,25.702417,-0.5521755218505859
179,1922,25.85,-0.4045925140380859
180,1923,25.83325,-0.4213428497314453
181,1924,26.319,0.0644073486328125
182,1925,26.026,-0.2285938262939453
183,1926,26.497917,0.2433242797851562
184,1927,26.107916,-0.146677017211914
185,1928,26.19075,-0.0638427734375
186,1929,26.3005,0.045907974243164
187,1930,26.107,-0.147592544555664
188,1931,26.258667,0.0040740966796875
189,1932,25.897667,-0.3569259643554687
190,1933,25.913584,-0.3410091400146484
191,1934,25.904917,-0.3496761322021484
192,1935,26.122417,-0.1321754455566406
193,1936,26.101334,-0.15325927734375
194,1937,25.68175,-0.5728435516357422
195,1938,25.706083,-0.5485095977783203
196,1939,25.92275,-0.3318424224853515
197,1940,26.3545,0.0999069213867187
198,1941,26.650084,0.3954906463623047
199,1942,26.55625,0.3016567230224609
200,1943,26.18375,-0.0708427429199218
201,1944,26.495083,0.2404899597167968
202,1945,26.4525,0.197906494140625
203,1946,26.2485,-0.0060920715332031
204,1947,26.374416,0.1198234558105468
205,1948,26.334667,0.0800743103027343
206,1949,26.12825,-0.1263427734375
207,1950,25.815666,-0.4389266967773437
208,1951,26.388083,0.1334896087646484
209,1952,26.081667,-0.1729259490966797
210,1953,26.399834,0.1452407836914062
211,1954,26.350082,0.095489501953125
212,1955,25.956583,-0.2980098724365234
213,1956,25.957167,-0.2974262237548828
214,1957,25.953417,-0.3011760711669922
215,1958,26.470667,0.216073989868164
216,1959,26.129583,-0.125009536743164
217,1960,26.319084,0.0644912719726562
218,1961,26.331167,0.0765743255615234
219,1962,26.197332,-0.057260513305664
220,1963,26.268667,0.0140743255615234
221,1964,26.099083,-0.1555099487304687
222,1965,25.967667,-0.28692626953125
223,1966,26.483833,0.2292404174804687
224,1967,26.26825,0.0136566162109375
225,1968,26.104834,-0.149759292602539
226,1969,26.6905,0.4359073638916015
227,1970,26.375917,0.1213245391845703
228,1971,26.028334,-0.2262592315673828
229,1972,26.4865,0.2319068908691406
230,1973,26.278833,0.024240493774414
231,1974,26.097334,-0.1572589874267578
232,1975,25.695168,-0.5594253540039062
233,1976,25.949,-0.3055934906005859
234,1977,26.810417,0.5558242797851562
235,1978,26.69575,0.4411563873291015
236,1979,26.585,0.3304061889648437
237,1980,26.855583,0.6009902954101562
238,1981,26.542334,0.2877407073974609
239,1982,26.08275,-0.1718425750732422
240,1983,26.2445,-0.0100936889648437
241,1984,25.851084,-0.4035091400146484
242,1985,25.882584,-0.37200927734375
243,1986,26.054667,-0.1999263763427734
244,1987,26.612083,0.3574905395507812
245,1988,26.783916,0.5293235778808594
246,1989,25.8945,-0.3600921630859375
247,1990,26.640667,0.3860740661621094
248,1991,26.594418,0.3398246765136719
249,1992,26.2665,0.0119075775146484
250,1993,26.402,0.1474075317382812
251,1994,26.99425,0.7396564483642578
252,1995,26.577667,0.3230743408203125
253,1996,26.546167,0.291574478149414
254,1997,26.94,0.6854076385498047
255,1998,27.368668,1.11407470703125
256,1999,27.353582,1.098989486694336
257,2000,27.436167,1.1815738677978516
258,2001,27.068916,0.8143234252929688
259,2002,27.125166,0.8705730438232422
260,2003,27.35775,1.1031570434570312
261,2004,27.334084,1.0794906616210938
262,2005,27.294666,1.0400733947753906
263,2006,27.175,0.9204063415527344
264,2007,27.31075,1.0561561584472656
265,2008,26.8075,0.5529079437255859
266,2009,27.342417,1.0878238677978516
267,2010,27.30275,1.04815673828125
268,2011,27.28825,1.0336570739746094
269,2012,27.445,1.1904067993164062
270,2013,28.12975,1.8751564025878904
