,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,20.423182,-0.8551731109619141
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,,
115,1858,,
116,1859,21.3908,0.1124458312988281
117,1860,,
118,1861,,
119,1862,,
120,1863,,
121,1864,20.665667,-0.6126880645751953
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,,
131,1874,,
132,1875,20.33525,-0.9431037902832032
133,1876,20.61875,-0.6596050262451172
134,1877,21.161667,-0.1166877746582031
135,1878,21.26825,-0.0101051330566406
136,1879,20.263779,-1.0145759582519531
137,1880,20.468082,-0.810272216796875
138,1881,20.623083,-0.6552715301513672
139,1882,20.657,-0.6213550567626953
140,1883,20.652082,-0.6262722015380859
141,1884,20.415583,-0.8627719879150391
142,1885,20.792166,-0.4861888885498047
143,1886,20.8395,-0.4388542175292969
144,1887,20.591833,-0.6865215301513672
145,1888,20.7225,-0.5558547973632812
146,1889,21.260834,-0.0175209045410156
147,1890,20.488083,-0.7902717590332031
148,1891,20.648333,-0.6300220489501953
149,1892,20.879333,-0.3990211486816406
150,1893,20.700083,-0.5782718658447266
151,1894,20.95325,-0.325103759765625
152,1895,21.044584,-0.2337703704833984
153,1896,21.203,-0.0753555297851562
154,1897,21.160917,-0.1174373626708984
155,1898,20.8495,-0.4288539886474609
156,1899,20.934668,-0.3436870574951172
157,1900,21.374083,0.0957279205322265
158,1901,21.056168,-0.2221870422363281
159,1902,21.23225,-0.0461044311523437
160,1903,21.230917,-0.0474376678466796
161,1904,20.215,-1.0633544921875
162,1905,21.01625,-0.2621040344238281
163,1906,20.819084,-0.4592704772949219
164,1907,20.436333,-0.8420219421386719
165,1908,21.055166,-0.2231884002685547
166,1909,20.959084,-0.3192710876464844
167,1910,20.6585,-0.6198539733886719
168,1911,20.711916,-0.5664386749267578
169,1912,21.44575,0.1673946380615234
170,1913,21.306583,0.028228759765625
171,1914,21.547083,0.2687282562255859
172,1915,21.427334,0.1489791870117187
173,1916,21.153,-0.1253547668457031
174,1917,21.065584,-0.2127704620361328
175,1918,20.657,-0.6213550567626953
176,1919,21.047832,-0.2305221557617187
177,1920,21.309166,0.0308113098144531
178,1921,21.206083,-0.0722713470458984
179,1922,21.707582,0.4292278289794922
180,1923,21.383667,0.1053123474121093
181,1924,21.345417,0.0670623779296875
182,1925,20.83725,-0.4411048889160156
183,1926,21.181833,-0.0965213775634765
184,1927,21.06775,-0.2106037139892578
185,1928,21.3255,0.0471458435058593
186,1929,21.2985,0.0201454162597656
187,1930,21.036417,-0.2419376373291015
188,1931,21.5265,0.2481460571289062
189,1932,21.13475,-0.1436042785644531
190,1933,21.031166,-0.2471885681152343
191,1934,21.230667,-0.0476875305175781
192,1935,21.091583,-0.1867713928222656
193,1936,20.861084,-0.4172706604003906
194,1937,20.870583,-0.4077720642089844
195,1938,21.317417,0.0390625
196,1939,20.834084,-0.4442710876464844
197,1940,21.194834,-0.0835208892822265
198,1941,21.590834,0.312479019165039
199,1942,21.551416,0.2730617523193359
200,1943,21.317583,0.0392284393310546
201,1944,21.423916,0.1455612182617187
202,1945,21.08475,-0.1936054229736328
203,1946,21.326166,0.0478115081787109
204,1947,21.38225,0.1038951873779296
205,1948,21.246416,-0.0319385528564453
206,1949,21.684584,0.406229019165039
207,1950,20.847666,-0.4306888580322265
208,1951,21.294167,0.0158119201660156
209,1952,21.52275,0.2443962097167968
210,1953,21.26275,-0.015604019165039
211,1954,21.299,0.0206451416015625
212,1955,21.217833,-0.0605220794677734
213,1956,20.918167,-0.3601875305175781
214,1957,21.658083,0.3797283172607422
215,1958,21.535166,0.2568111419677734
216,1959,21.70325,0.424896240234375
217,1960,21.400084,0.1217288970947265
218,1961,21.541166,0.2628116607666015
219,1962,21.266666,-0.011688232421875
220,1963,21.014584,-0.2637710571289062
221,1964,21.1295,-0.1488552093505859
222,1965,21.042667,-0.235687255859375
223,1966,21.667,0.3886451721191406
224,1967,21.249166,-0.0291881561279296
225,1968,21.247334,-0.0310211181640625
226,1969,21.543417,0.2650623321533203
227,1970,21.631332,0.3529777526855469
228,1971,21.190332,-0.088022232055664
229,1972,21.401083,0.1227283477783203
230,1973,21.479166,0.2008113861083984
231,1974,20.78425,-0.4941043853759765
232,1975,21.109417,-0.1689376831054687
233,1976,20.82625,-0.4521045684814453
234,1977,21.5615,0.2831459045410156
235,1978,21.162083,-0.11627197265625
236,1979,21.379168,0.1008129119873046
237,1980,21.337667,0.0593128204345703
238,1981,21.247833,-0.0305213928222656
239,1982,21.599583,0.32122802734375
240,1983,22.346083,1.067728042602539
241,1984,21.673834,0.3954792022705078
242,1985,21.331833,0.0534782409667968
243,1986,21.294083,0.0157279968261718
244,1987,22.308584,1.030229568481445
245,1988,21.885084,0.6067295074462891
246,1989,21.644,0.3656444549560547
247,1990,22.219334,0.94097900390625
248,1991,21.628916,0.3505611419677734
249,1992,22.414667,1.136312484741211
250,1993,21.711584,0.4332294464111328
251,1994,21.846582,0.5682277679443359
252,1995,22.451416,1.1730613708496094
253,1996,22.018084,0.7397289276123047
254,1997,21.94975,0.6713962554931641
255,1998,22.300667,1.0223121643066406
256,1999,21.45175,0.1733951568603515
257,2000,21.55875,0.2803955078125
258,2001,21.802416,0.5240612030029297
259,2002,22.292418,1.0140628814697266
260,2003,22.15675,0.8783950805664062
261,2004,21.768084,0.4897289276123047
262,2005,22.8135,1.5351448059082031
263,2006,21.78425,0.5058956146240234
264,2007,21.8385,0.5601444244384766
265,2008,21.535833,0.2574787139892578
266,2009,21.67025,0.3918952941894531
267,2010,22.2675,0.989145278930664
268,2011,21.771584,0.4932289123535156
269,2012,21.69775,0.4193954467773437
270,2013,21.196,-0.0823554992675781
