,Year,Temp,Mean_deviation
0,1743,,
1,1744,,
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,,
8,1751,,
9,1752,,
10,1753,,
11,1754,,
12,1755,,
13,1756,,
14,1757,,
15,1758,,
16,1759,,
17,1760,,
18,1761,,
19,1762,,
20,1763,,
21,1764,,
22,1765,,
23,1766,,
24,1767,,
25,1768,,
26,1769,,
27,1770,,
28,1771,,
29,1772,,
30,1773,,
31,1774,,
32,1775,,
33,1776,,
34,1777,,
35,1778,,
36,1779,,
37,1780,,
38,1781,,
39,1782,,
40,1783,,
41,1784,,
42,1785,,
43,1786,,
44,1787,,
45,1788,,
46,1789,,
47,1790,,
48,1791,,
49,1792,,
50,1793,,
51,1794,,
52,1795,,
53,1796,,
54,1797,,
55,1798,,
56,1799,,
57,1800,,
58,1801,,
59,1802,,
60,1803,,
61,1804,,
62,1805,,
63,1806,,
64,1807,,
65,1808,,
66,1809,,
67,1810,,
68,1811,,
69,1812,,
70,1813,,
71,1814,,
72,1815,,
73,1816,,
74,1817,,
75,1818,,
76,1819,,
77,1820,,
78,1821,,
79,1822,,
80,1823,,
81,1824,,
82,1825,,
83,1826,,
84,1827,,
85,1828,,
86,1829,,
87,1830,,
88,1831,,
89,1832,,
90,1833,,
91,1834,,
92,1835,,
93,1836,,
94,1837,,
95,1838,,
96,1839,,
97,1840,,
98,1841,,
99,1842,,
100,1843,,
101,1844,,
102,1845,,
103,1846,,
104,1847,,
105,1848,,
106,1849,,
107,1850,20.154364,-0.952993392944336
108,1851,,
109,1852,,
110,1853,,
111,1854,,
112,1855,,
113,1856,,
114,1857,20.773285,-0.3340721130371094
115,1858,20.849874,-0.2574825286865234
116,1859,20.70775,-0.399606704711914
117,1860,20.433624,-0.6737327575683594
118,1861,20.1583,-0.9490566253662108
119,1862,,
120,1863,,
121,1864,20.544083,-0.5632743835449219
122,1865,,
123,1866,,
124,1867,,
125,1868,,
126,1869,,
127,1870,,
128,1871,,
129,1872,,
130,1873,,
131,1874,,
132,1875,19.72575,-1.3816070556640625
133,1876,20.475666,-0.6316909790039062
134,1877,20.992332,-0.1150245666503906
135,1878,21.057667,-0.0496902465820312
136,1879,20.367556,-0.7398014068603516
137,1880,20.412666,-0.6946907043457031
138,1881,20.58325,-0.5241069793701172
139,1882,20.49425,-0.6131076812744141
140,1883,20.577583,-0.5297737121582031
141,1884,20.3105,-0.7968578338623047
142,1885,20.64375,-0.4636077880859375
143,1886,20.738417,-0.3689403533935547
144,1887,20.437666,-0.6696910858154297
145,1888,20.658,-0.4493560791015625
146,1889,21.165833,0.0584754943847656
147,1890,20.464916,-0.6424407958984375
148,1891,20.593334,-0.5140228271484375
149,1892,20.811,-0.296356201171875
150,1893,20.533417,-0.5739402770996094
151,1894,20.684166,-0.4231910705566406
152,1895,20.876667,-0.2306900024414062
153,1896,21.147833,0.040475845336914
154,1897,20.98925,-0.1181068420410156
155,1898,20.487083,-0.6202735900878906
156,1899,20.744083,-0.3632736206054687
157,1900,21.275833,0.1684761047363281
158,1901,20.67525,-0.432107925415039
159,1902,20.902166,-0.2051906585693359
160,1903,20.994,-0.1133575439453125
161,1904,20.004333,-1.1030235290527344
162,1905,20.880667,-0.2266902923583984
163,1906,20.5655,-0.5418567657470703
164,1907,20.206,-0.901357650756836
165,1908,21.038416,-0.0689411163330078
166,1909,20.9195,-0.1878566741943359
167,1910,20.335917,-0.7714405059814453
168,1911,20.545666,-0.5616912841796875
169,1912,21.385916,0.2785587310791015
170,1913,21.415916,0.3085594177246094
171,1914,21.477167,0.3698101043701172
172,1915,21.12975,0.0223922729492187
173,1916,21.10025,-0.0071067810058593
174,1917,20.854334,-0.2530231475830078
175,1918,20.413,-0.6943569183349609
176,1919,20.6655,-0.4418563842773437
177,1920,21.135084,0.0277271270751953
178,1921,20.767916,-0.3394412994384765
179,1922,21.632334,0.5249767303466797
180,1923,21.250834,0.1434764862060547
181,1924,20.943916,-0.1634407043457031
182,1925,20.732834,-0.3745231628417969
183,1926,21.0745,-0.0328578948974609
184,1927,20.81125,-0.2961063385009765
185,1928,21.339083,0.2317256927490234
186,1929,21.187916,0.0805587768554687
187,1930,20.71075,-0.3966064453125
188,1931,21.40375,0.2963924407958984
189,1932,20.9255,-0.1818561553955078
190,1933,20.818832,-0.2885246276855469
191,1934,21.218082,0.1107254028320312
192,1935,20.580334,-0.5270233154296875
193,1936,20.696,-0.4113578796386719
194,1937,20.887167,-0.2201900482177734
195,1938,21.241167,0.1338100433349609
196,1939,20.415833,-0.6915245056152344
197,1940,21.168,0.0606422424316406
198,1941,21.608084,0.5007266998291016
199,1942,21.60875,0.5013923645019531
200,1943,21.104334,-0.0030231475830078
201,1944,21.324417,0.2170600891113281
202,1945,20.699667,-0.4076900482177734
203,1946,21.236584,0.1292266845703125
204,1947,21.582,0.4746437072753906
205,1948,21.1105,0.003143310546875
206,1949,21.535084,0.4277267456054687
207,1950,21.258417,0.1510601043701172
208,1951,21.102333,-0.0050239562988281
209,1952,21.3255,0.2181434631347656
210,1953,20.757416,-0.3499412536621094
211,1954,21.175583,0.0682258605957031
212,1955,20.9135,-0.193857192993164
213,1956,20.89425,-0.2131061553955078
214,1957,21.82125,0.7138938903808594
215,1958,21.2745,0.1671428680419922
216,1959,21.47,0.3626422882080078
217,1960,21.178583,0.0712261199951171
218,1961,21.4085,0.3011436462402344
219,1962,21.432583,0.325225830078125
220,1963,20.7565,-0.3508567810058594
221,1964,21.080584,-0.026773452758789
222,1965,20.992332,-0.1150245666503906
223,1966,21.4145,0.3071422576904297
224,1967,21.145334,0.0379772186279296
225,1968,21.363167,0.2558097839355469
226,1969,21.345333,0.23797607421875
227,1970,21.79875,0.6913928985595703
228,1971,21.16025,0.0528926849365234
229,1972,21.031584,-0.0757732391357421
230,1973,21.460417,0.3530597686767578
231,1974,20.55825,-0.5491065979003906
232,1975,20.8335,-0.2738571166992187
233,1976,20.691,-0.4163570404052734
234,1977,21.405,0.2976436614990234
235,1978,20.924667,-0.1826896667480468
236,1979,21.255667,0.1483097076416015
237,1980,21.128834,0.0214767456054687
238,1981,20.804167,-0.3031902313232422
239,1982,21.574917,0.467559814453125
240,1983,22.367167,1.259809494018555
241,1984,21.714582,0.6072254180908203
242,1985,21.198084,0.0907268524169921
243,1986,21.2005,0.0931434631347656
244,1987,22.3235,1.216142654418945
245,1988,21.483,0.3756427764892578
246,1989,21.43225,0.3248920440673828
247,1990,22.13025,1.0228939056396484
248,1991,21.789667,0.6823101043701172
249,1992,22.840334,1.7329769134521484
250,1993,21.85225,0.7448921203613281
251,1994,21.60875,0.5013923645019531
252,1995,22.496334,1.38897705078125
253,1996,21.553167,0.445810317993164
254,1997,21.566668,0.4593105316162109
255,1998,22.142166,1.034809112548828
256,1999,21.486334,0.378976821899414
257,2000,21.149,0.0416431427001953
258,2001,21.693666,0.5863094329833984
259,2002,22.081083,0.9737262725830078
260,2003,21.89125,0.7838935852050781
261,2004,21.330917,0.2235603332519531
262,2005,22.509916,1.4025592803955078
263,2006,21.61875,0.5113925933837891
264,2007,21.60425,0.4968929290771484
265,2008,21.545584,0.4382266998291015
266,2009,21.37725,0.2698936462402344
267,2010,21.98625,0.8788928985595703
268,2011,21.602417,0.4950599670410156
269,2012,21.521334,0.4139766693115234
270,2013,20.71075,-0.3966064453125
