,Year,Temp,Mean_deviation
0,1743,,
1,1744,6.6985,1.3987932205200195
2,1745,,
3,1746,,
4,1747,,
5,1748,,
6,1749,,
7,1750,6.2932725,0.993565559387207
8,1751,5.397375,0.097668170928955
9,1752,1.625,-3.674706935882568
10,1753,5.1183333,-0.1813735961914062
11,1754,5.1180835,-0.1816234588623047
12,1755,4.7328334,-0.5668735504150391
13,1756,5.1605,-0.1392068862915039
14,1757,5.413833,0.1141262054443359
15,1758,4.0748334,-1.2248735427856443
16,1759,5.452083,0.1523761749267578
17,1760,4.322,-0.9777069091796876
18,1761,5.7715836,0.4718766212463379
19,1762,5.217,-0.0827069282531738
20,1763,4.5625,-0.7372069358825684
21,1764,5.5625834,0.2628765106201172
22,1765,5.0505834,-0.2491235733032226
23,1766,5.8946667,0.5949597358703613
24,1767,4.6754165,-0.6242904663085938
25,1768,4.54425,-0.7554569244384766
26,1769,4.8580832,-0.4416236877441406
27,1770,4.9851665,-0.3145403861999511
28,1771,4.1901665,-1.1095404624938965
29,1772,4.7049165,-0.5947904586791992
30,1773,6.3793335,1.0796265602111816
31,1774,4.530667,-0.7690401077270508
32,1775,6.80575,1.5060429573059082
33,1776,5.6520834,0.3523764610290527
34,1777,4.797,-0.5027070045471191
35,1778,5.07575,-0.2239570617675781
36,1779,6.914,1.614293098449707
37,1780,4.93125,-0.3684568405151367
38,1781,5.701667,0.4019598960876465
39,1782,4.28375,-1.0159568786621094
40,1783,5.6801667,0.3804597854614258
41,1784,3.7095833,-1.5901236534118652
42,1785,3.8438334,-1.4558734893798828
43,1786,3.9334166,-1.3662903308868408
44,1787,5.096833,-0.2028737068176269
45,1788,4.1763334,-1.1233735084533691
46,1789,5.8289165,0.5292096138000488
47,1790,5.5315833,0.2318763732910156
48,1791,6.2315,0.931793212890625
49,1792,5.331917,0.0322098731994628
50,1793,5.6870832,0.3873763084411621
51,1794,6.7250834,1.4253764152526855
52,1795,4.3623333,-0.9373736381530762
53,1796,5.780083,0.4803762435913086
54,1797,6.5499167,1.2502098083496094
55,1798,6.329,1.0292930603027344
56,1799,3.9550834,-1.344623565673828
57,1800,4.6805835,-0.6191234588623047
58,1801,5.5721664,0.2724595069885254
59,1802,5.0533333,-0.2463736534118652
60,1803,4.346667,-0.9530401229858398
61,1804,4.521917,-0.7777900695800781
62,1805,3.9274166,-1.3722903728485107
63,1806,4.868583,-0.4311237335205078
64,1807,4.8420835,-0.4576234817504883
65,1808,4.7373333,-0.5623736381530762
66,1809,3.9323332,-1.3673737049102783
67,1810,4.09675,-1.2029571533203125
68,1811,5.7671666,0.4674596786499023
69,1812,3.64275,-1.656956911087036
70,1813,5.3695,0.0697932243347168
71,1814,4.01675,-1.2829570770263672
72,1815,5.129083,-0.170623779296875
73,1816,4.2981668,-1.001540184020996
74,1817,4.92975,-0.3699569702148437
75,1818,5.7753334,0.4756264686584472
76,1819,5.9155,0.6157932281494141
77,1820,4.4975,-0.8022069931030273
78,1821,5.1744165,-0.1252903938293457
79,1822,7.112,1.81229305267334
80,1823,5.347833,0.048126220703125
81,1824,6.099167,0.7994599342346191
82,1825,5.7738333,0.4741263389587402
83,1826,6.6941667,1.3944597244262695
84,1827,5.4931664,0.1934595108032226
85,1828,4.94775,-0.351956844329834
86,1829,3.1160834,-2.183623552322388
87,1830,4.759,-0.5407071113586426
